z [mm]	By meas [T]	By sim [T]
-800.	-0.00005032594608562351	-0.0001207852822694196
-799.	-0.00006324796419037847	-0.0001214724215410006
-798.	-0.00006776080846433492	-0.000122164324330837
-797.	-0.00006082904336182703	-0.0001228610290265971
-796.	-0.0000699281092872165	-0.000123562574499941
-795.	-0.00006463082172973231	-0.0001242689999447812
-794.	-0.0000706634644388221	-0.0001249803451894841
-793.	-0.00007826575536519222	-0.0001256966501511206
-792.	-0.00007207072373009181	-0.0001264179550606268
-791.	-0.00006245795823498795	-0.0001271443007275591
-790.	-0.0000600703311198845	-0.0001278757281400819
-789.	-0.00006468908898913262	-0.0001286122789518897
-788.	-0.0000658908276586622	-0.0001293539948650168
-787.	-0.00005898498287149322	-0.0001301009182743345
-786.	-0.00006262370112564659	-0.0001308530917587425
-785.	-0.00006662288553403237	-0.000131610558320373
-784.	-0.00007472339179877649	-0.0001323733612502448
-783.	-0.00007862175862557324	-0.0001331415446478684
-782.	-0.00007173849857933769	-0.0001339151526473102
-781.	-0.00007760385954100144	-0.0001346942298092168
-780.	-0.00007625302910497376	-0.0001354788214778141
-779.	-0.0000782383594064267	-0.0001362689728806796
-778.	-0.00007072913756457939	-0.0001370647299621401
-777.	-0.0000783177511884702	-0.0001378661393301394
-776.	-0.00008019489776168154	-0.0001386732475971137
-775.	-0.00007978335299376624	-0.0001394861018394457
-774.	-0.00008052941391437369	-0.0001403047499652704
-773.	-0.00008105197377532988	-0.0001411292399152513
-772.	-0.00008160648127626583	-0.0001419596205559244
-771.	-0.00008014352725516989	-0.0001427959405920875
-770.	-0.00009411800977058499	-0.0001436382495807486
-769.	-0.00009038504042548253	-0.0001444865974673846
-768.	-0.00008315628151942729	-0.0001453410348958186
-767.	-0.00007790918259456432	-0.0001462016125328168
-766.	-0.00008318813565263374	-0.0001470683818628494
-765.	-0.00008079349236822238	-0.0001479413945937533
-764.	-0.00008202972006571854	-0.000148820703334916
-763.	-0.0000873433156017722	-0.000149706360792416
-762.	-0.00008458880218371016	-0.0001505984204016853
-761.	-0.00008906844637458313	-0.0001514969361025062
-760.	-0.00008065047131594336	-0.0001524019620301944
-759.	-0.00008549579186532748	-0.0001533135533974532
-758.	-0.00009564485128489033	-0.0001542317653318589
-757.	-0.00009759038926962656	-0.0001551566540990653
-756.	-0.0000970303666749355	-0.0001560882759271842
-755.	-0.00009476057778122545	-0.0001570266879120434
-754.	-0.00008944273365579998	-0.0001579719476117928
-753.	-0.00009639022050091782	-0.0001589241134432904
-752.	-0.0001029806779261421	-0.0001598832437136943
-751.	-0.0001005098445758033	-0.0001608493978320254
-750.	-0.0000913358402605653	-0.0001618226354667925
-749.	-0.00009461381888486764	-0.000162803017354455
-748.	-0.0001077981605640397	-0.0001637906041160395
-747.	-0.0001007484810707918	-0.0001647854576922554
-746.	-0.000101710815775879	-0.0001657876399347204
-745.	-0.0001098426608702769	-0.0001667972136803702
-744.	-0.00010654172993278	-0.0001678142421903332
-743.	-0.0001031368206159214	-0.0001688387896122301
-742.	-0.0001037949504710339	-0.0001698709205127426
-741.	-0.0001070772702308374	-0.0001709107002770129
-740.	-0.0001106549952705885	-0.0001719581943329483
-739.0000000000001	-0.0001006973723279496	-0.0001730134696192158
-738.	-0.00009937632395976758	-0.0001740765930208399
-737.0000000000001	-0.0001049945794689692	-0.0001751476325896826
-736.	-0.0001156495694634103	-0.0001762266566913629
-735.0000000000001	-0.0001125293812871588	-0.0001773137343004756
-734.	-0.000116267259155625	-0.0001784089352815576
-733.0000000000001	-0.0001070291867490347	-0.0001795123301730248
-732.	-0.000114725160350266	-0.0001806239902123167
-731.0000000000001	-0.0001160794054933599	-0.0001817439873781437
-730.	-0.0001116042821116337	-0.0001828723940042611
-729.0000000000001	-0.0001238970665740593	-0.000184009283381275
-728.	-0.00012360764378197	-0.0001851547297646674
-727.0000000000001	-0.0001231372359732009	-0.0001863088077994769
-726.0000000000001	-0.0001052610952729691	-0.0001874715927966753
-725.0000000000001	-0.0001171523375343239	-0.0001886431612917011
-724.0000000000001	-0.0001219026504755809	-0.0001898235901804538
-723.0000000000001	-0.0001287504124213201	-0.0001910129568932028
-722.0000000000001	-0.0001230070467105759	-0.0001922113403625068
-721.0000000000001	-0.0001211327995044616	-0.0001934188196845436
-720.0000000000001	-0.0001321109306870715	-0.0001946354748236127
-719.0000000000001	-0.0001226842850926209	-0.0001958613868194908
-718.0000000000001	-0.000128556618807174	-0.0001970966372613059
-717.0000000000001	-0.0001238100706213248	-0.0001983413084518011
-716.0000000000001	-0.0001318155806864287	-0.0001995954841523602
-715.0000000000001	-0.0001328224409456626	-0.0002008592481081388
-714.0000000000001	-0.0001272865663975048	-0.0002021326853422419
-713.0000000000001	-0.0001348959905744274	-0.0002034158817423925
-712.0000000000001	-0.0001405778205761577	-0.0002047089239249555
-711.0000000000001	-0.0001342003031003715	-0.0002060118995154169
-710.0000000000001	-0.0001372803669145004	-0.0002073248968222176
-709.0000000000001	-0.0001430042723934318	-0.0002086480051610125
-708.0000000000001	-0.0001367845269721481	-0.0002099813148314824
-707.0000000000001	-0.0001382129897301679	-0.0002113249167679626
-706.0000000000001	-0.0001492264706669542	-0.00021267890301594
-705.0000000000001	-0.0001459795447030061	-0.0002140433666378689
-704.0000000000001	-0.0001543936418182201	-0.0002154184013573458
-703.0000000000001	-0.0001489340130295494	-0.0002168041021570936
-702.0000000000001	-0.0001541606926879018	-0.0002182005645671338
-701.0000000000001	-0.0001440326725041757	-0.0002196078855910375
-700.0000000000001	-0.0001507368089043305	-0.0002210261627559798
-699.0000000000001	-0.0001568387553150725	-0.0002224554948431333
-698.0000000000001	-0.0001673103672953973	-0.0002238959816059668
-697.0000000000001	-0.0001601689763748691	-0.0002253477236332464
-696.0000000000001	-0.0001508987337543265	-0.0002268108227221893
-695.0000000000001	-0.0001542265533639742	-0.0002282853816952231
-694.0000000000001	-0.0001578339413003936	-0.0002297715042196201
-693.0000000000001	-0.0001597847792453107	-0.0002312692953383101
-692.0000000000001	-0.0001569598128491117	-0.0002327788608596964
-691.0000000000001	-0.0001650352781510043	-0.0002343003077553487
-690.0000000000001	-0.0001616439276651092	-0.0002358337443531016
-689.	-0.0001540679652938288	-0.0002373792794993271
-688.	-0.0001682115822333746	-0.0002389370238398096
-687.	-0.0001673617432293869	-0.0002405070887720772
-686.	-0.0001652076713792407	-0.0002420895867634054
-685.	-0.0001686091234396661	-0.0002436846316536161
-684.	-0.0001663902675175367	-0.0002452923382360824
-683.	-0.0001734371274041841	-0.000246912822690938
-682.	-0.0001828240669234462	-0.0002485462023723062
-681.	-0.0001849596539293988	-0.0002501925955872311
-680.	-0.0001796126046287136	-0.0002518521221526336
-679.	-0.0001868432774572527	-0.0002535249030335927
-678.	-0.0001846114381802957	-0.0002552110603859783
-677.	-0.0001913809287141895	-0.0002569107175700172
-676.	-0.0001915788058597465	-0.0002586239993880261
-675.	-0.0001926775560363143	-0.0002603510319201545
-674.	-0.0001907508092072462	-0.0002620919424018362
-673.	-0.0001924630815786284	-0.0002638468594412949
-672.	-0.0002051397895228498	-0.0002656159129576459
-671.	-0.0001989623293799547	-0.0002673992344751876
