Photon Energy [eV],Flux [photons/s/0.1%bw]
1.000000000000000000e+02,4.279972545392799375e+14
4.204408817635270452e+02,5.490911204387541250e+14
7.408817635270540904e+02,5.561314550706731875e+14
1.061322645290581022e+03,5.368741416077798750e+14
1.381763527054108181e+03,5.088091012403718125e+14
1.702204408817635340e+03,4.782309138097108750e+14
2.022645290581162271e+03,4.478484171408123125e+14
2.343086172344689203e+03,4.188858510859288125e+14
2.663527054108216362e+03,3.918671337192612500e+14
2.983967935871743521e+03,3.669627565625955000e+14
3.304408817635270680e+03,3.441603666391823750e+14
3.624849699398797384e+03,3.233545234130835625e+14
3.945290581162324543e+03,3.043959165689118125e+14
4.265731462925851702e+03,2.871188922958665625e+14
4.586172344689378406e+03,2.713568452110681562e+14
4.906613226452906019e+03,2.569505983748183125e+14
5.227054108216432724e+03,2.437526621179283438e+14
5.547494989979959428e+03,2.316290513178754688e+14
5.867935871743487041e+03,2.204596748555261875e+14
6.188376753507013746e+03,2.101379022989469688e+14
6.508817635270541359e+03,2.005696828940103438e+14
6.829258517034068063e+03,1.916724576194741875e+14
7.149699398797594768e+03,1.833739918516247500e+14
7.470140280561122381e+03,1.756112236431382812e+14
7.790581162324649085e+03,1.683291701289844375e+14
8.111022044088175790e+03,1.614799372004849062e+14
8.431462925851703403e+03,1.550217463026450625e+14
8.751903807615230107e+03,1.489181727721564375e+14
9.072344689378756811e+03,1.431374287103629062e+14
9.392785571142283516e+03,1.376517061704840000e+14
9.713226452905812039e+03,1.324366328291418594e+14
1.003366733466933874e+04,1.274707996304464375e+14
1.035410821643286545e+04,1.227353430263202188e+14
1.067454909819639215e+04,1.182135867286186875e+14
1.099498997995991886e+04,1.138907488752561875e+14
1.131543086172344738e+04,1.097536691849196250e+14
1.163587174348697408e+04,1.057905902363090781e+14
1.195631262525050079e+04,1.019909615346642500e+14
1.227675350701402749e+04,9.834528095108173438e+13
1.259719438877755420e+04,9.484494958340848438e+13
1.291763527054108272e+04,9.148215801884367188e+13
1.323807615230460942e+04,8.824977870226648438e+13
1.355851703406813613e+04,8.514128496981664062e+13
1.387895791583166283e+04,8.215067060731709375e+13
1.419939879759518954e+04,7.927239272259154688e+13
1.451983967935871624e+04,7.650131092068698438e+13
1.484028056112224476e+04,7.383264746069571875e+13
1.516072144288577147e+04,7.126194054454289062e+13
1.548116232464929817e+04,6.878501698061368750e+13
1.580160320641282487e+04,6.639795561867561719e+13
1.612204408817635158e+04,6.409706905169517969e+13
1.644248496993988010e+04,6.187887435554635938e+13
1.676292585170340681e+04,5.974008131538392188e+13
1.708336673346693351e+04,5.767756844724772656e+13
1.740380761523046021e+04,5.568837592767587500e+13
1.772424849699398692e+04,5.376968546442821875e+13
1.804468937875751362e+04,5.191881562025100000e+13
1.836513026052104033e+04,5.013320946134142969e+13
1.868557114228456703e+04,4.841042243659525000e+13
1.900601202404809737e+04,4.674812197510823438e+13
1.932645290581162408e+04,4.514407228123559375e+13
1.964689378757515078e+04,4.359613528366404688e+13
1.996733466933867749e+04,4.210226221603364062e+13
2.028777555110220419e+04,4.066048494076882812e+13
2.060821643286573089e+04,3.926891805315017188e+13
2.092865731462925760e+04,3.792575158262516406e+13
2.124909819639278430e+04,3.662924329912859375e+13
2.156953907815631101e+04,3.537772234960255469e+13
2.188997995991983771e+04,3.416958264203442969e+13
2.221042084168336442e+04,3.300327577963029688e+13
2.253086172344689476e+04,3.187731581722731641e+13
2.285130260521042146e+04,3.079027307322929688e+13
2.317174348697394817e+04,2.974076748959104688e+13
2.349218436873747487e+04,2.872747421350237109e+13
2.381262525050100157e+04,2.774911769374276172e+13
2.413306613226452828e+04,2.680446535648475391e+13
2.445350701402805498e+04,2.589233378889248047e+13
2.477394789579158169e+04,2.501158304411102734e+13
2.509438877755510839e+04,2.416111057828779688e+13
2.541482965931863509e+04,2.333985785696799219e+13
2.573527054108216544e+04,2.254680339197892578e+13
2.605571142284569214e+04,2.178096412955672656e+13
2.637615230460921885e+04,2.104138790566446875e+13
2.669659318637274555e+04,2.032716108094942188e+13
2.701703406813627225e+04,1.963740290767035156e+13
2.733747494989979896e+04,1.897125966047517969e+13
2.765791583166332566e+04,1.832791237611016406e+13
2.797835671342685237e+04,1.770656987320687109e+13
2.829879759519037907e+04,1.710647073000977344e+13
2.861923847695390577e+04,1.652687582230435156e+13
2.893967935871743248e+04,1.596707676915909375e+13
2.926012024048096282e+04,1.542638878386862500e+13
2.958056112224448952e+04,1.490415297285068164e+13
2.990100200400801623e+04,1.439972876012205859e+13
