Photon Energy [eV],Spectral power [W/eV]
1.000000000000000000e+02,7.141187108587582211e-02
4.204408817635270452e+02,9.279487512045808684e-02
7.408817635270540904e+02,9.484385295846295416e-02
1.061322645290581022e+03,9.228133872399438276e-02
1.381763527054108181e+03,8.807338068304476630e-02
1.702204408817635340e+03,8.330790844722160693e-02
2.022645290581162271e+03,7.846733392490304326e-02
2.343086172344689203e+03,7.378055881200634714e-02
2.663527054108216362e+03,6.935484653409737521e-02
2.983967935871743521e+03,6.523452172516708281e-02
3.304408817635270680e+03,6.143012118915271852e-02
3.624849699398797384e+03,5.793395456663179288e-02
3.945290581162324543e+03,5.472881155864203762e-02
4.265731462925851702e+03,5.179297231342051833e-02
4.586172344689378406e+03,4.910312361261396502e-02
4.906613226452906019e+03,4.663604663950982748e-02
5.227054108216432724e+03,4.436956591168206288e-02
5.547494989979959428e+03,4.228304838422717454e-02
5.867935871743487041e+03,4.035762665628521428e-02
6.188376753507013746e+03,3.857625518521565905e-02
6.508817635270541359e+03,3.692366681253751726e-02
6.829258517034068063e+03,3.538627271600241347e-02
7.149699398797594768e+03,3.395203304193184640e-02
7.470140280561122381e+03,3.261031583610203566e-02
7.790581162324649085e+03,3.135175328577644027e-02
8.111022044088175790e+03,3.016810465681661960e-02
8.431462925851703403e+03,2.905212858285758509e-02
8.751903807615230107e+03,2.799745958708385607e-02
9.072344689378756811e+03,2.699850170243568021e-02
9.392785571142283516e+03,2.605033608057200772e-02
9.713226452905812039e+03,2.514863277899545557e-02
1.003366733466933874e+04,2.428957482989152830e-02
1.035410821643286545e+04,2.346979129757377838e-02
1.067454909819639215e+04,2.268629982484128560e-02
1.099498997995991886e+04,2.193645579621393907e-02
1.131543086172344738e+04,2.121790752593058493e-02
1.163587174348697408e+04,2.052855917371223388e-02
1.195631262525050079e+04,1.986653576447142480e-02
1.227675350701402749e+04,1.923015599100853790e-02
1.259719438877755420e+04,1.861790581733570663e-02
1.291763527054108272e+04,1.802841900420405763e-02
1.323807615230460942e+04,1.746045659817132764e-02
1.355851703406813613e+04,1.691289218452500867e-02
1.387895791583166283e+04,1.638469706403917342e-02
1.419939879759518954e+04,1.587492932991740532e-02
1.451983967935871624e+04,1.538272251379061047e-02
1.484028056112224476e+04,1.490727774334025049e-02
1.516072144288577147e+04,1.444785495462893449e-02
1.548116232464929817e+04,1.400376733487123347e-02
1.580160320641282487e+04,1.357437443001265065e-02
1.612204408817635158e+04,1.315907827779980339e-02
1.644248496993988010e+04,1.275731791569789490e-02
1.676292585170340681e+04,1.236856676091203228e-02
1.708336673346693351e+04,1.199232815603720227e-02
1.740380761523046021e+04,1.162813351049917301e-02
1.772424849699398692e+04,1.127553939742234959e-02
1.804468937875751362e+04,1.093412481264290775e-02
1.836513026052104033e+04,1.060349040076045100e-02
1.868557114228456703e+04,1.028325544390870649e-02
1.900601202404809737e+04,9.973057487921250727e-03
1.932645290581162408e+04,9.672550565244904947e-03
1.964689378757515078e+04,9.381403436617330796e-03
1.996733466933867749e+04,9.099299599418481793e-03
2.028777555110220419e+04,8.825935854238364103e-03
2.060821643286573089e+04,8.561020846562425110e-03
2.092865731462925760e+04,8.304275636653757342e-03
2.124909819639278430e+04,8.055431524077897448e-03
2.156953907815631101e+04,7.814230695814531127e-03
2.188997995991983771e+04,7.580425148214337515e-03
2.221042084168336442e+04,7.353775564246141892e-03
2.253086172344689476e+04,7.134051978748724189e-03
2.285130260521042146e+04,6.921032600085827088e-03
2.317174348697394817e+04,6.714503813828823914e-03
2.349218436873747487e+04,6.514258935388177706e-03
2.381262525050100157e+04,6.320099149221272521e-03
2.413306613226452828e+04,6.131832577014290769e-03
2.445350701402805498e+04,5.949273297847605668e-03
2.477394789579158169e+04,5.772242367922809751e-03
2.509438877755510839e+04,5.600566709646643930e-03
2.541482965931863509e+04,5.434079317675087270e-03
2.573527054108216544e+04,5.272618067138251305e-03
2.605571142284569214e+04,5.116026903828940590e-03
2.637615230460921885e+04,4.964154956178869725e-03
2.669659318637274555e+04,4.816855621742425000e-03
2.701703406813627225e+04,4.673987767032718697e-03
2.733747494989979896e+04,4.535414643589214673e-03
2.765791583166332566e+04,4.401004193019393031e-03
2.797835671342685237e+04,4.270627900065554136e-03
2.829879759519037907e+04,4.144162090708257591e-03
2.861923847695390577e+04,4.021486835523430288e-03
2.893967935871743248e+04,3.902486042850433420e-03
2.926012024048096282e+04,3.787047601423972239e-03
2.958056112224448952e+04,3.675062165076660448e-03
2.990100200400801623e+04,3.566424630987035955e-03
3.022144288577154293e+04,3.461032972420445119e-03
3.054188376753506964e+04,3.358788661216390373e-03
3.086232464929859634e+04,3.259595466093995978e-03
3.118276553106212305e+04,3.163360959447402213e-03
