E[eV] theta[mrad] theta[deg]
7000 22.8856 1.3112482916246
7010 22.8542 1.30944920414789
7020 22.8211 1.307552713846
7030 22.7888 1.30570206016773
7040 22.7565 1.30385140648946
7050 22.7242 1.30200075281119
7060 22.6919 1.30015009913291
7070 22.6605 1.2983510116562
7080 22.6282 1.29650035797793
7090 22.5959 1.29464970429966
7100 22.5645 1.29285061682295
7110 22.5322 1.29099996314467
7120 22.5008 1.28920087566796
7130 22.4702 1.28744762481486
7140 22.4388 1.28564853733815
7150 22.4074 1.28384944986144
7160 22.376 1.28205036238473
7170 22.3446 1.28025127490802
7180 22.314 1.27849802405492
7190 22.2826 1.27669893657821
7200 22.2521 1.27495141530306
7210 22.2215 1.27319816444996
7220 22.191 1.27145064317481
7230 22.1596 1.2696515556981
7240 22.1299 1.26794987104656
7250 22.0994 1.26620234977141
7260 22.0679 1.26439753271675
7270 22.0383 1.26270157764316
7280 22.0086 1.26099989299162
7290 21.9781 1.25925237171647
7300 21.9484 1.25755068706494
7310 21.9187 1.2558490024134
7320 21.8882 1.25410148113825
7330 21.8585 1.25239979648671
7340 21.8288 1.25069811183517
7350 21.7992 1.24900215676158
7360 21.7695 1.24730047211005
7370 21.7398 1.24559878745851
7380 21.711 1.24394866900853
7390 21.6814 1.24225271393494
7400 21.6517 1.2405510292834
7410 21.6229 1.23890091083343
7420 21.5941 1.23725079238345
7430 21.5653 1.23560067393347
7440 21.5356 1.23389898928194
7450 21.5068 1.23224887083196
7460 21.4789 1.23065031858354
7470 21.4492 1.22894863393201
7480 21.4213 1.22735008168359
7490 21.3925 1.22569996323361
7500 21.3646 1.2241014109852
7510 21.3349 1.22239972633366
7520 21.307 1.22080117408525
7530 21.2791 1.21920262183683
7540 21.2511 1.21759834001046
7550 21.2223 1.21594822156049
7560 21.1944 1.21434966931207
7570 21.1674 1.21280268326522
7580 21.1394 1.21119840143885
7590 21.1115 1.20959984919044
7600 21.0836 1.20800129694202
7610 21.0557 1.20640274469361
7620 21.0286 1.2048500290688
7630 21.0007 1.20325147682039
7640 20.9736 1.20169876119558
7650 20.9466 1.20015177514873
7660 20.9186 1.19854749332236
7670 20.8916 1.19700050727551
7680 20.8645 1.19544779165071
7690 20.8375 1.19390080560385
7700 20.8104 1.19234808997905
7710 20.7834 1.1908011039322
7720 20.7563 1.18924838830739
7730 20.7301 1.18774723888415
7740 20.7031 1.18620025283729
7750 20.6769 1.18469910341405
7760 20.6499 1.1831521173672
7770 20.6228 1.18159940174239
7780 20.5966 1.18009825231915
7790 20.5705 1.17860283247386
7800 20.5443 1.17710168305062
7810 20.5181 1.17560053362737
7820 20.4919 1.17409938420413
7830 20.4657 1.17259823478089
7840 20.4396 1.1711028149356
