E[eV] theta[mrad] theta[deg]
18000 14.104 0.808099674252513
18010 14.0962 0.807652767172311
18020 14.0883 0.807200130514158
18030 14.0804 0.806747493856004
18040 14.0726 0.806300586775802
18050 14.0656 0.805899516319211
18060 14.0569 0.805401043037447
18070 14.0499 0.804999972580855
18080 14.0412 0.804501499299091
18090 14.0342 0.8041004288425
18100 14.0255 0.803601955560736
18110 14.0185 0.803200885104145
18120 14.0106 0.802748248445991
18130 14.0028 0.802301341365789
18140 13.9958 0.801900270909198
18150 13.9871 0.801401797627434
18160 13.9801 0.801000727170842
18170 13.9722 0.800548090512689
18180 13.9644 0.800101183432487
18190 13.9565 0.799648546774333
18200 13.9495 0.799247476317742
18210 13.9417 0.79880056923754
18220 13.9338 0.798347932579387
18230 13.9269 0.797952591700746
18240 13.9181 0.797448388841031
18250 13.9111 0.79704731838444
18260 13.9042 0.796651977505799
18270 13.8954 0.796147774646084
18280 13.8885 0.795752433767444
18290 13.8815 0.795351363310852
18300 13.8728 0.794852890029088
18310 13.8658 0.794451819572497
18320 13.8588 0.794050749115905
18330 13.8501 0.793552275834141
18340 13.8431 0.79315120537755
18350 13.8361 0.792750134920958
18360 13.8274 0.792251661639195
18370 13.8204 0.791850591182603
18380 13.8134 0.791449520726011
18390 13.8056 0.791002613645809
18400 13.7977 0.790549976987656
18410 13.7907 0.790148906531064
18420 13.7829 0.789701999450862
18430 13.7759 0.789300928994271
18440 13.768 0.788848292336118
18450 13.761 0.788447221879526
18460 13.7532 0.788000314799324
18470 13.7462 0.787599244342732
18480 13.7384 0.78715233726253
18490 13.7305 0.786699700604377
18500 13.7235 0.786298630147785
18510 13.7165 0.785897559691194
18520 13.7087 0.785450652610992
18530 13.7008 0.784998015952838
18540 13.6939 0.784602675074198
18550 13.6869 0.784201604617606
18560 13.6799 0.783800534161015
18570 13.6712 0.783302060879251
18580 13.6642 0.782900990422659
18590 13.6572 0.782499919966068
18600 13.6502 0.782098849509476
18610 13.6432 0.781697779052885
18620 13.6354 0.781250871972683
18630 13.6275 0.780798235314529
18640 13.6206 0.780402894435889
18650 13.6136 0.780001823979297
18660 13.6066 0.779600753522706
18670 13.5987 0.779148116864553
18680 13.5918 0.778752775985912
18690 13.5848 0.778351705529321
18700 13.5769 0.777899068871167
18710 13.5699 0.777497998414576
18720 13.563 0.777102657535936
18730 13.5551 0.776650020877782
18740 13.5481 0.776248950421191
18750 13.5411 0.775847879964599
18760 13.5342 0.775452539085959
18770 13.5272 0.775051468629367
18780 13.5193 0.774598831971214
18790 13.5123 0.774197761514622
18800 13.5045 0.77375085443442
18810 13.4975 0.773349783977829
18820 13.4905 0.772948713521237
18830 13.4835 0.772547643064646
18840 13.4766 0.772152302186005
18850 13.4696 0.771751231729414
18860 13.4626 0.771350161272822
18870 13.4556 0.770949090816231
18880 13.4486 0.770548020359639
18890 13.4408 0.770101113279437
18900 13.4338 0.769700042822845
18910 13.4268 0.769298972366254
18920 13.4198 0.768897901909662
18930 13.4129 0.768502561031022
18940 13.405 0.768049924372869
18950 13.398 0.767648853916277
18960 13.391 0.767247783459685
18970 13.3841 0.766852442581045
18980 13.3771 0.766451372124454
18990 13.3701 0.766050301667862
19000 13.3631 0.76564923121127
19010 13.3561 0.765248160754679
19020 13.3492 0.764852819876039
19030 13.3422 0.764451749419447
19040 13.3352 0.764050678962855
19050 13.3282 0.763649608506264
19060 13.3212 0.763248538049672
19070 13.3142 0.762847467593081
19080 13.3081 0.762497963338051
19090 13.3012 0.762102622459411
19100 13.2933 0.761649985801257
19110 13.2863 0.761248915344666
19120 13.2802 0.760899411089636
19130 13.2732 0.760498340633044
19140 13.2662 0.760097270176453
19150 13.2593 0.759701929297812
19160 13.2523 0.759300858841221
19170 13.2453 0.758899788384629
19180 13.2383 0.758498717928038
19190 13.2313 0.758097647471446
19200 13.2244 0.757702306592806
19210 13.2174 0.757301236136214
19220 13.2104 0.756900165679623
19230 13.2034 0.756499095223031
19240 13.1973 0.756149590968001
19250 13.1903 0.75574852051141
19260 13.1833 0.755347450054818
19270 13.1764 0.754952109176178
19280 13.1694 0.754551038719586
19290 13.1624 0.754149968262995
19300 13.1554 0.753748897806403
19310 13.1484 0.753347827349812
19320 13.1423 0.752998323094782
19330 13.1362 0.752648818839752
19340 13.1292 0.752247748383161
19350 13.1223 0.75185240750452
19360 13.1153 0.751451337047929
19370 13.1083 0.751050266591337
19380 13.1013 0.750649196134745
19390 13.0943 0.750248125678154
19400 13.0882 0.749898621423124
19410 13.0812 0.749497550966533
19420 13.0751 0.749148046711503
19430 13.0682 0.748752705832862
19440 13.0612 0.748351635376271
19450 13.0542 0.747950564919679
19460 13.0481 0.747601060664649
19470 13.0411 0.747199990208058
19480 13.0341 0.746798919751466
19490 13.028 0.746449415496437
19500 13.021 0.746048345039845
19510 13.0149 0.745698840784815
19520 13.0079 0.745297770328224
19530 13.001 0.744902429449583
19540 12.994 0.744501358992992
19550 12.9879 0.744151854737962
