X [$\mu$m],Mean
-3.048380664062500000e+04,0.000000000000000000e+00
-2.987050195312500000e+04,0.000000000000000000e+00
-2.925719726562500000e+04,0.000000000000000000e+00
-2.864389062500000000e+04,0.000000000000000000e+00
-2.803058593750000000e+04,1.830660581588745117e+00
-2.741728125000000000e+04,2.270622730255126953e+00
-2.680397656250000000e+04,1.299729228019714355e+00
-2.619067187500000000e+04,2.027860641479492188e+00
-2.557736718750000000e+04,2.707636356353759766e+00
-2.496406054687500000e+04,3.153804779052734375e+00
-2.435075585937500000e+04,5.280326843261718750e+00
-2.373745117187500000e+04,3.981122016906738281e+00
-2.312414648437500000e+04,8.465708732604980469e+00
-2.251083984375000000e+04,8.904116630554199219e+00
-2.189753515625000000e+04,7.259885787963867188e+00
-2.128423046875000000e+04,9.835084915161132812e+00
-2.067092578125000000e+04,1.360770225524902344e+01
-2.005762109375000000e+04,1.640185165405273438e+01
-1.944431640625000000e+04,1.130136108398437500e+01
-1.883101171875000000e+04,1.099596309661865234e+01
-1.821770507812500000e+04,1.744919395446777344e+01
-1.760440039062500000e+04,1.481753826141357422e+01
-1.699109570312500000e+04,1.695169258117675781e+01
-1.637779003906250000e+04,2.056189918518066406e+01
-1.576448535156250000e+04,2.131981277465820312e+01
-1.515118066406250000e+04,2.778180885314941406e+01
-1.453787500000000000e+04,2.271094703674316406e+01
-1.392457031250000000e+04,2.854254341125488281e+01
-1.331126562500000000e+04,1.745769691467285156e+01
-1.269796093750000000e+04,1.488828182220458984e+01
-1.208465429687500000e+04,1.775505828857421875e+01
-1.147134960937500000e+04,2.669810676574707031e+01
-1.085804492187500000e+04,1.544215583801269531e+01
-1.024474023437500000e+04,2.365199851989746094e+01
-9.631435546875000000e+03,2.099254798889160156e+01
-9.018128906250000000e+03,1.626102256774902344e+01
-8.404824218750000000e+03,2.089247322082519531e+01
-7.791519531250000000e+03,2.291421890258789062e+01
-7.178214843750000000e+03,1.979734611511230469e+01
-6.564910156250000000e+03,2.178392601013183594e+01
-5.951603515625000000e+03,2.261437988281250000e+01
-5.338298828125000000e+03,2.556272315979003906e+01
-4.724994140625000000e+03,1.861646080017089844e+01
-4.111689453125000000e+03,1.797519683837890625e+01
-3.498384765625000000e+03,2.349295234680175781e+01
-2.885080078125000000e+03,1.796022224426269531e+01
-2.271773437500000000e+03,1.597672939300537109e+01
-1.658468750000000000e+03,2.248348999023437500e+01
-1.045164062500000000e+03,2.221076202392578125e+01
-4.318593750000000000e+02,2.058921241760253906e+01
1.814453125000000000e+02,2.958460044860839844e+01
7.947519531250000000e+02,1.704876899719238281e+01
1.408056640625000000e+03,2.709884262084960938e+01
2.021361328125000000e+03,2.066037940979003906e+01
2.634666015625000000e+03,1.910518646240234375e+01
3.247970703125000000e+03,2.416817474365234375e+01
3.861275390625000000e+03,1.970124816894531250e+01
4.474580078125000000e+03,1.665130996704101562e+01
5.087884765625000000e+03,2.153445434570312500e+01
5.701193359375000000e+03,1.923590087890625000e+01
6.314498046875000000e+03,2.059184265136718750e+01
6.927802734375000000e+03,1.985967636108398438e+01
7.541107421875000000e+03,2.786022567749023438e+01
8.154412109375000000e+03,1.712999153137207031e+01
8.767716796875000000e+03,2.093882369995117188e+01
9.381021484375000000e+03,2.444562530517578125e+01
9.994326171875000000e+03,2.561121559143066406e+01
1.060763085937500000e+04,2.297653007507324219e+01
1.122093554687500000e+04,1.875057029724121094e+01
1.183424023437500000e+04,1.873279762268066406e+01
1.244754882812500000e+04,2.516664123535156250e+01
1.306085351562500000e+04,1.748905944824218750e+01
1.367415820312500000e+04,1.957551574707031250e+01
1.428746289062500000e+04,1.922904777526855469e+01
1.490076757812500000e+04,1.838317680358886719e+01
1.551407226562500000e+04,2.487224960327148438e+01
1.612737695312500000e+04,1.619921302795410156e+01
1.674068164062500000e+04,1.472684860229492188e+01
1.735398632812500000e+04,1.709831809997558594e+01
1.796729101562500000e+04,1.741270256042480469e+01
1.858059960937500000e+04,1.782215690612792969e+01
1.919390429687500000e+04,1.007718563079833984e+01
1.980720898437500000e+04,1.009812164306640625e+01
2.042051367187500000e+04,1.436157894134521484e+01
2.103381835937500000e+04,9.686060905456542969e+00
2.164712304687500000e+04,1.011663627624511719e+01
2.226042773437500000e+04,1.063357448577880859e+01
2.287373242187500000e+04,7.788624763488769531e+00
2.348703710937500000e+04,6.344683647155761719e+00
2.410034179687500000e+04,3.454316854476928711e+00
2.471364648437500000e+04,6.384376525878906250e+00
2.532695507812500000e+04,1.648237824440002441e+00
2.594025976562500000e+04,1.305891275405883789e+00
2.655356445312500000e+04,1.821447134017944336e+00
2.716686914062500000e+04,1.201232194900512695e+00
2.778017382812500000e+04,0.000000000000000000e+00
2.839347851562500000e+04,5.443088412284851074e-01
2.900678320312500000e+04,0.000000000000000000e+00
2.962008789062500000e+04,0.000000000000000000e+00
3.023339257812500000e+04,0.000000000000000000e+00
