Z [$\mu$m],Mean
-5.230548339843750000e+03,0.000000000000000000e+00
-5.124720214843750000e+03,0.000000000000000000e+00
-5.018892089843750000e+03,2.615631818771362305e+00
-4.913063964843750000e+03,1.322128582000732422e+01
-4.807235839843750000e+03,1.595583343505859375e+01
-4.701408203125000000e+03,1.292583179473876953e+01
-4.595580078125000000e+03,1.263319492340087891e+01
-4.489751953125000000e+03,1.284200572967529297e+01
-4.383923828125000000e+03,1.640820121765136719e+01
-4.278095703125000000e+03,1.310277557373046875e+01
-4.172267578125000000e+03,1.576877593994140625e+01
-4.066439453125000000e+03,1.328456592559814453e+01
-3.960611328125000000e+03,1.772605705261230469e+01
-3.854783203125000000e+03,1.095349025726318359e+01
-3.748955078125000000e+03,1.979197120666503906e+01
-3.643127197265625000e+03,1.272673511505126953e+01
-3.537299072265625000e+03,1.352620983123779297e+01
-3.431470947265625000e+03,1.407680988311767578e+01
-3.325643066406250000e+03,2.009635353088378906e+01
-3.219814941406250000e+03,1.511443424224853516e+01
-3.113986816406250000e+03,1.695217514038085938e+01
-3.008158691406250000e+03,1.815189933776855469e+01
-2.902330566406250000e+03,2.293947029113769531e+01
-2.796502441406250000e+03,1.890815734863281250e+01
-2.690674316406250000e+03,1.832486724853515625e+01
-2.584846435546875000e+03,1.512669563293457031e+01
-2.479018310546875000e+03,1.924484062194824219e+01
-2.373190185546875000e+03,1.698406600952148438e+01
-2.267362060546875000e+03,2.187034988403320312e+01
-2.161533935546875000e+03,1.680328559875488281e+01
-2.055706054687500000e+03,2.596349525451660156e+01
-1.949877929687500000e+03,1.765657234191894531e+01
-1.844049804687500000e+03,2.216095161437988281e+01
-1.738221679687500000e+03,1.498157024383544922e+01
-1.632393554687500000e+03,1.485853099822998047e+01
-1.526565673828125000e+03,2.235731124877929688e+01
-1.420737548828125000e+03,1.902117538452148438e+01
-1.314909423828125000e+03,2.496195220947265625e+01
-1.209081298828125000e+03,2.396416282653808594e+01
-1.103253417968750000e+03,1.326083183288574219e+01
-9.974252929687500000e+02,1.919712257385253906e+01
-8.915971679687500000e+02,2.091358375549316406e+01
-7.857690429687500000e+02,1.484476947784423828e+01
-6.799409179687500000e+02,1.802454185485839844e+01
-5.741127929687500000e+02,2.936960983276367188e+01
-4.682846679687500000e+02,2.154212379455566406e+01
-3.624565429687500000e+02,1.450872707366943359e+01
-2.566284179687500000e+02,1.425506591796875000e+01
-1.508002929687500000e+02,1.962464141845703125e+01
-4.497265625000000000e+01,1.704876899719238281e+01
6.085546875000000000e+01,2.408121490478515625e+01
1.666835937500000000e+02,1.376063919067382812e+01
2.725117187500000000e+02,1.117240142822265625e+01
3.783398437500000000e+02,2.266505813598632812e+01
4.841679687500000000e+02,2.072268104553222656e+01
5.899960937500000000e+02,2.930844116210937500e+01
6.958242187500000000e+02,1.856844139099121094e+01
8.016523437500000000e+02,1.321278190612792969e+01
9.074804687500000000e+02,1.644517517089843750e+01
1.013308105468750000e+03,2.086612319946289062e+01
1.119136230468750000e+03,1.537514019012451172e+01
1.224964355468750000e+03,2.074063873291015625e+01
1.330792480468750000e+03,1.829407882690429688e+01
1.436620605468750000e+03,1.515476322174072266e+01
1.542448730468750000e+03,1.703942489624023438e+01
1.648276855468750000e+03,2.687959098815917969e+01
1.754104980468750000e+03,1.983727073669433594e+01
1.859933105468750000e+03,1.590485954284667969e+01
1.965761230468750000e+03,2.359161186218261719e+01
2.071589355468750000e+03,1.639519309997558594e+01
2.177416992187500000e+03,2.090225791931152344e+01
2.283245117187500000e+03,2.627997207641601562e+01
2.389073242187500000e+03,1.717349433898925781e+01
2.494901367187500000e+03,1.988902664184570312e+01
2.600729492187500000e+03,1.572488689422607422e+01
2.706557617187500000e+03,1.438076114654541016e+01
2.812385742187500000e+03,1.424370574951171875e+01
2.918213867187500000e+03,1.545997333526611328e+01
3.024041503906250000e+03,1.783474540710449219e+01
3.129869628906250000e+03,1.494056510925292969e+01
3.235697753906250000e+03,1.977066993713378906e+01
3.341525878906250000e+03,1.525868988037109375e+01
3.447354003906250000e+03,1.876304435729980469e+01
3.553182128906250000e+03,1.751755523681640625e+01
3.659010253906250000e+03,1.485478878021240234e+01
3.764838378906250000e+03,8.332243919372558594e+00
3.870666503906250000e+03,1.903380775451660156e+01
3.976494628906250000e+03,1.638832283020019531e+01
4.082322753906250000e+03,1.871389007568359375e+01
4.188150878906250000e+03,1.133187484741210938e+01
4.293979003906250000e+03,1.238104152679443359e+01
4.399807128906250000e+03,1.395541858673095703e+01
4.505635253906250000e+03,1.816571235656738281e+01
4.611463378906250000e+03,1.747447586059570312e+01
4.717291503906250000e+03,1.198950862884521484e+01
4.823119628906250000e+03,1.502958011627197266e+01
4.928947753906250000e+03,9.783622741699218750e+00
5.034774902343750000e+03,2.668028116226196289e+00
5.140603027343750000e+03,0.000000000000000000e+00
5.246431152343750000e+03,0.000000000000000000e+00
