Z [$\mu$m],Mean
-5.236818847656250000e+03,0.000000000000000000e+00
-5.130671875000000000e+03,0.000000000000000000e+00
-5.024524902343750000e+03,4.350654602050781250e+00
-4.918377929687500000e+03,1.555190753936767578e+01
-4.812230957031250000e+03,2.569339179992675781e+01
-4.706083984375000000e+03,1.157415771484375000e+01
-4.599937500000000000e+03,1.730412864685058594e+01
-4.493790527343750000e+03,1.860570335388183594e+01
-4.387643554687500000e+03,1.202043247222900391e+01
-4.281496582031250000e+03,1.519452953338623047e+01
-4.175349609375000000e+03,1.562954521179199219e+01
-4.069202636718750000e+03,1.466313552856445312e+01
-3.963055664062500000e+03,1.255648612976074219e+01
-3.856908935546875000e+03,1.027681064605712891e+01
-3.750761962890625000e+03,2.418555259704589844e+01
-3.644615234375000000e+03,1.542415809631347656e+01
-3.538468261718750000e+03,1.548307991027832031e+01
-3.432321289062500000e+03,1.214071941375732422e+01
-3.326174316406250000e+03,2.268717765808105469e+01
-3.220027343750000000e+03,1.203849601745605469e+01
-3.113880371093750000e+03,1.625811767578125000e+01
-3.007733642578125000e+03,2.204640197753906250e+01
-2.901586669921875000e+03,1.962069892883300781e+01
-2.795439697265625000e+03,1.697549057006835938e+01
-2.689292724609375000e+03,2.491291236877441406e+01
-2.583145751953125000e+03,1.206102943420410156e+01
-2.476999023437500000e+03,2.315400123596191406e+01
-2.370852050781250000e+03,1.565906906127929688e+01
-2.264705078125000000e+03,3.275525283813476562e+01
-2.158558105468750000e+03,1.072025680541992188e+01
-2.052411376953125000e+03,2.518356704711914062e+01
-1.946264404296875000e+03,2.130119132995605469e+01
-1.840117431640625000e+03,1.677274513244628906e+01
-1.733970458984375000e+03,1.469921588897705078e+01
-1.627823486328125000e+03,1.786792182922363281e+01
-1.521676757812500000e+03,2.394568634033203125e+01
-1.415529785156250000e+03,2.023143386840820312e+01
-1.309382812500000000e+03,2.034451866149902344e+01
-1.203235839843750000e+03,1.884206581115722656e+01
-1.097088867187500000e+03,1.244890022277832031e+01
-9.909418945312500000e+02,1.961437416076660156e+01
-8.847949218750000000e+02,2.477258491516113281e+01
-7.786484375000000000e+02,1.484426498413085938e+01
-6.725014648437500000e+02,2.004887580871582031e+01
-5.663544921875000000e+02,4.023782348632812500e+01
-4.602075195312500000e+02,1.680334281921386719e+01
-3.540605468750000000e+02,1.529322910308837891e+01
-2.479135742187500000e+02,1.261111545562744141e+01
-1.417666015625000000e+02,2.565672683715820312e+01
-3.561962890625000000e+01,2.508586883544921875e+01
7.052734375000000000e+01,2.426599502563476562e+01
1.766738281250000000e+02,1.401076221466064453e+01
2.828208007812500000e+02,8.586117744445800781e+00
3.889677734375000000e+02,2.342662239074707031e+01
4.951147460937500000e+02,2.829301261901855469e+01
6.012617187500000000e+02,2.236476516723632812e+01
7.074086914062500000e+02,1.952603912353515625e+01
8.135556640625000000e+02,1.615116500854492188e+01
9.197026367187500000e+02,1.478898525238037109e+01
1.025849609375000000e+03,1.876067543029785156e+01
1.131996093750000000e+03,1.873395919799804688e+01
1.238143066406250000e+03,2.653445816040039062e+01
1.344290039062500000e+03,1.357443904876708984e+01
1.450437011718750000e+03,1.833634567260742188e+01
1.556583984375000000e+03,2.169792747497558594e+01
1.662730957031250000e+03,2.905889701843261719e+01
1.768877929687500000e+03,1.667511177062988281e+01
1.875024902343750000e+03,1.812002182006835938e+01
1.981171875000000000e+03,2.015847206115722656e+01
2.087318359375000000e+03,1.090833187103271484e+01
2.193465332031250000e+03,2.067016792297363281e+01
2.299612304687500000e+03,2.393425369262695312e+01
2.405759277343750000e+03,1.849052810668945312e+01
2.511906250000000000e+03,2.247552299499511719e+01
2.618053222656250000e+03,1.159295940399169922e+01
2.724200195312500000e+03,1.119388294219970703e+01
2.830347167968750000e+03,9.602848052978515625e+00
2.936494140625000000e+03,1.828223037719726562e+01
3.042641113281250000e+03,2.492201423645019531e+01
3.148787597656250000e+03,1.308074378967285156e+01
3.254935058593750000e+03,2.520735549926757812e+01
3.361081542968750000e+03,2.440396881103515625e+01
3.467229003906250000e+03,2.237965202331542969e+01
3.573375488281250000e+03,1.943075752258300781e+01
3.679521972656250000e+03,1.710660934448242188e+01
3.785669433593750000e+03,2.081773185729980469e+01
3.891815917968750000e+03,2.235712432861328125e+01
3.997963378906250000e+03,9.576008796691894531e+00
4.104109863281250000e+03,1.287007141113281250e+01
4.210257324218750000e+03,1.400969791412353516e+01
4.316403808593750000e+03,1.212474346160888672e+01
4.422551269531250000e+03,1.271066284179687500e+01
4.528697753906250000e+03,2.386409187316894531e+01
4.634844238281250000e+03,1.983602142333984375e+01
4.740991699218750000e+03,1.209979724884033203e+01
4.847138183593750000e+03,7.985563755035400391e+00
4.953285644531250000e+03,6.053583145141601562e+00
5.059432128906250000e+03,1.296455979347229004e+00
5.165579589843750000e+03,0.000000000000000000e+00
5.271726074218750000e+03,0.000000000000000000e+00
