Z [$\mu$m],Mean
-2.637292724609375000e+03,0.000000000000000000e+00
-2.584066650390625000e+03,0.000000000000000000e+00
-2.530840576171875000e+03,0.000000000000000000e+00
-2.477614501953125000e+03,4.048656940460205078e+00
-2.424388427734375000e+03,2.332247543334960938e+01
-2.371162353515625000e+03,2.027305793762207031e+01
-2.317936279296875000e+03,2.016779708862304688e+01
-2.264710205078125000e+03,1.695878601074218750e+01
-2.211484130859375000e+03,2.067547225952148438e+01
-2.158258056640625000e+03,2.371370887756347656e+01
-2.105031738281250000e+03,1.308968639373779297e+01
-2.051805664062500000e+03,1.569649314880371094e+01
-1.998579711914062500e+03,2.552949714660644531e+01
-1.945353637695312500e+03,1.820519065856933594e+01
-1.892127441406250000e+03,2.555793380737304688e+01
-1.838901367187500000e+03,3.047913551330566406e+01
-1.785675292968750000e+03,2.721220588684082031e+01
-1.732449218750000000e+03,1.437173175811767578e+01
-1.679223144531250000e+03,2.233413887023925781e+01
-1.625997070312500000e+03,2.570072174072265625e+01
-1.572770996093750000e+03,2.124849891662597656e+01
-1.519544921875000000e+03,2.620375442504882812e+01
-1.466318847656250000e+03,3.235633850097656250e+01
-1.413092773437500000e+03,1.715838623046875000e+01
-1.359866699218750000e+03,3.553538131713867188e+01
-1.306640625000000000e+03,3.580523300170898438e+01
-1.253414550781250000e+03,2.084645271301269531e+01
-1.200188354492187500e+03,2.541988563537597656e+01
-1.146962280273437500e+03,2.154805374145507812e+01
-1.093736206054687500e+03,2.428611946105957031e+01
-1.040510131835937500e+03,2.615481948852539062e+01
-9.872840576171875000e+02,2.764082336425781250e+01
-9.340579833984375000e+02,2.795347976684570312e+01
-8.808319091796875000e+02,3.044683837890625000e+01
-8.276058349609375000e+02,2.341536712646484375e+01
-7.743797607421875000e+02,2.742726135253906250e+01
-7.211536865234375000e+02,3.673138046264648438e+01
-6.679276123046875000e+02,3.983398437500000000e+01
-6.147014160156250000e+02,2.965701103210449219e+01
-5.614753417968750000e+02,1.204798221588134766e+01
-5.082492675781250000e+02,2.093787765502929688e+01
-4.550231933593750000e+02,2.810027885437011719e+01
-4.017971191406250000e+02,1.999452972412109375e+01
-3.485710449218750000e+02,1.907427978515625000e+01
-2.953449707031250000e+02,4.484487152099609375e+01
-2.421188964843750000e+02,3.269067764282226562e+01
-1.888928222656250000e+02,1.993813514709472656e+01
-1.356667480468750000e+02,2.294659614562988281e+01
-8.244067382812500000e+01,3.195212364196777344e+01
-2.921459960937500000e+01,3.256356048583984375e+01
2.401147460937500000e+01,3.261309432983398438e+01
7.723754882812500000e+01,1.483569240570068359e+01
1.304636230468750000e+02,1.745588111877441406e+01
1.836896972656250000e+02,2.881875801086425781e+01
2.369160156250000000e+02,3.322362899780273438e+01
2.901420898437500000e+02,2.939145851135253906e+01
3.433681640625000000e+02,3.505707931518554688e+01
3.965942382812500000e+02,1.616017913818359375e+01
4.498203125000000000e+02,3.250326538085937500e+01
5.030463867187500000e+02,2.303038787841796875e+01
5.562724609375000000e+02,3.158939170837402344e+01
6.094985351562500000e+02,2.772601509094238281e+01
6.627246093750000000e+02,1.584618663787841797e+01
7.159506835937500000e+02,1.660596847534179688e+01
7.691767578125000000e+02,3.054055213928222656e+01
8.224028320312500000e+02,3.811183547973632812e+01
8.756289062500000000e+02,2.362843894958496094e+01
9.288549804687500000e+02,2.371784019470214844e+01
9.820810546875000000e+02,2.640258026123046875e+01
1.035307128906250000e+03,2.469777107238769531e+01
1.088533203125000000e+03,2.239018821716308594e+01
1.141759277343750000e+03,2.760780525207519531e+01
1.194985351562500000e+03,2.477688980102539062e+01
1.248211425781250000e+03,3.895548629760742188e+01
1.301437500000000000e+03,1.453342056274414062e+01
1.354663818359375000e+03,1.881156158447265625e+01
1.407889892578125000e+03,1.306000900268554688e+01
1.461115966796875000e+03,2.957526206970214844e+01
1.514342041015625000e+03,2.642401123046875000e+01
1.567568115234375000e+03,2.690171432495117188e+01
1.620794189453125000e+03,3.588209915161132812e+01
1.674020263671875000e+03,3.165853691101074219e+01
1.727246337890625000e+03,3.099589157104492188e+01
1.780472412109375000e+03,1.878452682495117188e+01
1.833698486328125000e+03,2.004525947570800781e+01
1.886924560546875000e+03,2.713213157653808594e+01
1.940150634765625000e+03,1.531159782409667969e+01
1.993376708984375000e+03,9.203968048095703125e+00
2.046602783203125000e+03,1.677924728393554688e+01
2.099828857421875000e+03,1.595180225372314453e+01
2.153054931640625000e+03,1.734839057922363281e+01
2.206281005859375000e+03,3.042672157287597656e+01
2.259507080078125000e+03,3.016620445251464844e+01
2.312733154296875000e+03,1.874390602111816406e+01
2.365959228515625000e+03,1.834286880493164062e+01
2.419185302734375000e+03,1.373208808898925781e+01
2.472411376953125000e+03,4.362272262573242188e+00
2.525637451171875000e+03,6.935871839523315430e-01
2.578863525390625000e+03,0.000000000000000000e+00
2.632089599609375000e+03,0.000000000000000000e+00
