X [$\mu$m],Mean
-3.095893359375000000e+04,0.000000000000000000e+00
-3.033545507812500000e+04,0.000000000000000000e+00
-2.971197656250000000e+04,0.000000000000000000e+00
-2.908849804687500000e+04,0.000000000000000000e+00
-2.846501953125000000e+04,2.099784761667251587e-01
-2.784153906250000000e+04,6.545496173202991486e-03
-2.721806054687500000e+04,1.486249327659606934e+00
-2.659458203125000000e+04,2.037570714950561523e+00
-2.597110351562500000e+04,1.862031936645507812e+00
-2.534762500000000000e+04,3.620256900787353516e+00
-2.472414648437500000e+04,4.865674018859863281e+00
-2.410066796875000000e+04,4.043481826782226562e+00
-2.347718750000000000e+04,2.506290912628173828e+00
-2.285371093750000000e+04,3.490304708480834961e+00
-2.223023046875000000e+04,7.642472267150878906e+00
-2.160675195312500000e+04,9.212360382080078125e+00
-2.098327343750000000e+04,1.010723781585693359e+01
-2.035979492187500000e+04,9.933957099914550781e+00
-1.973631640625000000e+04,6.322209358215332031e+00
-1.911283593750000000e+04,1.060264301300048828e+01
-1.848935937500000000e+04,1.169549369812011719e+01
-1.786587890625000000e+04,1.280995941162109375e+01
-1.724240039062500000e+04,1.427350997924804688e+01
-1.661892187500000000e+04,1.471495819091796875e+01
-1.599544335937500000e+04,1.352208328247070312e+01
-1.537196484375000000e+04,1.749248313903808594e+01
-1.474848632812500000e+04,1.439981365203857422e+01
-1.412500781250000000e+04,2.420112228393554688e+01
-1.350152734375000000e+04,1.056723976135253906e+01
-1.287804882812500000e+04,1.962855339050292969e+01
-1.225457031250000000e+04,1.119096660614013672e+01
-1.163109179687500000e+04,1.753834152221679688e+01
-1.100761328125000000e+04,1.741399192810058594e+01
-1.038413476562500000e+04,1.703964996337890625e+01
-9.760656250000000000e+03,1.874249076843261719e+01
-9.137177734375000000e+03,1.692928695678710938e+01
-8.513699218750000000e+03,1.960179138183593750e+01
-7.890218750000000000e+03,1.752849388122558594e+01
-7.266740234375000000e+03,1.729449844360351562e+01
-6.643261718750000000e+03,2.359164810180664062e+01
-6.019783203125000000e+03,1.857900619506835938e+01
-5.396304687500000000e+03,1.880141830444335938e+01
-4.772826171875000000e+03,2.220647239685058594e+01
-4.149347656250000000e+03,1.861408424377441406e+01
-3.525867187500000000e+03,1.890239334106445312e+01
-2.902388671875000000e+03,1.760435867309570312e+01
-2.278910156250000000e+03,2.359374046325683594e+01
-1.655431640625000000e+03,1.683871078491210938e+01
-1.031953125000000000e+03,1.473750209808349609e+01
-4.084746093750000000e+02,1.648294448852539062e+01
2.150039062500000000e+02,2.280071258544921875e+01
8.384824218750000000e+02,1.333079338073730469e+01
1.461960937500000000e+03,2.037857627868652344e+01
2.085441406250000000e+03,1.469988918304443359e+01
2.708917968750000000e+03,2.266754531860351562e+01
3.332398437500000000e+03,9.608862876892089844e+00
3.955878906250000000e+03,1.513989734649658203e+01
4.579355468750000000e+03,1.435914993286132812e+01
5.202835937500000000e+03,1.808566474914550781e+01
5.826312500000000000e+03,1.409506034851074219e+01
6.449792968750000000e+03,1.586041927337646484e+01
7.073269531250000000e+03,1.980946922302246094e+01
7.696750000000000000e+03,1.436529731750488281e+01
8.320226562500000000e+03,1.470435810089111328e+01
8.943707031250000000e+03,1.225777435302734375e+01
9.567187500000000000e+03,1.766047668457031250e+01
1.019066406250000000e+04,1.638779640197753906e+01
1.081414453125000000e+04,1.811338233947753906e+01
1.143762109375000000e+04,1.452693462371826172e+01
1.206110156250000000e+04,1.225248527526855469e+01
1.268457812500000000e+04,1.782729530334472656e+01
1.330805859375000000e+04,1.735305595397949219e+01
1.393153515625000000e+04,1.970246505737304688e+01
1.455501562500000000e+04,1.629652595520019531e+01
1.517849609375000000e+04,1.743744087219238281e+01
1.580197265625000000e+04,1.146930122375488281e+01
1.642545312500000000e+04,1.221886539459228516e+01
1.704892968750000000e+04,1.179478073120117188e+01
1.767241015625000000e+04,1.897963523864746094e+01
1.829588671875000000e+04,9.799605369567871094e+00
1.891936718750000000e+04,1.929735755920410156e+01
1.954284765625000000e+04,5.583270549774169922e+00
2.016632421875000000e+04,9.346063613891601562e+00
2.078980468750000000e+04,7.318929672241210938e+00
2.141328125000000000e+04,6.845582962036132812e+00
2.203676171875000000e+04,5.139728069305419922e+00
2.266023828125000000e+04,3.338960170745849609e+00
2.328371875000000000e+04,2.784434080123901367e+00
2.390719921875000000e+04,2.038680791854858398e+00
2.453067578125000000e+04,2.383653879165649414e+00
2.515415625000000000e+04,8.413581848144531250e-01
2.577763281250000000e+04,7.665360569953918457e-01
2.640111328125000000e+04,2.957772016525268555e+00
2.702458984375000000e+04,0.000000000000000000e+00
2.764807031250000000e+04,0.000000000000000000e+00
2.827154687500000000e+04,0.000000000000000000e+00
2.889502734375000000e+04,0.000000000000000000e+00
2.951850781250000000e+04,0.000000000000000000e+00
3.014198437500000000e+04,0.000000000000000000e+00
3.076546484375000000e+04,0.000000000000000000e+00
