Z [$\mu$m],Mean
-2.637292724609375000e+03,0.000000000000000000e+00
-2.584066650390625000e+03,0.000000000000000000e+00
-2.530840576171875000e+03,0.000000000000000000e+00
-2.477614501953125000e+03,1.408405303955078125e+00
-2.424388427734375000e+03,2.290672302246093750e+01
-2.371162353515625000e+03,2.160159111022949219e+01
-2.317936279296875000e+03,1.993450927734375000e+01
-2.264710205078125000e+03,1.415005970001220703e+01
-2.211484130859375000e+03,1.595503616333007812e+01
-2.158258056640625000e+03,1.843304252624511719e+01
-2.105031738281250000e+03,2.103701210021972656e+01
-2.051805664062500000e+03,2.015987014770507812e+01
-1.998579711914062500e+03,2.127763748168945312e+01
-1.945353637695312500e+03,2.254454421997070312e+01
-1.892127441406250000e+03,1.499191570281982422e+01
-1.838901367187500000e+03,3.505751800537109375e+01
-1.785675292968750000e+03,2.079451179504394531e+01
-1.732449218750000000e+03,2.219494247436523438e+01
-1.679223144531250000e+03,2.033806800842285156e+01
-1.625997070312500000e+03,2.966287422180175781e+01
-1.572770996093750000e+03,2.611423492431640625e+01
-1.519544921875000000e+03,2.604521369934082031e+01
-1.466318847656250000e+03,3.355384063720703125e+01
-1.413092773437500000e+03,2.180764961242675781e+01
-1.359866699218750000e+03,3.037255668640136719e+01
-1.306640625000000000e+03,3.252479171752929688e+01
-1.253414550781250000e+03,2.018369102478027344e+01
-1.200188354492187500e+03,2.333352088928222656e+01
-1.146962280273437500e+03,2.779376602172851562e+01
-1.093736206054687500e+03,2.395047187805175781e+01
-1.040510131835937500e+03,2.113306045532226562e+01
-9.872840576171875000e+02,3.758523559570312500e+01
-9.340579833984375000e+02,2.978010368347167969e+01
-8.808319091796875000e+02,1.773581695556640625e+01
-8.276058349609375000e+02,2.327583312988281250e+01
-7.743797607421875000e+02,2.715217781066894531e+01
-7.211536865234375000e+02,3.222771835327148438e+01
-6.679276123046875000e+02,3.111095046997070312e+01
-6.147014160156250000e+02,2.110475349426269531e+01
-5.614753417968750000e+02,1.945001411437988281e+01
-5.082492675781250000e+02,2.216651535034179688e+01
-4.550231933593750000e+02,3.208465194702148438e+01
-4.017971191406250000e+02,2.035835647583007812e+01
-3.485710449218750000e+02,1.399388599395751953e+01
-2.953449707031250000e+02,4.586944580078125000e+01
-2.421188964843750000e+02,2.878662109375000000e+01
-1.888928222656250000e+02,2.119805526733398438e+01
-1.356667480468750000e+02,1.599592399597167969e+01
-8.244067382812500000e+01,2.888910675048828125e+01
-2.921459960937500000e+01,3.542544555664062500e+01
2.401147460937500000e+01,2.921897506713867188e+01
7.723754882812500000e+01,1.683871078491210938e+01
1.304636230468750000e+02,1.797293281555175781e+01
1.836896972656250000e+02,2.905196952819824219e+01
2.369160156250000000e+02,4.587089538574218750e+01
2.901420898437500000e+02,3.294359588623046875e+01
3.433681640625000000e+02,2.698336219787597656e+01
3.965942382812500000e+02,2.875884246826171875e+01
4.498203125000000000e+02,2.607166671752929688e+01
5.030463867187500000e+02,1.567216587066650391e+01
5.562724609375000000e+02,3.406868362426757812e+01
6.094985351562500000e+02,2.973409843444824219e+01
6.627246093750000000e+02,2.132321548461914062e+01
7.159506835937500000e+02,2.599609184265136719e+01
7.691767578125000000e+02,3.157923889160156250e+01
8.224028320312500000e+02,4.563780975341796875e+01
8.756289062500000000e+02,2.349874687194824219e+01
9.288549804687500000e+02,2.546378135681152344e+01
9.820810546875000000e+02,2.742297554016113281e+01
1.035307128906250000e+03,2.049429130554199219e+01
1.088533203125000000e+03,2.964539527893066406e+01
1.141759277343750000e+03,2.525097274780273438e+01
1.194985351562500000e+03,2.307408523559570312e+01
1.248211425781250000e+03,4.050803375244140625e+01
1.301437500000000000e+03,2.477519416809082031e+01
1.354663818359375000e+03,1.052091789245605469e+01
1.407889892578125000e+03,1.476283359527587891e+01
1.461115966796875000e+03,2.655438804626464844e+01
1.514342041015625000e+03,3.034298515319824219e+01
1.567568115234375000e+03,2.958857154846191406e+01
1.620794189453125000e+03,4.580245590209960938e+01
1.674020263671875000e+03,4.242263412475585938e+01
1.727246337890625000e+03,2.544452285766601562e+01
1.780472412109375000e+03,2.231153488159179688e+01
1.833698486328125000e+03,2.124290847778320312e+01
1.886924560546875000e+03,2.792651557922363281e+01
1.940150634765625000e+03,2.273010635375976562e+01
1.993376708984375000e+03,1.728964424133300781e+01
2.046602783203125000e+03,2.188024139404296875e+01
2.099828857421875000e+03,2.039966201782226562e+01
2.153054931640625000e+03,2.005661773681640625e+01
2.206281005859375000e+03,2.428694915771484375e+01
2.259507080078125000e+03,2.423711967468261719e+01
2.312733154296875000e+03,1.834010887145996094e+01
2.365959228515625000e+03,2.230294799804687500e+01
2.419185302734375000e+03,1.246240901947021484e+01
2.472411376953125000e+03,4.323494911193847656e+00
2.525637451171875000e+03,0.000000000000000000e+00
2.578863525390625000e+03,0.000000000000000000e+00
2.632089599609375000e+03,0.000000000000000000e+00
