X [$\mu$m],Mean
-3.138118359375000000e+04,0.000000000000000000e+00
-3.075273632812500000e+04,0.000000000000000000e+00
-3.012428710937500000e+04,0.000000000000000000e+00
-2.949583984375000000e+04,1.415835507214069366e-02
-2.886739257812500000e+04,0.000000000000000000e+00
-2.823894531250000000e+04,0.000000000000000000e+00
-2.761049609375000000e+04,1.961101770401000977e+00
-2.698204882812500000e+04,1.305719971656799316e+00
-2.635360156250000000e+04,1.552423357963562012e+00
-2.572515234375000000e+04,2.824402809143066406e+00
-2.509670507812500000e+04,3.991604089736938477e+00
-2.446825781250000000e+04,5.737611293792724609e+00
-2.383980859375000000e+04,5.316941261291503906e+00
-2.321136132812500000e+04,5.117907047271728516e+00
-2.258291406250000000e+04,1.093133258819580078e+01
-2.195446679687500000e+04,6.793688297271728516e+00
-2.132601953125000000e+04,6.498597621917724609e+00
-2.069757031250000000e+04,7.805362224578857422e+00
-2.006912304687500000e+04,9.833974838256835938e+00
-1.944067578125000000e+04,1.528513431549072266e+01
-1.881222656250000000e+04,1.377509593963623047e+01
-1.818377929687500000e+04,2.277630233764648438e+01
-1.755533203125000000e+04,1.417418193817138672e+01
-1.692688281250000000e+04,1.703185081481933594e+01
-1.629843554687500000e+04,1.902034950256347656e+01
-1.566998828125000000e+04,2.019605636596679688e+01
-1.504154003906250000e+04,2.266601181030273438e+01
-1.441309179687500000e+04,3.187573623657226562e+01
-1.378464453125000000e+04,2.006023979187011719e+01
-1.315619726562500000e+04,1.994203567504882812e+01
-1.252775000000000000e+04,1.929652595520019531e+01
-1.189930078125000000e+04,1.955010032653808594e+01
-1.127085351562500000e+04,2.764692687988281250e+01
-1.064240625000000000e+04,2.621645736694335938e+01
-1.001395703125000000e+04,1.745051383972167969e+01
-9.385509765625000000e+03,2.098875808715820312e+01
-8.757062500000000000e+03,2.407077217102050781e+01
-8.128615234375000000e+03,2.191379165649414062e+01
-7.500166015625000000e+03,1.925396919250488281e+01
-6.871718750000000000e+03,1.487395477294921875e+01
-6.243271484375000000e+03,2.017184066772460938e+01
-5.614822265625000000e+03,2.197057342529296875e+01
-4.986375000000000000e+03,2.356120109558105469e+01
-4.357927734375000000e+03,2.210714721679687500e+01
-3.729480468750000000e+03,1.529853630065917969e+01
-3.101031250000000000e+03,2.100755882263183594e+01
-2.472583984375000000e+03,1.799702072143554688e+01
-1.844136718750000000e+03,3.169960594177246094e+01
-1.215687500000000000e+03,1.771782302856445312e+01
-5.872402343750000000e+02,1.875552749633789062e+01
4.120703125000000000e+01,1.565584945678710938e+01
6.696542968750000000e+02,2.029247856140136719e+01
1.298103515625000000e+03,2.197553253173828125e+01
1.926550781250000000e+03,2.252189826965332031e+01
2.555000000000000000e+03,1.413800621032714844e+01
3.183445312500000000e+03,1.556168842315673828e+01
3.811894531250000000e+03,2.299110031127929688e+01
4.440343750000000000e+03,2.240694046020507812e+01
5.068789062500000000e+03,1.912872886657714844e+01
5.697238281250000000e+03,2.513443374633789062e+01
6.325683593750000000e+03,1.963092041015625000e+01
6.954132812500000000e+03,2.147444725036621094e+01
7.582582031250000000e+03,2.726118659973144531e+01
8.211027343750000000e+03,2.345258140563964844e+01
8.839476562500000000e+03,1.924865913391113281e+01
9.467925781250000000e+03,1.813390731811523438e+01
1.009637109375000000e+04,1.928149223327636719e+01
1.072482031250000000e+04,2.049198532104492188e+01
1.135326953125000000e+04,2.557617187500000000e+01
1.198171484375000000e+04,2.100561523437500000e+01
1.261016406250000000e+04,2.133694648742675781e+01
1.323860937500000000e+04,1.900401687622070312e+01
1.386705859375000000e+04,1.350871467590332031e+01
1.449550781250000000e+04,2.348134422302246094e+01
1.512395312500000000e+04,1.434586620330810547e+01
1.575240234375000000e+04,1.727881240844726562e+01
1.638085156250000000e+04,1.498202133178710938e+01
1.700929687500000000e+04,1.619027900695800781e+01
1.763774609375000000e+04,2.304806137084960938e+01
1.826619531250000000e+04,1.659137344360351562e+01
1.889464062500000000e+04,1.382869720458984375e+01
1.952308984375000000e+04,1.283442497253417969e+01
2.015153906250000000e+04,1.310866069793701172e+01
2.077998437500000000e+04,1.049557304382324219e+01
2.140843359375000000e+04,6.943406105041503906e+00
2.203687890625000000e+04,1.261650943756103516e+01
2.266532812500000000e+04,4.413558483123779297e+00
2.329377734375000000e+04,2.643629550933837891e+00
2.392222265625000000e+04,5.679493904113769531e+00
2.455067187500000000e+04,4.855702400207519531e+00
2.517912109375000000e+04,3.702211141586303711e+00
2.580756640625000000e+04,9.501665830612182617e-01
2.643601562500000000e+04,9.514411687850952148e-01
2.706446484375000000e+04,0.000000000000000000e+00
2.769291015625000000e+04,4.352537170052528381e-02
2.832135937500000000e+04,2.257477026432752609e-03
2.894980859375000000e+04,0.000000000000000000e+00
2.957825390625000000e+04,0.000000000000000000e+00
3.020670312500000000e+04,0.000000000000000000e+00
3.083514843750000000e+04,0.000000000000000000e+00
