Energy [eV],Flux [Phot/sec/0.1%bw]
1.000000000000000000e+02,3.540584733920093750e+14
1.599599599599599742e+02,3.894978547554527500e+14
2.199199199199199199e+02,4.112334398957242500e+14
2.798798798798798657e+02,4.255635004249372500e+14
3.398398398398398399e+02,4.352626778718602500e+14
3.997997997997998141e+02,4.418127444628091250e+14
4.597597597597597314e+02,4.461013499240730625e+14
5.197197197197197056e+02,4.487028921904847500e+14
5.796796796796796798e+02,4.500103386883608750e+14
6.396396396396396540e+02,4.503041006607558750e+14
6.995995995995996282e+02,4.497909864934902500e+14
7.595595595595596023e+02,4.486276228521964375e+14
8.195195195195194628e+02,4.469352413923938125e+14
8.794794794794794370e+02,4.448093944465758125e+14
9.394394394394394112e+02,4.423265556361533125e+14
9.993993993993993854e+02,4.395487325166967500e+14
1.059359359359359360e+03,4.365267692105615000e+14
1.119319319319319220e+03,4.333027622493155625e+14
1.179279279279279308e+03,4.299118599768015000e+14
1.239239239239239168e+03,4.263836256479665000e+14
1.299199199199199256e+03,4.227430846718332500e+14
1.359159159159159117e+03,4.190115406195832500e+14
1.419119119119119205e+03,4.152072176405012500e+14
1.479079079079079065e+03,4.113457719040413750e+14
1.539039039039038926e+03,4.074407039680156250e+14
1.598998998998999014e+03,4.035036917791510000e+14
1.658958958958958874e+03,3.995448647199089375e+14
1.718918918918918962e+03,3.955730279209511875e+14
1.778878878878878822e+03,3.915958497585747500e+14
1.838838838838838910e+03,3.876200175554765625e+14
1.898798798798798771e+03,3.836513690918659375e+14
1.958758758758758859e+03,3.796950030031156250e+14
2.018718718718718719e+03,3.757553731352268125e+14
2.078678678678678807e+03,3.718363690656495625e+14
2.138638638638638440e+03,3.679413845137121875e+14
2.198598598598598528e+03,3.640733772083700625e+14
2.258558558558558616e+03,3.602349195528669375e+14
2.318518518518518704e+03,3.564282436439286875e+14
2.378478478478478337e+03,3.526552796786245000e+14
2.438438438438438425e+03,3.489176898736150000e+14
2.498398398398398513e+03,3.452168980893081250e+14
2.558358358358358146e+03,3.415541158996985625e+14
2.618318318318318234e+03,3.379303654334046250e+14
2.678278278278278322e+03,3.343465000472930625e+14
2.738238238238238409e+03,3.308032217065341875e+14
2.798198198198198043e+03,3.273010973328621875e+14
2.858158158158158130e+03,3.238405728598542500e+14
2.918118118118118218e+03,3.204219857980176250e+14
2.978078078078077851e+03,3.170455769187275625e+14
3.038038038038037939e+03,3.137114996557226875e+14
3.097997997997998027e+03,3.104198300756583125e+14
3.157957957957958115e+03,3.071705736325155000e+14
3.217917917917917748e+03,3.039636745227445000e+14
3.277877877877877836e+03,3.007990197332683750e+14
3.337837837837837924e+03,2.976764475348524375e+14
3.397797797797798012e+03,2.945957507989974375e+14
3.457757757757757645e+03,2.915566827178464375e+14
3.517717717717717733e+03,2.885589614396566875e+14
3.577677677677677821e+03,2.856022731666426875e+14
3.637637637637637454e+03,2.826862765861088750e+14
3.697597597597597542e+03,2.798106056376174375e+14
3.757557557557557629e+03,2.769748727011258438e+14
3.817517517517517717e+03,2.741786706013644375e+14
3.877477477477477350e+03,2.714215766614690000e+14
3.937437437437437438e+03,2.687031523189707188e+14
3.997397397397397526e+03,2.660229481244376250e+14
4.057357357357357159e+03,2.633805029936769062e+14
4.117317317317317247e+03,2.607753473151289062e+14
4.177277277277276880e+03,2.582070045530266875e+14
4.237237237237237423e+03,2.556749910861669062e+14
4.297197197197197056e+03,2.531788198811171562e+14
4.357157157157157599e+03,2.507179985751430000e+14
4.417117117117117232e+03,2.482920338465894062e+14
4.477077077077076865e+03,2.459004293244025312e+14
4.537037037037037408e+03,2.435426888588822188e+14
4.596996996996997041e+03,2.412183158007607500e+14
4.656956956956956674e+03,2.389268135911545000e+14
4.716916916916917216e+03,2.366676880948620625e+14
4.776876876876876850e+03,2.344404456910963750e+14
4.836836836836836483e+03,2.322445962540644375e+14
4.896796796796797025e+03,2.300796520004701562e+14
4.956756756756756658e+03,2.279451278109107812e+14
5.016716716716716292e+03,2.258405434185234062e+14
5.076676676676676834e+03,2.237654210967825000e+14
5.136636636636636467e+03,2.217192887704033750e+14
5.196596596596597010e+03,2.197016776632647812e+14
5.256556556556556643e+03,2.177121242357362812e+14
5.316516516516516276e+03,2.157501705092504375e+14
5.376476476476476819e+03,2.138153623507045938e+14
5.436436436436436452e+03,2.119072522358027500e+14
5.496396396396396085e+03,2.100253975648027500e+14
5.556356356356356628e+03,2.081693607067142812e+14
5.616316316316316261e+03,2.063387108727891875e+14
5.676276276276275894e+03,2.045330222727821562e+14
5.736236236236236437e+03,2.027518751348491562e+14
5.796196196196196070e+03,2.009948555964054688e+14
5.856156156156155703e+03,1.992615555189594688e+14
5.916116116116116245e+03,1.975515735690402812e+14
5.976076076076075879e+03,1.958645131634536875e+14
6.036036036036036421e+03,1.941999843272489688e+14
6.095995995995996054e+03,1.925576035406926250e+14
6.155955955955955687e+03,1.909369926427345312e+14
6.215915915915916230e+03,1.893377796754839375e+14
6.275875875875875863e+03,1.877595984356700312e+14
6.335835835835835496e+03,1.862020893312377188e+14
6.395795795795796039e+03,1.846648982514677812e+14
6.455755755755755672e+03,1.831476764937755000e+14
6.515715715715715305e+03,1.816500816454016250e+14
6.575675675675675848e+03,1.801717775481399062e+14
6.635635635635635481e+03,1.787124331030771562e+14
6.695595595595596023e+03,1.772717228906213438e+14
6.755555555555555657e+03,1.758493278354400000e+14
6.815515515515515290e+03,1.744449337323247188e+14
6.875475475475475832e+03,1.730582321371052812e+14
6.935435435435435465e+03,1.716889200385780625e+14
6.995395395395395099e+03,1.703366998207528750e+14
7.055355355355355641e+03,1.690012789441197188e+14
7.115315315315315274e+03,1.676823708665087188e+14
7.175275275275274907e+03,1.663796934837426875e+14
7.235235235235235450e+03,1.650929698081961250e+14
7.295195195195195083e+03,1.638219286507675625e+14
7.355155155155154716e+03,1.625663030376784688e+14
7.415115115115115259e+03,1.613258311521053750e+14
7.475075075075074892e+03,1.601002559942902812e+14
7.535035035035035435e+03,1.588893250532344375e+14
7.594994994994995068e+03,1.576927912980781250e+14
7.654954954954954701e+03,1.565104115252394375e+14
7.714914914914915244e+03,1.553419470392436562e+14
7.774874874874874877e+03,1.541871641494589375e+14
7.834834834834834510e+03,1.530458338590015312e+14
7.894794794794795052e+03,1.519177301045966250e+14
