Photon Energy [eV],Flux [Photons/s/0.1%bw]
1.000000000000000000e+03,5.797323761500748035e-141
1.358717434869739463e+03,7.943854499943939536e-53
1.717434869739478927e+03,2.181907879346662701e-21
2.076152304609218390e+03,1.828046309825636808e-07
2.434869739478957854e+03,2.017760779141194671e+00
2.793587174348697317e+03,1.717410545849150731e+04
3.152304609218436781e+03,3.931521961989747360e+06
3.511022044088176244e+03,1.240468675864074230e+08
3.869739478957915708e+03,1.228381610921416759e+09
4.228456913827654716e+03,5.958198238077498436e+09
4.587174348697394635e+03,1.826656021436656189e+10
4.945891783567134553e+03,4.125611566098182678e+10
5.304609218436873562e+03,7.554815459856155396e+10
5.663326653306612570e+03,1.193427961383484802e+11
6.022044088176352489e+03,1.694932893244246826e+11
6.380761523046092407e+03,2.226178082975020142e+11
6.739478957915831415e+03,2.758072285875613403e+11
7.098196392785570424e+03,3.268953520629260864e+11
7.456913827655310342e+03,3.744634251124319458e+11
7.815631262525050261e+03,4.177153548844158936e+11
8.174348697394789269e+03,4.563193093109055176e+11
8.533066132264528278e+03,4.902584098304669800e+11
8.891783567134269106e+03,5.197147102144144897e+11
9.250501002004008114e+03,5.449860624131474609e+11
9.609218436873747123e+03,5.664256200422453613e+11
9.967935871743486132e+03,5.844030034369221191e+11
1.032665330661322514e+04,5.992799622585526123e+11
1.068537074148296597e+04,6.113992055660708008e+11
1.104408817635270498e+04,6.210746143839433594e+11
1.140280561122244399e+04,6.285889547944980469e+11
1.176152304609218481e+04,6.341943155947611084e+11
1.212024048096192382e+04,6.381138960428638916e+11
1.247895791583166283e+04,6.405445014227633057e+11
1.283767535070140184e+04,6.416592710523804932e+11
1.319639278557114085e+04,6.416104506712281494e+11
1.355511022044088168e+04,6.405319149578997803e+11
1.391382765531062068e+04,6.385415654590764160e+11
1.427254509018035969e+04,6.357433596526414795e+11
1.463126252505010052e+04,6.322292329254404297e+11
1.498997995991983953e+04,6.280806242417996826e+11
1.534869739478957854e+04,6.233699103673751221e+11
1.570741482965931755e+04,6.181612873282950439e+11
1.606613226452905656e+04,6.125121585069771729e+11
1.642484969939879738e+04,6.064739981124952393e+11
1.678356713426853821e+04,6.000930373093715820e+11
1.714228456913827540e+04,5.934109246786469727e+11
1.750100200400801623e+04,5.864652262303275146e+11
1.785971943887775342e+04,5.792899203723144531e+11
1.821843687374749425e+04,5.719157866360638428e+11
1.857715430861723507e+04,5.643707331571394043e+11
1.893587174348697226e+04,5.566801387731030273e+11
1.929458917835671309e+04,5.488670702439536743e+11
1.965330661322645028e+04,5.409525581332142334e+11
2.001202404809619111e+04,5.329557480415075684e+11
2.037074148296593194e+04,5.248939926104172363e+11
2.072945891783566913e+04,5.167833926836639404e+11
2.108817635270540995e+04,5.086384913404057007e+11
2.144689378757515078e+04,5.004725884207780762e+11
2.180561122244488797e+04,4.922978409263816528e+11
2.216432865731462880e+04,4.841253386437948608e+11
2.252304609218436963e+04,4.759652330055678101e+11
2.288176352705410682e+04,4.678267967417863159e+11
2.324048096192384764e+04,4.597184791310649414e+11
2.359919839679358483e+04,4.516480042629851685e+11
2.395791583166332566e+04,4.436224152180040894e+11
2.431663326653306649e+04,4.356481056224622803e+11
2.467535070140280368e+04,4.277309077470578003e+11
2.503406813627254451e+04,4.198761164327955933e+11
2.539278557114228170e+04,4.120885154274182739e+11
2.575150300601202252e+04,4.043724442362371216e+11
2.611022044088176335e+04,3.967318127780915527e+11
2.646893787575150054e+04,3.891701442621278687e+11
2.682765531062124137e+04,3.816905769275504761e+11
2.718637274549098220e+04,3.742959300035408325e+11
2.754509018036071939e+04,3.669887085072223511e+11
2.790380761523046021e+04,3.597711085116862183e+11
2.826252505010020104e+04,3.526450725487351074e+11
2.862124248496993823e+04,3.456122864749512329e+11
2.897995991983967906e+04,3.386742086025269165e+11
2.933867735470941625e+04,3.318320640692720947e+11
2.969739478957915708e+04,3.250868929579899902e+11
3.005611222444889790e+04,3.184395530019223022e+11
3.041482965931863509e+04,3.118907586077261963e+11
3.077354709418837592e+04,3.054409733671022949e+11
3.113226452905811311e+04,2.990905514714071045e+11
3.149098196392785394e+04,2.928397248731706543e+11
3.184969939879759477e+04,2.866885918165538330e+11
3.220841683366733196e+04,2.806371368384562988e+11
3.256713426853707278e+04,2.746852190014285278e+11
3.292585170340681361e+04,2.688326104235636292e+11
3.328456913827655080e+04,2.630789842177818298e+11
3.364328657314629527e+04,2.574239265681341858e+11
3.400200400801603246e+04,2.518669434920196228e+11
3.436072144288576965e+04,2.464074727472738037e+11
3.471943887775550684e+04,2.410448678993693542e+11
3.507815631262525130e+04,2.357784360459241333e+11
3.543687374749498849e+04,2.306074219737666016e+11
3.579559118236472568e+04,2.255310182024254761e+11
3.615430861723447015e+04,2.205483695575296631e+11
3.651302605210420734e+04,2.156585825560698242e+11
3.687174348697394453e+04,2.108607093943121338e+11
3.723046092184368899e+04,2.061537812203085938e+11
3.758917835671342618e+04,2.015367923377414551e+11
3.794789579158316337e+04,1.970087082614827271e+11
3.830661322645290056e+04,1.925684688217865601e+11
3.866533066132264503e+04,1.882149951698103638e+11
3.902404809619238222e+04,1.839471763839884338e+11
3.938276553106211941e+04,1.797638957893264771e+11
3.974148296593186387e+04,1.756640177614732361e+11
4.010020040080160106e+04,1.716463890474364014e+11
4.045891783567133825e+04,1.677098442751841736e+11
4.081763527054108272e+04,1.638532282437877197e+11
4.117635270541081991e+04,1.600753698626112671e+11
4.153507014028055710e+04,1.563750816242696838e+11
4.189378757515030156e+04,1.527511831380018921e+11
4.225250501002003875e+04,1.492024882350872803e+11
4.261122244488977594e+04,1.457278099100868835e+11
4.296993987975952041e+04,1.423259616236351013e+11
4.332865731462925760e+04,1.389957585145245056e+11
4.368737474949899479e+04,1.357360185280932312e+11
4.404609218436873925e+04,1.325455668774128876e+11
4.440480961923847644e+04,1.294232235771031799e+11
4.476352705410821363e+04,1.263678242043648376e+11
4.512224448897795082e+04,1.233782076895809479e+11
4.548096192384769529e+04,1.204532203034210358e+11
4.583967935871743248e+04,1.175917163710035553e+11
4.619839679358716967e+04,1.147925589279626617e+11
4.655711422845691413e+04,1.120546203251811676e+11
4.691583166332665132e+04,1.093767853928228302e+11
4.727454909819638851e+04,1.067579416643762054e+11
4.763326653306613298e+04,1.041969950451741028e+11
4.799198396793587017e+04,1.016928602382090759e+11
4.835070140280560736e+04,9.924446359018539429e+10
4.870941883767535182e+04,9.685074343740002441e+10
4.906813627254508901e+04,9.451065041463679504e+10
4.942685370741482620e+04,9.222314773413302612e+10
4.978557114228456339e+04,8.998721360682472229e+10
5.014428857715430786e+04,8.780183402874114990e+10
5.050300601202404505e+04,8.566601372436381531e+10
5.086172344689378224e+04,8.357876646679846191e+10
5.122044088176352670e+04,8.153912139746112061e+10
5.157915831663326389e+04,7.954612132018803406e+10
5.193787575150300108e+04,7.759882279524021912e+10
5.229659318637274555e+04,7.569629626098010254e+10
5.265531062124248274e+04,7.383762590387733459e+10
5.301402805611221993e+04,7.202190995954612732e+10
5.337274549098196439e+04,7.024826056713026428e+10
5.373146292585170158e+04,6.851580381276271820e+10
5.409018036072143877e+04,6.682367972314166260e+10
5.444889779559118324e+04,6.517104224045664978e+10
5.480761523046092043e+04,6.355706032896887207e+10
5.516633266533065762e+04,6.198091343173904419e+10
5.552505010020040208e+04,6.044179806531393433e+10
5.588376753507013927e+04,5.893892337711857605e+10
5.624248496993987646e+04,5.747151214713313293e+10
5.660120240480961365e+04,5.603880027038491821e+10
5.695991983967935812e+04,5.464003838026303864e+10
5.731863727454909531e+04,5.327448918571370697e+10
5.767735470941883250e+04,5.194142906285848999e+10
5.803607214428857696e+04,5.064014654333526611e+10
5.839478957915831415e+04,4.936994604933292389e+10
5.875350701402805134e+04,4.813014203538121796e+10
5.911222444889779581e+04,4.692006174433275604e+10
5.947094188376753300e+04,4.573904771988415527e+10
5.982965931863727019e+04,4.458645110600131226e+10
6.018837675350701466e+04,4.346172166215730286e+10
6.054709418837675184e+04,4.236441376791239929e+10
6.090581162324648903e+04,4.129333323696483612e+10
6.126452905811622622e+04,4.024820694442743683e+10
6.162324649298597069e+04,3.922844837251801300e+10
6.198196392785570788e+04,3.823348258039125824e+10
6.234068136272544507e+04,3.726274604744378662e+10
6.269939879759518954e+04,3.631568651517570496e+10
6.305811623246492672e+04,3.539176282785601044e+10
6.341683366733466391e+04,3.449044477222479248e+10
6.377555110220440838e+04,3.361121291645170212e+10
6.413426853707414557e+04,3.275355844855647659e+10
6.449298597194388276e+04,3.191698301448466492e+10
6.485170340681362723e+04,3.110099855602045822e+10
6.521042084168336442e+04,3.030512714870640182e+10
6.556913827655310160e+04,2.952890083992909241e+10
6.592785571142284607e+04,2.877186148732048416e+10
6.628657314629259054e+04,2.803356059761325836e+10
6.664529058116232045e+04,2.731355916608108139e+10
6.700400801603206492e+04,2.661142751668424606e+10
6.736272545090179483e+04,2.592674514303412628e+10
6.772144288577153930e+04,2.525910055028078461e+10
6.808016032064128376e+04,2.460809109802185059e+10
6.843887775551101367e+04,2.397332284432209778e+10
6.879759519038075814e+04,2.335441039092790222e+10
6.915631262525050261e+04,2.275097672975309753e+10
6.951503006012023252e+04,2.216265309070761871e+10
6.987374749498997699e+04,2.158907879093369675e+10
7.023246492985972145e+04,2.102990108550960541e+10
7.059118236472945136e+04,2.048477501967536163e+10
7.094989979959919583e+04,1.995336328262979126e+10
7.130861723446894030e+04,1.943533606294446182e+10
7.166733466933867021e+04,1.893037090563434982e+10
7.202605210420841468e+04,1.843815257092203903e+10
7.238476953907815914e+04,1.795837289472801208e+10
7.274348697394788906e+04,1.749073065091544342e+10
7.310220440881763352e+04,1.703493141531484985e+10
