Photon Energy [eV],Flux [Photons/s/0.1%bw]
1.000000000000000000e+03,0.000000000000000000e+00
1.358717434869739463e+03,0.000000000000000000e+00
1.717434869739478927e+03,0.000000000000000000e+00
2.076152304609218390e+03,0.000000000000000000e+00
2.434869739478957854e+03,0.000000000000000000e+00
2.793587174348697317e+03,0.000000000000000000e+00
3.152304609218436781e+03,0.000000000000000000e+00
3.511022044088176244e+03,0.000000000000000000e+00
3.869739478957915708e+03,0.000000000000000000e+00
4.228456913827654716e+03,0.000000000000000000e+00
4.587174348697394635e+03,5.646774867923861668e-290
4.945891783567134553e+03,9.628545932420454546e-239
5.304609218436873562e+03,1.856857634152040644e-198
5.663326653306612570e+03,1.158159590411365323e-166
6.022044088176352489e+03,3.087405347164018068e-141
6.380761523046092407e+03,2.131610621546705335e-120
6.739478957915831415e+03,2.382108349347133261e-103
7.098196392785570424e+03,2.989256305753816420e-89
7.456913827655310342e+03,1.773062714658341074e-77
7.815631262525050261e+03,1.468056257626586129e-67
8.174348697394789269e+03,4.434855089677971051e-59
8.533066132264528278e+03,8.878285263162295147e-52
8.891783567134269106e+03,1.679730556519785227e-45
9.250501002004008114e+03,4.517359191677058001e-40
9.609218436873747123e+03,2.390707871048628223e-35
9.967935871743486132e+03,3.233954450613118701e-31
1.032665330661322514e+04,6.279799389372497104e-85
1.068537074148296597e+04,1.153476794294943364e-76
1.104408817635270498e+04,2.340057463430964850e-69
1.140280561122244399e+04,7.188532132822539185e-63
1.176152304609218481e+04,2.533725487903269168e-82
1.212024048096192382e+04,5.483936488339527823e-89
1.247895791583166283e+04,6.576247649326498480e-82
1.283767535070140184e+04,1.633908108215582625e-75
1.319639278557114085e+04,1.016979979986576273e-69
1.355511022044088168e+04,1.865810235068406121e-64
1.391382765531062068e+04,1.160504436398905186e-59
1.427254509018035969e+04,2.761312282863286570e-55
1.463126252505010052e+04,2.790958795979466933e-51
1.498997995991983953e+04,1.312585445732497977e-47
1.534869739478957854e+04,4.167368808066296801e-44
1.570741482965931755e+04,6.918708715658762225e-41
1.606613226452905656e+04,6.362588363618946927e-38
1.642484969939879738e+04,3.436848614014334159e-35
1.678356713426853821e+04,1.148322688782746448e-32
1.714228456913827540e+04,2.484287659427749545e-30
1.750100200400801623e+04,3.623913008663727251e-28
1.785971943887775342e+04,3.695189414869922760e-26
1.821843687374749425e+04,2.719675448321668310e-24
1.857715430861723507e+04,1.486844983492668866e-22
1.893587174348697226e+04,6.194729283271297380e-21
1.929458917835671309e+04,2.012697409950013892e-19
1.965330661322645028e+04,5.206121744664772835e-18
2.001202404809619111e+04,1.093934753195203114e-16
2.037074148296593194e+04,1.977967971627686331e-15
2.072945891783566913e+04,2.981042288970465602e-14
2.108817635270540995e+04,3.798672862071152135e-13
2.144689378757515078e+04,4.145953464851644289e-12
2.180561122244488797e+04,3.921412538944820260e-11
2.216432865731462880e+04,3.248785741162320441e-10
2.252304609218436963e+04,2.380572661580276903e-09
2.288176352705410682e+04,1.556590320180594121e-08
2.324048096192384764e+04,9.156244487989370179e-08
2.359919839679358483e+04,4.881223098179840227e-07
2.395791583166332566e+04,2.374412515531333030e-06
2.431663326653306649e+04,1.060484103403511637e-05
2.467535070140280368e+04,4.373775657101891935e-05
2.503406813627254451e+04,1.674547704871246628e-04
2.539278557114228170e+04,5.980405064679906882e-04
2.575150300601202252e+04,2.001219914162001134e-03
2.611022044088176335e+04,6.300570058217955759e-03
2.646893787575150054e+04,1.873438037190911301e-02
2.682765531062124137e+04,5.279622595135086832e-02
2.718637274549098220e+04,1.414773378420958738e-01
2.754509018036071939e+04,3.615798759891414305e-01
2.790380761523046021e+04,8.838390724951671329e-01
2.826252505010020104e+04,2.071691958539591205e+00
2.862124248496993823e+04,4.667798373459783434e+00
2.897995991983967906e+04,1.013240988691732092e+01
2.933867735470941625e+04,2.123434218657927630e+01
2.969739478957915708e+04,4.304672730993238616e+01
3.005611222444889790e+04,8.471647397489418552e+01
3.041482965931863509e+04,1.633446320304092296e+02
3.077354709418837592e+04,3.059773819096996590e+02
3.113226452905811311e+04,5.576897045312670116e+02
3.149098196392785394e+04,9.904737808158483858e+02
3.184969939879759477e+04,1.716440018264589298e+03
3.220841683366733196e+04,2.906034804435075785e+03
3.256713426853707278e+04,4.812563204795587808e+03
3.292585170340681361e+04,7.804420680917520258e+03
3.328456913827655080e+04,1.240649435548254951e+04
3.364328657314629527e+04,1.935217750323956716e+04
3.400200400801603246e+04,2.964732995686569484e+04
3.436072144288576965e+04,4.464730410799691890e+04
3.471943887775550684e+04,6.614782591488765320e+04
3.507815631262525130e+04,9.649010639566865575e+04
3.543687374749498849e+04,1.386800018110390229e+05
