Photon Energy [eV],Flux [Photons/s/0.1%bw]
1.000000000000000000e+03,0.000000000000000000e+00
1.358717434869739463e+03,0.000000000000000000e+00
1.717434869739478927e+03,0.000000000000000000e+00
2.076152304609218390e+03,0.000000000000000000e+00
2.434869739478957854e+03,0.000000000000000000e+00
2.793587174348697317e+03,0.000000000000000000e+00
3.152304609218436781e+03,0.000000000000000000e+00
3.511022044088176244e+03,0.000000000000000000e+00
3.869739478957915708e+03,7.943158816946749544e-255
4.228456913827654716e+03,6.457348343151388967e-198
4.587174348697394635e+03,1.011151255761157841e-155
4.945891783567134553e+03,5.053610000802107737e-124
5.304609218436873562e+03,7.058487516686422009e-100
5.663326653306612570e+03,3.603528564689438863e-81
6.022044088176352489e+03,1.961700680901147126e-66
6.380761523046092407e+03,1.160972774248567692e-54
6.739478957915831415e+03,3.817901131314218070e-45
7.098196392785570424e+03,2.275261932764094545e-37
7.456913827655310342e+03,5.887515569791764959e-31
7.815631262525050261e+03,1.273876776994054743e-25
8.174348697394789269e+03,3.792517022488839615e-21
8.533066132264528278e+03,2.277787321265818814e-17
8.891783567134269106e+03,3.715295651683556571e-14
9.250501002004008114e+03,2.079087519929151780e-11
9.609218436873747123e+03,4.804477414027344065e-09
9.967935871743486132e+03,5.317287292618024845e-07
1.032665330661322514e+04,3.175951459486231254e-05
1.068537074148296597e+04,1.128395795226792321e-03
1.104408817635270498e+04,2.582025979980252794e-02
1.140280561122244399e+04,4.061927015677412878e-01
1.176152304609218481e+04,4.636958882781985203e+00
1.212024048096192382e+04,4.017713690936858484e+01
1.247895791583166283e+04,2.743429644635077125e+02
1.283767535070140184e+04,1.523716005319482292e+03
1.319639278557114085e+04,7.069806290050767529e+03
1.355511022044088168e+04,2.803167473414227788e+04
1.391382765531062068e+04,9.683263262801054225e+04
1.427254509018035969e+04,2.962856953053939505e+05
1.463126252505010052e+04,8.144998584176807199e+05
1.498997995991983953e+04,2.036524476731220493e+06
1.534869739478957854e+04,4.680825931466592476e+06
1.570741482965931755e+04,9.981173912607159466e+06
1.606613226452905656e+04,1.990453683712543920e+07
1.642484969939879738e+04,3.738369637202306837e+07
1.678356713426853821e+04,6.653436807163554430e+07
1.714228456913827540e+04,1.128224126279762387e+08
1.750100200400801623e+04,1.831489364390642345e+08
1.785971943887775342e+04,2.858293852137680650e+08
1.821843687374749425e+04,4.304552740330249667e+08
1.857715430861723507e+04,6.276414516731386185e+08
1.893587174348697226e+04,8.886752095386576653e+08
1.929458917835671309e+04,1.225093701449741364e+09
1.965330661322645028e+04,1.648222596451901436e+09
2.001202404809619111e+04,2.168707826780939102e+09
2.037074148296593194e+04,2.796005307071331024e+09
2.072945891783566913e+04,3.538214983011607647e+09
2.108817635270540995e+04,4.401587407327948570e+09
2.144689378757515078e+04,5.390354891421161652e+09
2.180561122244488797e+04,6.506600154211399078e+09
2.216432865731462880e+04,7.750212932914601326e+09
2.252304609218436963e+04,9.118928590496763229e+09
2.288176352705410682e+04,1.060843658291990852e+10
2.324048096192384764e+04,1.221254623292912292e+10
2.359919839679358483e+04,1.392339735438590240e+10
2.395791583166332566e+04,1.573170002897244072e+10
2.431663326653306649e+04,1.762699095387852478e+10
2.467535070140280368e+04,1.959789774530176544e+10
2.503406813627254451e+04,2.163239761326853943e+10
2.539278557114228170e+04,2.371806420992821503e+10
2.575150300601202252e+04,2.584229928440686798e+10
2.611022044088176335e+04,2.799254035608606339e+10
2.646893787575150054e+04,3.015644578110987091e+10
2.682765531062124137e+04,3.232205144927855301e+10
2.718637274549098220e+04,3.447790662545623779e+10
2.754509018036071939e+04,3.661318047910816956e+10
2.790380761523046021e+04,3.871774413791423798e+10
2.826252505010020104e+04,4.078223578779674530e+10
2.862124248496993823e+04,4.279810031102893066e+10
2.897995991983967906e+04,4.475761445499359894e+10
2.933867735470941625e+04,4.665389228877287292e+10
2.969739478957915708e+04,4.848088440497853088e+10
3.005611222444889790e+04,5.023352789188459778e+10
3.041482965931863509e+04,5.190813781579373932e+10
3.077354709418837592e+04,5.350007238266440582e+10
3.113226452905811311e+04,5.500635589780513000e+10
3.149098196392785394e+04,5.642469903046974945e+10
3.184969939879759477e+04,5.775345004523245239e+10
3.220841683366733196e+04,5.899154989305374146e+10
3.256713426853707278e+04,6.013848024497956085e+10
3.292585170340681361e+04,6.119422204901272583e+10
3.328456913827655080e+04,6.215920452735608673e+10
3.364328657314629527e+04,6.303426039896100616e+10
3.400200400801603246e+04,6.382058176921737671e+10
3.436072144288576965e+04,6.451967944398473358e+10
3.471943887775550684e+04,6.513333730645368195e+10
3.507815631262525130e+04,6.566358300266580963e+10
3.543687374749498849e+04,6.611264742315130615e+10
