BEATS @ SESAME; 250mA; sample @ 43m,,,,,,,,,,
Primary Slit: OPEN (flux through 4x5mm pinhole @ sample),,,,,,,,,DMM length [mm]:,480
DMM Si[W/B4C]100; d=2.5nm; d-gradient=3.3%; dE/E=1.5%,,,,,,,,,,
source_dE/E,4,%,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
E,E0,E1,DMM incident angle,Flux @ sample,X,Y,Flux density @ sample,Flux density @ sample,n. rays,DMM BW
[eV],[eV],[eV],[deg],[ph/s],[micron],FWHM Z [micron],[ph/s/mm2],[ph/s/mm2/1%BW],,[%]
8000,7840,8160,1.8186,745000000000,4000,5000,37300000000,18900000000,2000000,1.97
10000,9800,10200,1.4532,1390000000000,4000,5000,69400000000,37100000000,2000000,1.87
11000,10780,11220,1.32144,820000000000,4000,5000,41000000000,22300000000,2000000,1.84
15000,14700,15300,0.9705,1280000000000,4000,5000,64200000000,31800000000,2000000,2.02
20000,19600,20400,0.7283,1860000000000,4000,5000,93000000000,44100000000,2000000,2.11
25000,24500,25500,0.58265,2020000000000,4000,5000,101000000000,46500000000,2000000,2.17
30000,29400,30600,0.48565,1860000000000,4000,5000,92900000000,42100000000,2000000,2.21
35000,34300,35700,0.4163,1580000000000,4000,5000,79000000000,35400000000,2000000,2.23
40000,39200,40800,0.36434,1260000000000,4000,5000,62900000000,28000000000,2000000,2.25
45000,44100,45900,0.3239,979000000000,4000,5000,49000000000,21700000000,2000000,2.26
50000,49000,51000,0.29151,727000000000,4000,5000,36300000000,16000000000,2000000,2.27
55000,53900,56100,0.26504,535000000000,4000,5000,26800000000,11800000000,2000000,2.27
60000,58800,61200,0.242955,394000000000,4000,5000,19700000000,8680000000,2000000,2.27
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
DMM Si[Ru/B4C]65; d=4nm; d-gradient=3.4%; dE/E=2.3%,,,,,,,,,,
source_dE/E,6,%,,,,,,,,
,,,,,,,,,,
E,E0,E1,DMM incident angle,Flux @ sample,X,Y,Flux density @ sample,Flux density @ sample,n. rays,DMM BW
[eV],[eV],[eV],[deg],[ph/s],[micron],FWHM Z [micron],[ph/s/mm2],[ph/s/mm2/1%BW],,[%]
8000,7760,8240,1.159,4550000000000,10000,5000,91100000000,23400000000,2000000,3.9
10000,9700,10300,0.927175,9910000000000,10000,5000,198000000000,49900000000,2000000,3.97
15000,14550,15450,0.6181,17400000000000,10000,5000,347000000000,85900000000,2000000,4.04
20000,19400,20600,0.4635,17200000000000,10000,5000,345000000000,86000000000,2000000,4.01
25000,24250,25750,0.370575,8370000000000,10000,5000,167000000000,43800000000,2000000,3.82
30000,29100,30900,0.30901,7740000000000,10000,5000,155000000000,38900000000,2000000,3.98
35000,33950,36050,0.26498,6760000000000,10000,5000,135000000000,33300000000,2000000,4.06
