#F spectrum.dat

#S 1 Wiggler spectrum
#N 3
#L PhotonEnergy[eV]  Flux[phot/s/0.1%bw]  PowerDensity[W/eV]
 1.000000000000e+03   4.395197102819e+14   7.041882099962e-02  
 1.118236472946e+03   4.333627104281e+14   6.943236086948e-02  
 1.236472945892e+03   4.265492298464e+14   6.834072093106e-02  
 1.354709418838e+03   4.192913805157e+14   6.717788526998e-02  
 1.472945891784e+03   4.117431998422e+14   6.596853339955e-02  
 1.591182364729e+03   4.040186333579e+14   6.473092140666e-02  
 1.709418837675e+03   3.962031475768e+14   6.347874253648e-02  
 1.827655310621e+03   3.883614948289e+14   6.222237125601e-02  
 1.945891783567e+03   3.805430602685e+14   6.096971993930e-02  
 2.064128256513e+03   3.727856377180e+14   5.972684382426e-02  
 2.182364729459e+03   3.651181538594e+14   5.849837747628e-02  
 2.300601202405e+03   3.575626719865e+14   5.728785582474e-02  
 2.418837675351e+03   3.501358892466e+14   5.609795404757e-02  
 2.537074148297e+03   3.428502728136e+14   5.493066960625e-02  
 2.655310621242e+03   3.357149333121e+14   5.378746218375e-02  
 2.773547094188e+03   3.287363022906e+14   5.266936222775e-02  
 2.891783567134e+03   3.219186655482e+14   5.157705639898e-02  
 3.010020040080e+03   3.152645841506e+14   5.051095502538e-02  
 3.128256513026e+03   3.087752318483e+14   4.947124616252e-02  
 3.246492985972e+03   3.024506654132e+14   4.845793890628e-02  
 3.364729458918e+03   2.962900437316e+14   4.747089849536e-02  
 3.482965931864e+03   2.902918057926e+14   4.650987482825e-02  
 3.601202404810e+03   2.844538167120e+14   4.557452585881e-02  
 3.719438877756e+03   2.787734863824e+14   4.466443660605e-02  
 3.837675350701e+03   2.732478680969e+14   4.377913495552e-02  
 3.955911823647e+03   2.678737399420e+14   4.291810469973e-02  
 4.074148296593e+03   2.626476715737e+14   4.208079623698e-02  
 4.192384769539e+03   2.575660793736e+14   4.126663540833e-02  
 4.310621242485e+03   2.526252734548e+14   4.047503102872e-02  
 4.428857715431e+03   2.478214946751e+14   3.970538081715e-02  
 4.547094188377e+03   2.431509471093e+14   3.895707659935e-02  
 4.665330661323e+03   2.386098242732e+14   3.822950850933e-02  
 4.783567134269e+03   2.341943298200e+14   3.752206830529e-02  
 4.901803607214e+03   2.299006961742e+14   3.683415235507e-02  
 5.020040080160e+03   2.257251981166e+14   3.616516381275e-02  
 5.138276553106e+03   2.216641656621e+14   3.551451468190e-02  
 5.256513026052e+03   2.177139927040e+14   3.488162720052e-02  
 5.374749498998e+03   2.138711454215e+14   3.426593518811e-02  
 5.492985971944e+03   2.101321673872e+14   3.366688486396e-02  
 5.611222444890e+03   2.064936838794e+14   3.308393553801e-02  
 5.729458917836e+03   2.029524069695e+14   3.251656042605e-02  
 5.847695390782e+03   1.995051358320e+14   3.196424669931e-02  
 5.965931863727e+03   1.961487603187e+14   3.142649605708e-02  
 6.084168336673e+03   1.928802593248e+14   3.090282446501e-02  
 6.202404809619e+03   1.896967040016e+14   3.039276266982e-02  
 6.320641282565e+03   1.865952550305e+14   2.989585576251e-02  
 6.438877755511e+03   1.835731639385e+14   2.941166338916e-02  
 6.557114228457e+03   1.806277705627e+14   2.893975934471e-02  
 6.675350701403e+03   1.777565024726e+14   2.847973148031e-02  
 6.793587174349e+03   1.749568739680e+14   2.803118154293e-02  
 6.911823647295e+03   1.722264842428e+14   2.759372488098e-02  
 7.030060120240e+03   1.695630137752e+14   2.716698986613e-02  
 7.148296593186e+03   1.669642253559e+14   2.675061805792e-02  
 7.266533066132e+03   1.644279603901e+14   2.634426361132e-02  
 7.384769539078e+03   1.619521365297e+14   2.594759289742e-02  
 7.503006012024e+03   1.595347460153e+14   2.556028423769e-02  
 7.621242484970e+03   1.571738540248e+14   2.518202763943e-02  
 7.739478957916e+03   1.548675957916e+14   2.481252433410e-02  
 7.857715430862e+03   1.526141751674e+14   2.445148654704e-02  
 7.975951903808e+03   1.504118600243e+14   2.409863676075e-02  
 8.094188376754e+03   1.482589847531e+14   2.375370811520e-02  
 8.212424849699e+03   1.461539431484e+14   2.341644326793e-02  
 8.330661322645e+03   1.440951897179e+14   2.308659460377e-02  
 8.448897795591e+03   1.420812364804e+14   2.276392372188e-02  
 8.567134268537e+03   1.401106503266e+14   2.244820101279e-02  
 8.685370741483e+03   1.381820513292e+14   2.213920538778e-02  
 8.803607214429e+03   1.362941133138e+14   2.183672437031e-02  
 8.921843687375e+03   1.344455567284e+14   2.154055295354e-02  
