Photon Energy [eV],[oe 1] Transmitivity
1.000000000000000000e+02,0.000000000000000000e+00
1.599599599599599742e+02,0.000000000000000000e+00
2.199199199199199199e+02,0.000000000000000000e+00
2.798798798798798657e+02,0.000000000000000000e+00
3.398398398398398399e+02,0.000000000000000000e+00
3.997997997997998141e+02,0.000000000000000000e+00
4.597597597597597314e+02,0.000000000000000000e+00
5.197197197197197056e+02,0.000000000000000000e+00
5.796796796796796798e+02,0.000000000000000000e+00
6.396396396396396540e+02,0.000000000000000000e+00
6.995995995995996282e+02,0.000000000000000000e+00
7.595595595595596023e+02,0.000000000000000000e+00
8.195195195195194628e+02,0.000000000000000000e+00
8.794794794794794370e+02,1.615806156581891462e-315
9.394394394394394112e+02,3.626781171571372947e-272
9.993993993993993854e+02,2.513020271867632344e-239
1.059359359359359360e+03,3.347043473925030968e-205
1.119319319319319220e+03,2.111199604968872672e-177
1.179279279279279308e+03,1.481218909841763017e-154
1.239239239239239168e+03,1.363202880921066723e-135
1.299199199199199256e+03,1.044665368012410163e-119
1.359159159159159117e+03,2.713644887358424710e-106
1.419119119119119205e+03,7.036726555717558435e-95
1.479079079079079065e+03,4.222441274431096900e-85
1.539039039039038926e+03,1.420151147124469318e-76
1.598998998998999014e+03,3.825526359944337591e-69
1.658958958958958874e+03,1.117381700663615508e-62
1.718918918918918962e+03,5.041864845619005660e-57
1.778878878878878822e+03,4.686675578939668091e-52
1.838838838838838910e+03,1.136087909143255748e-47
1.898798798798798771e+03,0.000000000000000000e+00
1.958758758758758859e+03,0.000000000000000000e+00
2.018718718718718719e+03,0.000000000000000000e+00
2.078678678678678807e+03,0.000000000000000000e+00
2.138638638638638440e+03,0.000000000000000000e+00
2.198598598598598528e+03,0.000000000000000000e+00
2.258558558558558616e+03,0.000000000000000000e+00
2.318518518518518704e+03,5.085858506783182934e-304
2.378478478478478337e+03,1.243399853668479996e-284
2.438438438438438425e+03,1.951998266975994353e-266
2.498398398398398513e+03,1.907538919402950577e-249
2.558358358358358146e+03,1.200250180138559636e-233
2.618318318318318234e+03,5.267358818165909671e-219
2.678278278278278322e+03,1.802158113076059322e-205
2.738238238238238409e+03,5.481688196420925418e-193
2.798198198198198043e+03,1.709711334504097989e-181
2.858158158158158130e+03,6.337231781473726983e-171
2.918118118118118218e+03,3.235883824207843235e-161
2.978078078078077851e+03,2.630039471343923539e-152
3.038038038038037939e+03,3.922387093464677932e-144
3.097997997997998027e+03,1.272577571716940671e-136
3.157957957957958115e+03,1.068710860291746326e-129
3.217917917917917748e+03,2.698963468809364152e-123
3.277877877877877836e+03,2.332719871180418786e-117
3.337837837837837924e+03,7.717836505318176809e-112
3.397797797797798012e+03,1.077389484103957851e-106
3.457757757757757645e+03,6.908326143197642111e-102
3.517717717717717733e+03,2.191674708911652266e-97
3.577677677677677821e+03,3.672233678462135101e-93
3.637637637637637454e+03,3.441979185722601914e-89
3.697597597597597542e+03,1.898786006825197839e-85
3.757557557557557629e+03,6.448939315322056374e-82
3.817517517517517717e+03,1.403533441102361222e-78
3.877477477477477350e+03,2.028451406623983566e-75
3.937437437437437438e+03,2.009781817798257133e-72
3.997397397397397526e+03,1.404650167108724219e-69
4.057357357357357159e+03,7.099121804576579337e-67
4.117317317317317247e+03,2.643722713609108891e-64
4.177277277277276880e+03,7.376066525087618508e-62
4.237237237237237423e+03,1.566231912759319118e-59
4.297197197197197056e+03,2.568939097261343420e-57
4.357157157157157599e+03,3.300655448769274623e-55
4.417117117117117232e+03,3.366150805328871915e-53
4.477077077077076865e+03,2.759093047446800529e-51
4.537037037037037408e+03,1.839087299710052351e-49
4.596996996996997041e+03,1.007983876240190983e-47
4.656956956956956674e+03,4.590462568563071859e-46
4.716916916916917216e+03,1.754232629668590762e-44
4.776876876876876850e+03,5.677755725661037272e-43
4.836836836836836483e+03,1.570090593274920845e-41
4.896796796796797025e+03,3.740357581686752278e-40
4.956756756756756658e+03,7.736041668674599674e-39
5.016716716716716292e+03,1.399343826600147320e-37
5.076676676676676834e+03,2.229509806818931758e-36
5.136636636636636467e+03,3.150722037467268316e-35
5.196596596596597010e+03,3.975303491643719400e-34
5.256556556556556643e+03,4.505532436590292487e-33
5.316516516516516276e+03,4.613394481248653369e-32
5.376476476476476819e+03,4.290587801762684263e-31
5.436436436436436452e+03,3.642587158787269983e-30
