Photon Energy [eV],[oe 1] Transmitivity
1.000000000000000000e+02,0.000000000000000000e+00
1.599599599599599742e+02,0.000000000000000000e+00
2.199199199199199199e+02,0.000000000000000000e+00
2.798798798798798657e+02,6.000172542549495680e-305
3.398398398398398399e+02,5.113988146483527995e-198
3.997997997997998141e+02,1.380924813862792568e-136
4.597597597597597314e+02,1.342616094878630764e-97
5.197197197197197056e+02,1.183556033337272617e-72
5.796796796796796798e+02,8.629469412726670856e-56
6.396396396396396540e+02,8.893827005445258158e-44
6.995995995995996282e+02,4.721615349731314962e-35
7.595595595595596023e+02,1.504338168731332112e-28
8.195195195195194628e+02,1.250162396727288869e-23
8.794794794794794370e+02,8.034093497905829834e-20
9.394394394394394112e+02,6.379784906669303146e-17
9.993993993993993854e+02,1.222882934783911245e-14
1.059359359359359360e+03,1.227045260261560202e-12
1.119319319319319220e+03,5.195541719471602676e-11
1.179279279279279308e+03,1.125967719716463546e-09
1.239239239239239168e+03,1.444228326534012535e-08
1.299199199199199256e+03,1.222305409673015971e-07
1.359159159159159117e+03,7.413128210936082858e-07
1.419119119119119205e+03,3.432900681723774007e-06
1.479079079079079065e+03,1.275258960807851581e-05
1.539039039039038926e+03,4.021893557153734245e-05
1.598998998998999014e+03,1.275681741430611145e-44
1.658958958958958874e+03,3.111767256973266478e-41
1.718918918918918962e+03,3.402814303221225301e-38
1.778878878878878822e+03,1.891294429052026513e-35
1.838838838838838910e+03,5.899966899686546664e-33
1.898798798798798771e+03,1.118226321431432785e-30
1.958758758758758859e+03,1.372765519684552958e-28
2.018718718718718719e+03,1.149966789310435070e-26
2.078678678678678807e+03,6.824684729844555826e-25
2.138638638638638440e+03,2.941116517723238921e-23
2.198598598598598528e+03,9.421295898882522261e-22
2.258558558558558616e+03,2.294555605669858679e-20
2.318518518518518704e+03,4.341596441314591391e-19
2.378478478478478337e+03,6.513434185129278570e-18
2.438438438438438425e+03,7.896945664803699264e-17
2.498398398398398513e+03,7.875775165489316652e-16
2.558358358358358146e+03,6.567968495642933850e-15
2.618318318318318234e+03,4.649755482059071710e-14
2.678278278278278322e+03,2.833431227148116434e-13
2.738238238238238409e+03,1.505205329539911254e-12
2.798198198198198043e+03,7.052191015123821994e-12
2.858158158158158130e+03,2.945126820727049203e-11
2.918118118118118218e+03,1.106973542950877014e-10
2.978078078078077851e+03,3.777926717785375253e-10
3.038038038038037939e+03,1.180215675603278900e-09
3.097997997997998027e+03,3.401396655661178232e-09
3.157957957957958115e+03,9.110037419577681482e-09
3.217917917917917748e+03,2.282342211312280932e-08
3.277877877877877836e+03,5.379755738383516789e-08
3.337837837837837924e+03,1.199280707602447895e-07
3.397797797797798012e+03,2.540248462425081240e-07
3.457757757757757645e+03,5.133849330139024670e-07
3.517717717717717733e+03,9.936987828540401727e-07
3.577677677677677821e+03,1.848349976460264121e-06
3.637637637637637454e+03,3.314079741963794587e-06
3.697597597597597542e+03,5.743768285244733236e-06
3.757557557557557629e+03,9.646735221036475857e-06
3.817517517517517717e+03,1.573649914535115338e-05
3.877477477477477350e+03,2.498539587234756298e-05
3.937437437437437438e+03,3.868488230337742374e-05
3.997397397397397526e+03,5.850980040949684517e-05
4.057357357357357159e+03,8.658387194950838595e-05
4.117317317317317247e+03,1.255376490022138965e-04
4.177277277277276880e+03,1.785655950459458892e-04
4.237237237237237423e+03,2.494743566670707324e-04
4.297197197197197056e+03,3.427192360472361833e-04
4.357157157157157599e+03,4.634269128456764537e-04
4.417117117117117232e+03,6.174025300932288289e-04
4.477077077077076865e+03,8.111199497506778539e-04
4.537037037037037408e+03,1.051694714670172804e-03
4.596996996996997041e+03,1.346839987418276116e-03
4.656956956956956674e+03,1.704806426592110494e-03
4.716916916916917216e+03,2.134307569870673438e-03
4.776876876876876850e+03,2.644432792167113102e-03
4.836836836836836483e+03,3.244550279682244069e-03
4.896796796796797025e+03,3.944202699555100430e-03
4.956756756756756658e+03,4.752998352447664401e-03
5.016716716716716292e+03,5.680500823954864192e-03
5.076676676676676834e+03,6.736136694288025716e-03
5.136636636636636467e+03,7.929114662418395437e-03
5.196596596596597010e+03,9.268310920202534053e-03
5.256556556556556643e+03,1.076217577327915481e-02
5.316516516516516276e+03,1.241865123039691959e-02
5.376476476476476819e+03,1.424509790923450536e-02
5.436436436436436452e+03,1.624823200649644708e-02
