Photon Energy [eV],[oe 4] Transmitivity
1.000000000000000000e+02,8.977958107401843747e-212
1.599599599599599742e+02,2.725600178775103932e-142
2.199199199199199199e+02,6.205256504972127429e-88
2.798798798798798657e+02,7.711298238642656082e-60
3.398398398398398399e+02,1.151202135327925393e-42
3.997997997997998141e+02,9.908359343142534009e-32
4.597597597597597314e+02,3.472070845292708518e-25
5.197197197197197056e+02,3.298420273689149898e-20
5.796796796796796798e+02,4.866807108807133272e-16
6.396396396396396540e+02,1.129072424373363168e-12
6.995995995995996282e+02,4.079659634079843129e-10
7.595595595595596023e+02,3.875426655425855962e-09
8.195195195195194628e+02,5.795244293541884047e-08
8.794794794794794370e+02,1.997060910981617783e-06
9.394394394394394112e+02,4.818727632951231971e-23
9.993993993993993854e+02,8.553527051211234770e-42
1.059359359359359360e+03,6.435386118315634316e-36
1.119319319319319220e+03,2.335283330692483403e-35
1.179279279279279308e+03,2.711677843871401129e-31
1.239239239239239168e+03,7.131600230628804653e-28
1.299199199199199256e+03,5.684925554580004911e-25
1.359159159159159117e+03,1.718787195486653344e-22
1.419119119119119205e+03,2.347055930971050414e-20
1.479079079079079065e+03,1.660982723207997587e-18
1.539039039039038926e+03,7.526281947869081039e-17
1.598998998998999014e+03,2.212043292632075182e-15
1.658958958958958874e+03,4.288294268415617652e-14
1.718918918918918962e+03,5.843588564889496711e-13
1.778878878878878822e+03,5.896765120034204297e-12
1.838838838838838910e+03,4.600051341402702044e-11
1.898798798798798771e+03,2.874983571874669317e-10
1.958758758758758859e+03,1.483167320788635042e-09
2.018718718718718719e+03,6.605147040092765134e-09
2.078678678678678807e+03,2.637109368411022782e-08
2.138638638638638440e+03,9.180182747368267312e-08
2.198598598598598528e+03,2.833842322039090864e-07
2.258558558558558616e+03,7.869678541440945015e-07
2.318518518518518704e+03,1.990499036138131738e-06
2.378478478478478337e+03,4.634612558110099548e-06
2.438438438438438425e+03,1.002556470026291103e-05
2.498398398398398513e+03,2.031036017743719884e-05
2.558358358358358146e+03,3.880265490223206630e-05
2.618318318318318234e+03,7.033649842052385988e-05
2.678278278278278322e+03,1.216158510508103842e-04
2.738238238238238409e+03,2.015231524858391156e-04
2.798198198198198043e+03,3.213510171162249347e-04
2.858158158158158130e+03,4.949271395153941782e-04
2.918118118118118218e+03,7.386124546347731150e-04
2.978078078078077851e+03,1.071164680805361188e-03
3.038038038038037939e+03,1.522471430018976224e-03
3.097997997997998027e+03,2.118380017374799518e-03
3.157957957957958115e+03,2.881287789749832975e-03
3.217917917917917748e+03,3.838361282181866618e-03
3.277877877877877836e+03,5.016987490752497329e-03
3.337837837837837924e+03,6.444111591833065825e-03
3.397797797797798012e+03,8.145601504569470117e-03
3.457757757757757645e+03,1.014566645529523491e-02
3.517717717717717733e+03,1.246635019451303693e-02
3.577677677677677821e+03,1.512711271860325314e-02
3.637637637637637454e+03,1.814450786841561095e-02
3.697597597597597542e+03,2.153195843872877935e-02
3.757557557557557629e+03,2.529962568460372707e-02
3.817517517517517717e+03,2.945436645361642139e-02
3.877477477477477350e+03,3.399976859434125642e-02
3.937437437437437438e+03,3.893625370059997787e-02
3.997397397397397526e+03,4.426123551020053754e-02
4.057357357357357159e+03,5.006348160138949371e-02
4.117317317317317247e+03,5.625883579617824842e-02
4.177277277277276880e+03,6.283271848170744744e-02
4.237237237237237423e+03,6.977231961206094291e-02
4.297197197197197056e+03,7.706292610503603924e-02
4.357157157157157599e+03,8.468821605023577059e-02
4.417117117117117232e+03,9.263054545369631132e-02
4.477077077077076865e+03,1.008712226108549881e-01
4.537037037037037408e+03,1.093907664079257908e-01
4.596996996996997041e+03,1.181691459271421024e-01
4.656956956956956674e+03,1.271859996637271228e-01
4.716916916916917216e+03,1.364208334508903719e-01
4.776876876876876850e+03,1.458531968394247980e-01
4.836836836836836483e+03,1.554628382003369613e-01
4.896796796796797025e+03,1.652298392252310177e-01
4.956756756756756658e+03,1.751347298036566857e-01
5.016716716716716292e+03,1.851877081910879852e-01
5.076676676676676834e+03,1.954185958706639858e-01
5.136636636636636467e+03,2.057352672510756597e-01
5.196596596596597010e+03,2.161203279841427405e-01
5.256556556556556643e+03,2.265571794645131198e-01
5.316516516516516276e+03,2.370300464960074516e-01
5.376476476476476819e+03,2.475239943442684720e-01
5.436436436436436452e+03,2.580249365247807014e-01
5.496396396396396085e+03,2.685196345874418800e-01
5.556356356356356628e+03,2.789956910638091148e-01
5.616316316316316261e+03,2.894415366447366522e-01
5.676276276276275894e+03,2.998464125573943040e-01
5.736236236236236437e+03,3.102003490137798525e-01
5.796196196196196070e+03,3.204941405095314555e-01
5.856156156156155703e+03,3.307193186632771398e-01
5.916116116116116245e+03,3.408681232037454878e-01
5.976076076076075879e+03,3.509334716347808358e-01
6.036036036036036421e+03,3.609822921664544992e-01
6.095995995995996054e+03,3.709829870310231703e-01
6.155955955955955687e+03,3.808812464497384753e-01
6.215915915915916230e+03,3.906721656292911904e-01
6.275875875875875863e+03,4.003513832212777235e-01
6.335835835835835496e+03,4.099150493696800956e-01
6.395795795795796039e+03,4.193597944940224420e-01
6.455755755755755672e+03,4.286826989484397443e-01
6.515715715715715305e+03,4.378812636661821300e-01
6.575675675675675848e+03,4.469533818726033614e-01
6.635635635635635481e+03,4.558973119266735985e-01
6.695595595595596023e+03,4.647116513314903385e-01
6.755555555555555657e+03,4.733953119374439966e-01
6.815515515515515290e+03,4.819474963476533813e-01
6.875475475475475832e+03,4.903676755234374629e-01
6.935435435435435465e+03,4.986555675777651908e-01
6.995395395395395099e+03,5.068111177366656506e-01
7.055355355355355641e+03,5.148344794420223192e-01
7.115315315315315274e+03,5.227259965641303241e-01
7.175275275275274907e+03,5.304861866883240351e-01
7.235235235235235450e+03,5.381157254370922960e-01
7.295195195195195083e+03,5.456154317868797676e-01
7.355155155155154716e+03,5.529862543374290951e-01
7.415115115115115259e+03,5.602292584906856110e-01
7.475075075075074892e+03,5.673456144959928560e-01
7.535035035035035435e+03,5.743365863184387576e-01
7.594994994994995068e+03,5.812035212877256773e-01
7.654954954954954701e+03,5.879478404856249840e-01
7.714914914914915244e+03,5.945710298311535080e-01
7.774874874874874877e+03,6.010746318236990238e-01
7.834834834834834510e+03,6.074602379056697199e-01
7.894794794794795052e+03,6.137294814076218463e-01
7.954754754754754686e+03,6.198840310403048726e-01
8.014714714714714319e+03,6.259369274557078366e-01
8.074674674674674861e+03,6.319126385230521281e-01
8.134634634634634494e+03,6.377774362341344094e-01
8.194594594594595037e+03,6.435330953563228595e-01
8.254554554554553761e+03,6.491814016863837189e-01
8.314514514514514303e+03,6.547241480066233743e-01
8.374474474474474846e+03,6.601631303944268669e-01
8.434434434434433570e+03,6.655001448608016679e-01
8.494394394394394112e+03,6.707369842949105765e-01
8.554354354354354655e+03,6.758754356929559393e-01
8.614314314314315197e+03,6.809172776510655778e-01
8.674274274274273921e+03,6.858642781030346303e-01
8.734234234234234464e+03,6.907181922850228473e-01
8.794194194194195006e+03,6.954807609103902388e-01
8.854154154154153730e+03,7.001537085389301085e-01
8.914114114114114273e+03,7.047387421257942375e-01
8.974074074074074815e+03,7.092375497363567760e-01
9.034034034034033539e+03,8.554054600649589613e-02
9.093993993993994081e+03,8.881113545948521315e-02
9.153953953953954624e+03,9.213368607812343070e-02
9.213913913913913348e+03,9.550785441411613341e-02
9.273873873873873890e+03,9.893331894252195557e-02
9.333833833833834433e+03,1.024097780442970868e-01
9.393793793793793157e+03,1.059369479584379575e-01
9.453753753753753699e+03,1.095145607175725261e-01
9.513713713713714242e+03,1.131423620791578433e-01
9.573673673673672965e+03,1.168201094630087894e-01
9.633633633633633508e+03,1.205475699044941396e-01
9.693593593593594051e+03,1.243245180315885184e-01
9.753553553553552774e+03,1.281507340728867128e-01
9.813513513513513317e+03,1.320260019027423570e-01
9.873473473473473859e+03,1.359501071288845286e-01
9.933433433433432583e+03,1.399228352270860676e-01
9.993393393393393126e+03,1.439439697268518892e-01
1.005335335335335367e+04,1.480131683868129433e-01
1.011331331331331421e+04,1.521291934201214335e-01
1.017327327327327293e+04,1.562905148745971362e-01
1.023323323323323348e+04,1.604955829425633584e-01
1.029319319319319402e+04,1.647428277567930810e-01
1.035315315315315274e+04,1.690306622081215460e-01
1.041311311311311329e+04,1.733574847076610193e-01
1.047307307307307383e+04,1.777216818874896576e-01
1.053303303303303255e+04,1.821216312342343047e-01
1.059299299299299309e+04,1.865557036506055311e-01
1.065295295295295364e+04,1.910222659404319512e-01
1.071291291291291236e+04,1.955196832133689611e-01
1.077287287287287290e+04,2.000463212059063467e-01
1.083283283283283345e+04,2.046005485158932102e-01
1.089279279279279217e+04,2.091807387482179093e-01
1.095275275275275271e+04,2.137852725697913514e-01
1.101271271271271326e+04,2.184125396724147516e-01
1.107267267267267198e+04,2.230609406425423935e-01
1.113263263263263252e+04,2.277288887373158099e-01
1.119259259259259306e+04,2.324148115666751502e-01
1.125255255255255179e+04,2.371171526816403252e-01
1.131251251251251233e+04,2.418343730692167626e-01
1.137247247247247287e+04,2.465649525546704801e-01
1.143243243243243160e+04,2.513073911121755377e-01
1.149239239239239214e+04,2.560602100851071539e-01
1.155235235235235268e+04,2.608219533174673255e-01
1.161231231231231141e+04,2.655911881981504186e-01
1.167227227227227195e+04,2.703665066199109623e-01
1.173223223223223249e+04,2.751465258550945259e-01
1.179219219219219303e+04,2.799298893502984442e-01
