Photon Energy [eV],[oe 4] Transmitivity
1.000000000000000000e+02,2.809342543455062549e-174
1.599599599599599742e+02,1.649416688440241145e-102
2.199199199199199199e+02,2.541134777371786141e-64
2.798798798798798657e+02,1.900050812772753619e-43
3.398398398398398399e+02,5.187389168333817218e-31
3.997997997997998141e+02,3.500355284401246883e-23
4.597597597597597314e+02,8.274392981058326466e-18
5.197197197197197056e+02,4.277123867144503209e-14
5.796796796796796798e+02,2.287129872095140990e-11
6.396396396396396540e+02,2.225159195475872486e-09
6.995995995995996282e+02,7.267157526986187534e-08
7.595595595595596023e+02,2.917217482255380496e-49
8.195195195195194628e+02,2.005843279248419030e-41
8.794794794794794370e+02,1.277450490517169492e-40
9.394394394394394112e+02,1.360322170856555132e-35
9.993993993993993854e+02,7.892864742445465508e-32
1.059359359359359360e+03,9.675976236352807419e-28
1.119319319319319220e+03,2.298932830918448786e-24
1.179279279279279308e+03,1.481431298559319245e-21
1.239239239239239168e+03,3.390657185923765197e-19
1.299199199199199256e+03,3.381509363997378165e-17
1.359159159159159117e+03,1.719367668811918281e-15
1.419119119119119205e+03,5.036254821994946065e-14
1.479079079079079065e+03,9.355147503532526048e-13
1.539039039039038926e+03,1.302030840805815378e-11
1.598998998998999014e+03,1.350187348608055518e-10
1.658958958958958874e+03,1.044612241461244149e-09
1.718918918918918962e+03,6.309724955405948657e-09
1.778878878878878822e+03,3.087929509222314024e-08
1.838838838838838910e+03,1.262365981462705115e-07
1.898798798798798771e+03,4.421311343829665580e-07
1.958758758758758859e+03,1.354955522717744763e-06
2.018718718718718719e+03,3.734129578130402732e-06
2.078678678678678807e+03,9.469682065390712367e-06
2.138638638638638440e+03,2.188240217575415056e-05
2.198598598598598528e+03,4.660940918043719386e-05
2.258558558558558616e+03,9.241499853195553891e-05
2.318518518518518704e+03,1.720133684874437861e-04
2.378478478478478337e+03,3.027491972455564201e-04
2.438438438438438425e+03,5.070214803570751577e-04
2.498398398398398513e+03,8.123667381962388582e-04
2.558358358358358146e+03,1.251162720671768896e-03
2.618318318318318234e+03,1.859962549837649529e-03
2.678278278278278322e+03,2.678512347383630622e-03
2.738238238238238409e+03,3.748536371859377721e-03
2.798198198198198043e+03,5.112389839129051136e-03
2.858158158158158130e+03,6.811681469954496311e-03
2.918118118118118218e+03,8.885958151012483125e-03
2.978078078078077851e+03,1.137152669772732196e-02
3.038038038038037939e+03,1.434994676773180926e-02
3.097997997997998027e+03,1.784850743716093549e-02
3.157957957957958115e+03,2.186684068644772008e-02
3.217917917917917748e+03,2.642228160838602444e-02
3.277877877877877836e+03,3.152564287680016675e-02
3.337837837837837924e+03,3.718131100120761895e-02
3.397797797797798012e+03,4.338752265032849720e-02
3.457757757757757645e+03,5.013678303094951799e-02
3.517717717717717733e+03,5.741638878953669173e-02
3.577677677677677821e+03,6.520902049297171155e-02
3.637637637637637454e+03,7.349337368310589202e-02
3.697597597597597542e+03,8.224480215541046801e-02
3.757557557557557629e+03,9.143595199343437785e-02
3.817517517517517717e+03,1.010373696418911948e-01
3.877477477477477350e+03,1.110180716845027005e-01
3.937437437437437438e+03,1.213460678681430871e-01
3.997397397397397526e+03,1.319888322173722317e-01
4.057357357357357159e+03,1.430580447435106095e-01
4.117317317317317247e+03,1.543920068588956473e-01
4.177277277277276880e+03,1.659513006494411913e-01
4.237237237237237423e+03,1.777036779074920025e-01
4.297197197197197056e+03,1.896179409313988873e-01
4.357157157157157599e+03,2.016641237303895828e-01
4.417117117117117232e+03,2.138136313505448194e-01
4.477077077077076865e+03,2.260393419290075701e-01
4.537037037037037408e+03,2.383156760315798817e-01
4.596996996996997041e+03,2.506186376564881191e-01
4.656956956956956674e+03,2.629258310314308567e-01
4.716916916916917216e+03,2.752164570220009820e-01
4.776876876876876850e+03,2.874712926309974104e-01
4.836836836836836483e+03,2.996726567178156775e-01
4.896796796796797025e+03,3.118043647188279421e-01
4.956756756756756658e+03,3.238516748130620959e-01
5.016716716716716292e+03,3.358385208833857827e-01
5.076676676676676834e+03,3.478112289646510535e-01
5.136636636636636467e+03,3.596619551076998267e-01
5.196596596596597010e+03,3.713806992254887751e-01
5.256556556556556643e+03,3.829586152884685846e-01
5.316516516516516276e+03,3.943879388358054183e-01
5.376476476476476819e+03,4.056619154030434160e-01
5.436436436436436452e+03,4.167747305016366033e-01
5.496396396396396085e+03,4.277214416480292214e-01
5.556356356356356628e+03,4.384979128217850186e-01
5.616316316316316261e+03,4.491007516317775949e-01
5.676276276276275894e+03,4.595272493846976891e-01
5.736236236236236437e+03,4.697753241792941847e-01
5.796196196196196070e+03,4.798434670910979305e-01
5.856156156156155703e+03,4.897306914643135278e-01
5.916116116116116245e+03,4.994364852887200334e-01
5.976076076076075879e+03,5.089607666083882931e-01
6.036036036036036421e+03,5.183394886360538356e-01
6.095995995995996054e+03,5.275598672905531528e-01
6.155955955955955687e+03,5.365988839865434290e-01
6.215915915915916230e+03,5.454577748253912617e-01
6.275875875875875863e+03,5.541380325228904002e-01
6.335835835835835496e+03,5.626413771120514218e-01
6.395795795795796039e+03,5.709697289467053904e-01
6.455755755755755672e+03,5.791251838729549739e-01
6.515715715715715305e+03,5.871099904370831180e-01
6.575675675675675848e+03,5.949265290014186247e-01
6.635635635635635481e+03,6.025772926433713428e-01
6.695595595595596023e+03,6.100648697173530755e-01
6.755555555555555657e+03,6.173919279641524316e-01
6.815515515515515290e+03,6.245612000576913347e-01
6.875475475475475832e+03,6.315754704845235601e-01
6.935435435435435465e+03,6.384375636569988854e-01
6.995395395395395099e+03,6.451503331666568197e-01
7.055355355355355641e+03,6.517166520898688420e-01
7.115315315315315274e+03,4.049480481169531743e-02
7.175275275275274907e+03,4.319494907597236366e-02
7.235235235235235450e+03,4.599228087299492285e-02
7.295195195195195083e+03,4.888682896453244026e-02
7.355155155155154716e+03,5.187857287833362585e-02
7.415115115115115259e+03,5.496744506337756381e-02
7.475075075075074892e+03,5.815333261600180020e-02
7.535035035035035435e+03,6.143607861478985604e-02
7.594994994994995068e+03,6.481548310180515471e-02
7.654954954954954701e+03,6.829130374698172412e-02
7.714914914914915244e+03,7.186325623143519081e-02
7.774874874874874877e+03,7.553101438407462676e-02
7.834834834834834510e+03,7.929421010439215156e-02
7.894794794794795052e+03,8.315243310264931742e-02
7.954754754754754686e+03,8.710523048695192894e-02
8.014714714714714319e+03,9.115213251886877810e-02
8.074674674674674861e+03,9.529215609309821255e-02
8.134634634634634494e+03,9.952307931235605809e-02
8.194594594594595037e+03,1.038425299840205623e-01
8.254554554554553761e+03,1.082480172649668976e-01
8.314514514514514303e+03,1.127369415457545598e-01
8.374474474474474846e+03,1.173066043809516817e-01
8.434434434434433570e+03,1.219542184073785090e-01
8.494394394394394112e+03,1.266769171961533713e-01
8.554354354354354655e+03,1.314717649887105488e-01
8.614314314314315197e+03,1.363357662713108875e-01
8.674274274274273921e+03,1.412658751469151042e-01
8.734234234234234464e+03,1.462590044677163359e-01
8.794194194194195006e+03,1.513120346958895246e-01
8.854154154154153730e+03,1.564218224643208199e-01
8.914114114114114273e+03,1.615852088131778108e-01
8.974074074074074815e+03,1.667990270820672027e-01
9.034034034034033539e+03,1.720601104412550486e-01
9.093993993993994081e+03,1.773652990489598680e-01
9.153953953953954624e+03,1.827114468250275181e-01
9.213913913913913348e+03,1.880954278343801578e-01
9.273873873873873890e+03,1.935141422764989627e-01
9.333833833833834433e+03,1.989645220798173519e-01
9.393793793793793157e+03,2.044435361022705344e-01
9.453753753753753699e+03,2.099481949414684356e-01
9.513713713713714242e+03,2.154755553597995921e-01
9.573673673673672965e+03,2.210227243316079115e-01
9.633633633633633508e+03,2.265868627209949859e-01
9.693593593593594051e+03,2.321651886001588339e-01
9.753553553553552774e+03,2.377549802193102413e-01
9.813513513513513317e+03,2.433535786400967127e-01
9.873473473473473859e+03,2.489583900453123666e-01
9.933433433433432583e+03,2.545668877382032957e-01
9.993393393393393126e+03,2.601766138452337729e-01
1.005335335335335367e+04,2.657850546461080765e-01
1.011331331331331421e+04,2.713904036870037340e-01
1.017327327327327293e+04,2.769908895136684035e-01
1.023323323323323348e+04,2.825847824395590346e-01
1.029319319319319402e+04,2.881704159477328497e-01
1.035315315315315274e+04,2.937461858813722460e-01
1.041311311311311329e+04,2.993105495564629126e-01
1.047307307307307383e+04,3.048620248053263149e-01
1.053303303303303255e+04,3.103991889591373177e-01
1.059299299299299309e+04,3.159206777771066954e-01
1.065295295295295364e+04,3.214251843293825517e-01
1.071291291291291236e+04,3.269114578403743421e-01
1.077287287287287290e+04,3.323783024986116663e-01
1.083283283283283345e+04,3.378245762389155971e-01
1.089279279279279217e+04,3.432491895021421158e-01
1.095275275275275271e+04,3.486511039774181642e-01
1.101271271271271326e+04,3.540293313313903067e-01
1.107267267267267198e+04,3.593829319286321877e-01
1.113263263263263252e+04,3.647110135470155168e-01
1.119259259259259306e+04,3.700127300915524997e-01
1.125255255255255179e+04,3.752872803098823984e-01
1.131251251251251233e+04,3.805339065122956277e-01
1.137247247247247287e+04,3.857518932989328908e-01
1.143243243243243160e+04,3.909405662965341199e-01
1.149239239239239214e+04,3.960992909068671297e-01
1.155235235235235268e+04,4.012274710687609436e-01
1.161231231231231141e+04,4.063245480354682471e-01
1.167227227227227195e+04,4.113899991688478863e-01
1.173223223223223249e+04,4.164233367517426454e-01
1.179219219219219303e+04,4.214241068197005502e-01
1.185215215215215176e+04,4.263918880130751488e-01
1.191211211211211230e+04,4.313262904503860629e-01
1.197207207207207284e+04,4.362269546236647866e-01
1.203203203203203157e+04,4.410935503164455374e-01
1.209199199199199211e+04,4.459257755448862715e-01
1.215195195195195265e+04,4.507233555224304800e-01
1.221191191191191137e+04,4.554860416483467178e-01
1.227187187187187192e+04,4.602136105203528116e-01
1.233183183183183246e+04,4.649058629714751811e-01
1.239179179179179118e+04,4.695626231312385879e-01
1.245175175175175173e+04,4.741837375111796482e-01
1.251171171171171227e+04,4.787690741146298778e-01
1.257167167167167099e+04,4.833185215706981563e-01
1.263163163163163154e+04,4.878319882922574902e-01
1.269159159159159208e+04,4.923094016577777010e-01
1.275155155155155080e+04,4.967507072167519078e-01
1.281151151151151134e+04,5.011558679184552334e-01
1.287147147147147189e+04,5.055248633637290379e-01
1.293143143143143061e+04,5.098576890794628280e-01
1.299139139139139115e+04,5.141543558154461069e-01
1.305135135135135170e+04,5.184148888631840979e-01
1.311131131131131042e+04,5.226393273963080288e-01
1.317127127127127096e+04,5.268277238321764644e-01
1.323123123123123150e+04,5.309801432142459143e-01
1.329119119119119205e+04,5.350966626147745098e-01
1.335115115115115077e+04,5.391773705574425257e-01
1.341111111111111131e+04,5.432223664594291179e-01
