Photon Energy [eV],[oe 4] Transmitivity
1.000000000000000000e+02,0.000000000000000000e+00
1.599599599599599742e+02,0.000000000000000000e+00
2.199199199199199199e+02,0.000000000000000000e+00
2.798798798798798657e+02,8.656577876341878797e-256
3.398398398398398399e+02,1.723022074071404878e-165
3.997997997997998141e+02,2.448816224281360869e-113
4.597597597597597314e+02,0.000000000000000000e+00
5.197197197197197056e+02,0.000000000000000000e+00
5.796796796796796798e+02,0.000000000000000000e+00
6.396396396396396540e+02,0.000000000000000000e+00
6.995995995995996282e+02,0.000000000000000000e+00
7.595595595595596023e+02,0.000000000000000000e+00
8.195195195195194628e+02,2.118247465262225537e-303
8.794794794794794370e+02,4.661889763871196646e-255
9.394394394394394112e+02,6.086098515546389714e-217
9.993993993993993854e+02,2.059565329409280481e-186
1.059359359359359360e+03,2.519852663143356990e-159
1.119319319319319220e+03,2.487030332389230844e-137
1.179279279279279308e+03,2.830169193293716262e-119
1.239239239239239168e+03,2.711464887679109423e-104
1.299199199199199256e+03,9.580791667986697743e-92
1.359159159159159117e+03,3.808505571805931781e-81
1.419119119119119205e+03,4.001412613333565036e-72
1.479079079079079065e+03,2.155632178094986218e-64
1.539039039039038926e+03,1.003802831394199185e-57
1.598998998998999014e+03,6.058009628784970128e-52
1.658958958958958874e+03,6.550018124887971490e-47
1.718918918918918962e+03,1.654922126655152810e-42
1.778878878878878822e+03,1.215558202710195225e-38
1.838838838838838910e+03,3.109145803849447223e-35
1.898798798798798771e+03,3.217702989637666681e-32
1.958758758758758859e+03,1.527375078149498154e-29
2.018718718718718719e+03,3.695851488873636682e-27
2.078678678678678807e+03,4.984902709433503001e-25
2.138638638638638440e+03,4.039492082844462084e-23
2.198598598598598528e+03,2.097339912970298682e-21
2.258558558558558616e+03,7.370507416023038950e-20
2.318518518518518704e+03,1.837353393975927145e-18
2.378478478478478337e+03,3.382713521355714317e-17
2.438438438438438425e+03,4.762297015227537898e-16
2.498398398398398513e+03,5.283444125474603735e-15
2.558358358358358146e+03,4.741531288189296287e-14
2.618318318318318234e+03,3.521368393491499849e-13
2.678278278278278322e+03,2.207699140247665673e-12
2.738238238238238409e+03,1.188998553739600360e-11
2.798198198198198043e+03,5.585947595087096734e-11
2.858158158158158130e+03,2.320373563822905218e-10
2.918118118118118218e+03,8.624884980063325178e-10
2.978078078078077851e+03,2.899212702054475924e-09
3.038038038038037939e+03,8.896504490195756823e-09
3.097997997997998027e+03,2.513045413770330743e-08
3.157957957957958115e+03,6.583522616359265405e-08
3.217917917917917748e+03,2.876421779635355489e-08
3.277877877877877836e+03,7.085001594311819820e-08
3.337837837837837924e+03,1.641451300858504819e-07
3.397797797797798012e+03,3.595558793614370632e-07
3.457757757757757645e+03,7.481326501589383680e-07
3.517717717717717733e+03,1.484868810099247597e-06
3.577677677677677821e+03,2.821895776163681031e-06
3.637637637637637454e+03,5.152594264007491967e-06
3.697597597597597542e+03,9.067583534912937191e-06
3.757557557557557629e+03,1.542273619890452782e-05
3.817517517517517717e+03,2.541835980717101936e-05
3.877477477477477350e+03,4.068758698061963305e-05
3.937437437437437438e+03,6.339094170009071036e-05
3.997397397397397526e+03,9.631312043132899650e-05
4.057357357357357159e+03,1.429563691271255584e-04
4.117317317317317247e+03,2.076193436207609741e-04
4.177277277277276880e+03,2.954653527519607976e-04
4.237237237237237423e+03,4.125714323557075282e-04
4.297197197197197056e+03,5.659532271682989361e-04
4.357157157157157599e+03,7.635634841080891000e-04
4.417117117117117232e+03,1.014262594542486573e-03
4.477077077077076865e+03,1.327761025413722778e-03
4.537037037037037408e+03,1.714534837140905838e-03
4.596996996996997041e+03,2.185716712080718483e-03
4.656956956956956674e+03,2.752965939386991818e-03
4.716916916916917216e+03,3.428321573625223075e-03
4.776876876876876850e+03,4.224043483704817761e-03
4.836836836836836483e+03,5.152446236374795367e-03
4.896796796796797025e+03,6.225730734037337490e-03
4.956756756756756658e+03,7.455818282997057553e-03
5.016716716716716292e+03,8.854187613586174399e-03
5.076676676676676834e+03,1.043176085605697703e-02
5.136636636636636467e+03,1.219884262607479758e-02
5.196596596596597010e+03,1.416494249945711610e-02
5.256556556556556643e+03,1.633868142858949102e-02
5.316516516516516276e+03,1.872771137508136285e-02
5.376476476476476819e+03,2.133865249695289165e-02
5.436436436436436452e+03,2.417704773895674661e-02
