Photon Energy [eV],[oe 2] Transmitivity
1.000000000000000000e+02,0.000000000000000000e+00
1.599599599599599742e+02,0.000000000000000000e+00
2.199199199199199199e+02,0.000000000000000000e+00
2.798798798798798657e+02,0.000000000000000000e+00
3.398398398398398399e+02,0.000000000000000000e+00
3.997997997997998141e+02,0.000000000000000000e+00
4.597597597597597314e+02,0.000000000000000000e+00
5.197197197197197056e+02,0.000000000000000000e+00
5.796796796796796798e+02,0.000000000000000000e+00
6.396396396396396540e+02,0.000000000000000000e+00
6.995995995995996282e+02,0.000000000000000000e+00
7.595595595595596023e+02,5.935464988600931338e-279
8.195195195195194628e+02,9.325332321368269894e-230
8.794794794794794370e+02,1.120388947443204907e-191
9.394394394394394112e+02,1.117018505450268198e-162
9.993993993993993854e+02,7.479091475001554116e-140
1.059359359359359360e+03,7.737591935674260398e-120
1.119319319319319220e+03,1.433205166149362684e-103
1.179279279279279308e+03,3.275362703251774014e-90
1.239239239239239168e+03,3.947831320674422321e-79
1.299199199199199256e+03,7.443845295020928465e-70
1.359159159159159117e+03,5.012046754395902063e-62
1.419119119119119205e+03,2.273067795757821294e-55
1.479079079079079065e+03,1.137584951891754828e-49
1.539039039039038926e+03,1.107403073149216805e-44
1.598998998998999014e+03,0.000000000000000000e+00
1.658958958958958874e+03,0.000000000000000000e+00
1.718918918918918962e+03,0.000000000000000000e+00
1.778878878878878822e+03,0.000000000000000000e+00
1.838838838838838910e+03,4.940656458412465442e-323
1.898798798798798771e+03,3.057011743526631826e-300
1.958758758758758859e+03,2.376641207498278479e-279
2.018718718718718719e+03,4.044389576549160845e-260
2.078678678678678807e+03,2.191926246378692709e-242
2.138638638638638440e+03,4.843087351574097327e-226
2.198598598598598528e+03,5.509427099925492206e-211
2.258558558558558616e+03,4.045627263891255010e-197
2.318518518518518704e+03,2.379548307694936558e-184
2.378478478478478337e+03,1.374359319814706300e-172
2.438438438438438425e+03,9.431733010950445936e-162
2.498398398398398513e+03,9.181911357620561229e-152
2.558358358358358146e+03,1.493862445213659189e-142
2.618318318318318234e+03,4.723904958010433912e-134
2.678278278278278322e+03,3.335237455619989266e-126
2.738238238238238409e+03,5.969768275545424796e-119
2.798198198198198043e+03,3.042570642961580701e-112
2.858158158158158130e+03,4.909531012488218843e-106
2.918118118118118218e+03,2.762946096423789700e-100
2.978078078078077851e+03,5.922912196464484303e-95
3.038038038038037939e+03,5.243409617617096104e-90
3.097997997997998027e+03,2.072873519952239397e-85
3.157957957957958115e+03,3.937328119329841736e-81
3.217917917917917748e+03,3.835373161838831972e-77
3.277877877877877836e+03,2.030605577481404348e-73
3.337837837837837924e+03,6.154722463817152489e-70
3.397797797797798012e+03,1.118824509446431627e-66
3.457757757757757645e+03,1.271836214729273136e-63
3.517717717717717733e+03,9.387448742720452860e-61
3.577677677677677821e+03,4.654168077765823257e-58
3.637637637637637454e+03,1.598194162931058705e-55
3.697597597597597542e+03,3.908131002490258652e-53
3.757557557557557629e+03,6.979166894058591564e-51
3.817517517517517717e+03,9.312820344662696875e-49
3.877477477477477350e+03,9.481179058467614806e-47
3.937437437437437438e+03,7.506073258827538231e-45
3.997397397397397526e+03,4.702038343664009808e-43
4.057357357357357159e+03,2.367936388904722531e-41
4.117317317317317247e+03,9.721648437673394751e-40
4.177277277277276880e+03,3.295929043589318742e-38
4.237237237237237423e+03,9.338112755049684808e-37
4.297197197197197056e+03,2.235552177523169613e-35
4.357157157157157599e+03,4.568909040855526709e-34
4.417117117117117232e+03,8.047927376834390330e-33
4.477077077077076865e+03,1.232681367307305984e-31
4.537037037037037408e+03,1.655376988004036134e-30
4.596996996996997041e+03,1.964083830398762496e-29
4.656956956956956674e+03,2.073722971925092016e-28
4.716916916916917216e+03,1.961417506260032131e-27
4.776876876876876850e+03,1.672342934680145397e-26
4.836836836836836483e+03,1.292840911051152359e-25
4.896796796796797025e+03,9.111549943807569931e-25
4.956756756756756658e+03,5.884053834566780057e-24
5.016716716716716292e+03,3.498374282307644363e-23
5.076676676676676834e+03,1.923574077582656765e-22
5.136636636636636467e+03,9.823064190189780796e-22
5.196596596596597010e+03,4.677415436662815230e-21
5.256556556556556643e+03,2.084494765341690063e-20
5.316516516516516276e+03,8.724575470936344091e-20
5.376476476476476819e+03,3.440760039441395989e-19
5.436436436436436452e+03,1.282511053367362120e-18
