Photon Energy [eV],[oe 2] Transmitivity
1.000000000000000000e+02,5.825099623217297227e-52
1.599599599599599742e+02,2.369032614816588109e-51
2.199199199199199199e+02,9.522757798856514158e-66
2.798798798798798657e+02,1.911754532104065654e-226
3.398398398398398399e+02,7.059846736098348119e-268
3.997997997997998141e+02,9.080016034104558895e-250
4.597597597597597314e+02,1.466712420368745553e-217
5.197197197197197056e+02,1.106494584979992769e-190
5.796796796796796798e+02,3.417696181533897406e-156
6.396396396396396540e+02,4.269641734442796292e-129
6.995995995995996282e+02,4.113181598210699468e-108
7.595595595595596023e+02,1.829079480596183187e-91
8.195195195195194628e+02,3.893275691222957167e-78
8.794794794794794370e+02,4.369293493641438471e-67
9.394394394394394112e+02,2.504886640252451586e-60
9.993993993993993854e+02,1.294531444010371534e-55
1.059359359359359360e+03,1.106826827644838169e-48
1.119319319319319220e+03,6.470537893659362917e-43
1.179279279279279308e+03,4.309093631494683655e-38
1.239239239239239168e+03,5.077697677507338824e-34
1.299199199199199256e+03,1.480661230735078375e-30
1.359159159159159117e+03,1.384178419733680099e-27
1.419119119119119205e+03,5.078261773077683794e-25
1.479079079079079065e+03,8.578320147549683560e-23
1.539039039039038926e+03,8.523408033586874420e-21
1.598998998998999014e+03,5.066798137358484477e-19
1.658958958958958874e+03,1.839417589141285237e-17
1.718918918918918962e+03,4.392550109841915168e-16
1.778878878878878822e+03,7.334071802328106169e-15
1.838838838838838910e+03,9.005054170694076961e-14
1.898798798798798771e+03,8.479849697036336557e-13
1.958758758758758859e+03,6.343553092324408674e-12
2.018718718718718719e+03,3.938139377541780198e-11
2.078678678678678807e+03,2.105551520878298701e-10
2.138638638638638440e+03,9.586895510920667850e-10
2.198598598598598528e+03,3.789664619218246312e-09
2.258558558558558616e+03,1.322241692864679466e-08
2.318518518518518704e+03,4.130333762443547554e-08
2.378478478478478337e+03,1.169395608001601877e-07
2.438438438438438425e+03,3.032982424557468696e-07
2.498398398398398513e+03,7.273462070196122175e-07
2.558358358358358146e+03,1.041797713036359642e-21
2.618318318318318234e+03,2.703277866298536613e-20
2.678278278278278322e+03,2.019055989333358876e-26
2.738238238238238409e+03,4.641039450397372736e-25
2.798198198198198043e+03,8.386926625306370359e-24
2.858158158158158130e+03,1.231841214462931425e-22
2.918118118118118218e+03,1.450047139913613140e-24
2.978078078078077851e+03,1.939656330616837427e-23
3.038038038038037939e+03,2.410836187161505942e-22
3.097997997997998027e+03,2.672309817575436791e-21
3.157957957957958115e+03,2.526025389664614291e-20
3.217917917917917748e+03,2.063417971707572350e-19
3.277877877877877836e+03,1.474096652386340578e-18
3.337837837837837924e+03,9.309690322166052163e-18
3.397797797797798012e+03,5.248617173229891650e-17
3.457757757757757645e+03,2.664918360671467578e-16
3.517717717717717733e+03,1.228356510231952463e-15
3.577677677677677821e+03,5.177503796135352602e-15
3.637637637637637454e+03,2.008822270799073889e-14
3.697597597597597542e+03,7.217765360633758964e-14
3.757557557557557629e+03,2.414854117119025519e-13
3.817517517517517717e+03,7.561144161288825638e-13
3.877477477477477350e+03,2.225817448681193843e-12
3.937437437437437438e+03,6.186249294015812567e-12
3.997397397397397526e+03,1.629600865430667969e-11
4.057357357357357159e+03,4.164068715704303127e-11
4.117317317317317247e+03,1.014505883392267557e-10
4.177277277277276880e+03,2.361907475940252673e-10
4.237237237237237423e+03,5.270012426557721125e-10
4.297197197197197056e+03,1.129982377964788188e-09
4.357157157157157599e+03,2.334127663660868956e-09
4.417117117117117232e+03,4.655547713382542582e-09
4.477077077077076865e+03,8.985377949130846189e-09
4.537037037037037408e+03,1.681433405647578426e-08
4.596996996996997041e+03,3.056307849652021725e-08
4.656956956956956674e+03,5.405404185658430119e-08
4.716916916916917216e+03,9.316662518243729730e-08
4.776876876876876850e+03,1.567232089687737701e-07
4.836836836836836483e+03,2.576574658079066508e-07
4.896796796796797025e+03,4.145184694755047491e-07
4.956756756756756658e+03,6.533634300256696215e-07
5.016716716716716292e+03,1.012560448561893857e-06
5.076676676676676834e+03,1.549879879403577255e-06
5.136636636636636467e+03,2.330134443886464069e-06
5.196596596596597010e+03,3.444164744946237024e-06
5.256556556556556643e+03,5.009501956210688394e-06
5.316516516516516276e+03,7.175895453389620443e-06
5.376476476476476819e+03,1.013139198423223847e-05
5.436436436436436452e+03,1.410889864720949538e-05
5.496396396396396085e+03,1.939313795392011644e-05
5.556356356356356628e+03,2.632788109856592452e-05
5.616316316316316261e+03,3.532332636018114240e-05
5.676276276276275894e+03,4.686347426570875867e-05
5.736236236236236437e+03,6.151334047371270536e-05
5.796196196196196070e+03,7.992584177859344934e-05
5.856156156156155703e+03,1.028481903985727238e-04
5.916116116116116245e+03,1.311276367528826329e-04
5.976076076076075879e+03,1.657164109703698469e-04
6.036036036036036421e+03,2.081129798561571662e-04
6.095995995995996054e+03,2.595837174958596258e-04
6.155955955955955687e+03,3.212461178172658382e-04
6.215915915915916230e+03,3.945789131070458959e-04
6.275875875875875863e+03,4.811832595443737222e-04
6.335835835835835496e+03,5.827806940355326855e-04
6.395795795795796039e+03,7.012096693500114537e-04
6.455755755755755672e+03,8.384206970205350254e-04
6.515715715715715305e+03,9.964701532872311668e-04
6.575675675675675848e+03,1.177512826754476428e-03
6.635635635635635481e+03,1.383793306913364864e-03
6.695595595595596023e+03,1.617636329935739957e-03
6.755555555555555657e+03,1.881436211966051051e-03
6.815515515515515290e+03,2.177645510461095890e-03
6.875475475475475832e+03,2.508763060990599949e-03
6.935435435435435465e+03,2.877321540451503821e-03
6.995395395395395099e+03,3.285874708085282942e-03
7.055355355355355641e+03,3.736984473286435269e-03
7.115315315315315274e+03,4.233207934285150228e-03
7.175275275275274907e+03,4.777084524708935173e-03
7.235235235235235450e+03,5.371123396154657906e-03
7.295195195195195083e+03,6.017791154580236397e-03
7.355155155155154716e+03,6.719500056919990201e-03
7.415115115115115259e+03,7.478596762165463235e-03
7.475075075075074892e+03,8.297351718547908359e-03
7.535035035035035435e+03,9.177949255689604388e-03
7.594994994994995068e+03,1.012247843791586922e-02
7.654954954954954701e+03,1.113292472253160463e-02
7.714914914914915244e+03,1.221116245498267763e-02
7.774874874874874877e+03,1.335894822154968034e-02
7.834834834834834510e+03,1.457791506971355643e-02
7.894794794794795052e+03,1.586956759664977235e-02
7.954754754754754686e+03,1.723527789752294856e-02
8.014714714714714319e+03,1.868243285407331089e-02
8.074674674674674861e+03,2.022669592404156141e-02
8.134634634634634494e+03,2.185119414116927158e-02
8.194594594594595037e+03,2.355681265597912855e-02
8.254554554554553761e+03,2.534428645819694972e-02
8.314514514514514303e+03,2.721420084024061409e-02
8.374474474474474846e+03,2.916699256330208129e-02
8.434434434434433570e+03,3.120295167549298407e-02
8.494394394394394112e+03,3.332222393003413108e-02
8.554354354354354655e+03,3.552481375070028202e-02
8.614314314314315197e+03,3.781058769158461563e-02
8.674274274274273921e+03,4.017927833863013665e-02
8.734234234234234464e+03,4.263048860129350220e-02
8.794194194194195006e+03,4.516369634398670341e-02
8.854154154154153730e+03,4.777825930860278569e-02
8.914114114114114273e+03,5.047342028137902226e-02
8.974074074074074815e+03,5.324831245952821313e-02
9.034034034034033539e+03,5.610196497542047772e-02
9.093993993993994081e+03,5.903330853859713873e-02
9.153953953953954624e+03,6.204118115847646192e-02
9.213913913913913348e+03,6.512433391324765064e-02
9.273873873873873890e+03,6.828143673310289874e-02
9.333833833833834433e+03,7.151108416860643691e-02
9.393793793793793157e+03,7.481180111759504203e-02
9.453753753753753699e+03,7.818204848658076578e-02
9.513713713713714242e+03,8.162022876506432045e-02
9.573673673673672965e+03,8.512469149360840648e-02
9.633633633633633508e+03,8.869373860875640059e-02
9.693593593593594051e+03,9.232562965008439537e-02
9.753553553553552774e+03,9.601858681674399487e-02
9.813513513513513317e+03,9.977079986275713686e-02
9.873473473473473859e+03,1.035804308221918157e-01
9.933433433433432583e+03,1.074456185569803990e-01
9.993393393393393126e+03,1.113644831217658893e-01
1.005335335335335367e+04,1.153898923958106559e-01
1.011331331331331421e+04,1.194737272198930778e-01
1.017327327327327293e+04,1.236073236402184250e-01
1.023323323323323348e+04,1.277886837384196450e-01
