Photon Energy [eV],[oe 1] Transmitivity
1.000000000000000000e+02,0.000000000000000000e+00
1.599599599599599742e+02,0.000000000000000000e+00
2.199199199199199199e+02,0.000000000000000000e+00
2.798798798798798657e+02,0.000000000000000000e+00
3.398398398398398399e+02,0.000000000000000000e+00
3.997997997997998141e+02,0.000000000000000000e+00
4.597597597597597314e+02,0.000000000000000000e+00
5.197197197197197056e+02,0.000000000000000000e+00
5.796796796796796798e+02,0.000000000000000000e+00
6.396396396396396540e+02,0.000000000000000000e+00
6.995995995995996282e+02,0.000000000000000000e+00
7.595595595595596023e+02,0.000000000000000000e+00
8.195195195195194628e+02,0.000000000000000000e+00
8.794794794794794370e+02,0.000000000000000000e+00
9.394394394394394112e+02,0.000000000000000000e+00
9.993993993993993854e+02,0.000000000000000000e+00
1.059359359359359360e+03,0.000000000000000000e+00
1.119319319319319220e+03,0.000000000000000000e+00
1.179279279279279308e+03,0.000000000000000000e+00
1.239239239239239168e+03,0.000000000000000000e+00
1.299199199199199256e+03,0.000000000000000000e+00
1.359159159159159117e+03,0.000000000000000000e+00
1.419119119119119205e+03,1.396693936854453506e-318
1.479079079079079065e+03,5.205348506984623528e-283
1.539039039039038926e+03,1.770513875933697930e-252
1.598998998998999014e+03,3.958290006567494277e-226
1.658958958958958874e+03,2.801088670288865192e-203
1.718918918918918962e+03,2.249159177076765505e-183
1.778878878878878822e+03,5.821100096065925112e-166
1.838838838838838910e+03,1.146358248379174259e-150
1.898798798798798771e+03,3.496496599610978366e-137
1.958758758758758859e+03,2.983512870851201322e-125
2.018718718718718719e+03,1.167531963241023289e-114
2.078678678678678807e+03,3.177683002557035672e-105
2.138638638638638440e+03,8.563186892787811419e-97
2.198598598598598528e+03,3.079447714826319067e-89
2.258558558558558616e+03,1.904204867661921945e-82
2.318518518518518704e+03,2.513389031587166340e-76
2.378478478478478337e+03,8.521826953238385885e-71
2.438438438438438425e+03,8.703170316877361622e-66
2.498398398398398513e+03,3.071588443158487595e-61
2.558358358358358146e+03,4.219512310489344503e-57
2.618318318318318234e+03,2.501920709452074217e-53
2.678278278278278322e+03,7.007023350115908901e-50
2.738238238238238409e+03,1.002907449284467893e-46
2.798198198198198043e+03,7.860698416779546450e-44
2.858158158158158130e+03,3.585249779017429049e-41
2.918118118118118218e+03,1.003919690929521743e-38
2.978078078078077851e+03,1.809519394087112229e-36
3.038038038038037939e+03,2.189552052015709331e-34
3.097997997997998027e+03,1.846054901296492661e-32
3.157957957957958115e+03,1.121046015020856302e-30
3.217917917917917748e+03,5.050617241449827654e-29
3.277877877877877836e+03,1.733400986127058180e-27
3.337837837837837924e+03,4.640686170837965149e-26
3.397797797797798012e+03,9.899998524603703518e-25
3.457757757757757645e+03,1.715412903210026101e-23
3.517717717717717733e+03,2.456238629432405941e-22
3.577677677677677821e+03,2.951880373514939203e-21
3.637637637637637454e+03,3.019693974346577818e-20
3.697597597597597542e+03,2.663150520087307674e-19
3.757557557557557629e+03,2.048401628179627902e-18
3.817517517517517717e+03,1.388607146246711022e-17
3.877477477477477350e+03,8.375974787631211757e-17
3.937437437437437438e+03,4.534829026784071009e-16
3.997397397397397526e+03,2.221276959223053094e-15
4.057357357357357159e+03,9.915554991622840567e-15
4.117317317317317247e+03,4.060458176168070966e-14
4.177277277277276880e+03,1.534665427117643354e-13
4.237237237237237423e+03,5.383339427646760696e-13
4.297197197197197056e+03,1.761611448136784184e-12
4.357157157157157599e+03,5.402943898242932899e-12
4.417117117117117232e+03,1.559882121907995910e-11
4.477077077077076865e+03,4.256232301146652916e-11
4.537037037037037408e+03,1.101610012195281901e-10
4.596996996996997041e+03,2.713774531543302347e-10
4.656956956956956674e+03,6.383011645745255665e-10
4.716916916916917216e+03,1.437620248628934819e-09
4.776876876876876850e+03,3.108829276503863656e-09
4.836836836836836483e+03,6.470918027625292196e-09
4.896796796796797025e+03,1.299437231419378402e-08
4.956756756756756658e+03,2.522885201179368269e-08
5.016716716716716292e+03,4.745246750594064123e-08
5.076676676676676834e+03,8.662536614893670221e-08
5.136636636636636467e+03,1.537473685908968991e-07
5.196596596596597010e+03,2.657333514689659494e-07
5.256556556556556643e+03,4.479323596113054737e-07
5.316516516516516276e+03,7.374209997569974403e-07
5.376476476476476819e+03,1.187199601360660672e-06
5.436436436436436452e+03,1.871408076491517187e-06
