Photon Energy [eV],[oe 1] Transmitivity
1.000000000000000000e+02,0.000000000000000000e+00
1.599599599599599742e+02,0.000000000000000000e+00
2.199199199199199199e+02,0.000000000000000000e+00
2.798798798798798657e+02,6.040927289398749436e-275
3.398398398398398399e+02,0.000000000000000000e+00
3.997997997997998141e+02,0.000000000000000000e+00
4.597597597597597314e+02,0.000000000000000000e+00
5.197197197197197056e+02,0.000000000000000000e+00
5.796796796796796798e+02,0.000000000000000000e+00
6.396396396396396540e+02,0.000000000000000000e+00
6.995995995995996282e+02,0.000000000000000000e+00
7.595595595595596023e+02,0.000000000000000000e+00
8.195195195195194628e+02,0.000000000000000000e+00
8.794794794794794370e+02,0.000000000000000000e+00
9.394394394394394112e+02,7.818116471102684164e-278
9.993993993993993854e+02,2.529597035745046632e-236
1.059359359359359360e+03,1.003587521653497324e-200
1.119319319319319220e+03,5.298321376346511389e-172
1.179279279279279308e+03,1.466697935916146813e-148
1.239239239239239168e+03,3.215785994186607569e-129
1.299199199199199256e+03,4.161577205559815678e-113
1.359159159159159117e+03,1.438598875071494866e-99
1.419119119119119205e+03,4.200855026523264761e-88
1.479079079079079065e+03,2.521836456569762184e-78
1.539039039039038926e+03,6.233169451507197425e-70
1.598998998998999014e+03,1.091501991183604954e-62
1.658958958958958874e+03,2.086033448400965763e-56
1.718918918918918962e+03,6.180422621956194926e-51
1.778878878878878822e+03,3.782312026786020237e-46
1.838838838838838910e+03,6.054597264025225442e-42
1.898798798798798771e+03,3.082143540008191247e-38
1.958758758758758859e+03,5.870146069256864890e-35
2.018718718718718719e+03,4.791631630480299428e-32
2.078678678678678807e+03,1.879630446268088072e-29
2.138638638638638440e+03,3.904631054289391482e-27
2.198598598598598528e+03,4.662732478076928371e-25
2.258558558558558616e+03,3.431763593026756225e-23
2.318518518518518704e+03,1.652051983074496505e-21
2.378478478478478337e+03,5.473524377050763993e-20
2.438438438438438425e+03,1.303932049810870832e-18
2.498398398398398513e+03,2.319477244816316834e-17
2.558358358358358146e+03,3.183296872187470219e-16
2.618318318318318234e+03,3.467834516596185261e-15
2.678278278278278322e+03,3.073917845477536452e-14
2.738238238238238409e+03,2.265610833880637358e-13
2.798198198198198043e+03,1.415096151991202961e-12
2.858158158158158130e+03,7.616356664299820778e-12
2.918118118118118218e+03,3.584794245052395816e-11
2.978078078078077851e+03,1.494822461267175570e-10
3.038038038038037939e+03,5.586481130905867404e-10
3.097997997997998027e+03,1.890407019706420625e-09
3.157957957957958115e+03,5.845166763415446565e-09
3.217917917917917748e+03,1.664930971359424040e-08
3.277877877877877836e+03,4.400603282534220767e-08
3.337837837837837924e+03,1.086362861891867933e-07
3.397797797797798012e+03,2.519559762529233518e-07
3.457757757757757645e+03,5.518818185289009973e-07
3.517717717717717733e+03,1.147090060002199046e-06
3.577677677677677821e+03,2.272148353481994551e-06
3.637637637637637454e+03,4.305693448618224862e-06
3.697597597597597542e+03,7.833172156679536446e-06
3.757557557557557629e+03,1.372460349457175066e-05
3.817517517517517717e+03,2.322643496342637856e-05
3.877477477477477350e+03,3.806500136478938734e-05
3.937437437437437438e+03,6.055753915399844097e-05
3.997397397397397526e+03,9.372536209754179842e-05
4.057357357357357159e+03,1.414035200385143276e-04
4.117317317317317247e+03,2.083371753045244583e-04
4.177277277277276880e+03,3.002628931447132773e-04
4.237237237237237423e+03,4.239647971762323963e-04
4.297197197197197056e+03,5.873022829928217173e-04
4.357157157157157599e+03,7.992057192931245092e-04
4.417117117117117232e+03,1.069638462832469758e-03
4.477077077077076865e+03,1.409525314086472773e-03
4.537037037037037408e+03,1.830649233036758241e-03
4.596996996996997041e+03,2.345519623205575589e-03
4.656956956956956674e+03,2.967216691805157815e-03
4.716916916916917216e+03,3.709217254683374980e-03
4.776876876876876850e+03,4.585207860281698307e-03
4.836836836836836483e+03,5.608891269549176779e-03
4.896796796796797025e+03,6.793792183533560632e-03
4.956756756756756658e+03,8.153067707266190012e-03
5.016716716716716292e+03,9.699325847418557162e-03
5.076676676676676834e+03,1.144445938859023348e-02
5.136636636636636467e+03,1.339950608815919375e-02
5.196596596596597010e+03,1.557450835486911579e-02
5.256556556556556643e+03,1.797840854574129718e-02
5.316516516516516276e+03,2.061896273555807388e-02
5.376476476476476819e+03,2.350267667298173296e-02
5.436436436436436452e+03,2.663476345653243565e-02
