Photon Energy [eV],[oe 3] Transmitivity
1.000000000000000000e+02,3.870681765831555350e-197
1.599599599599599742e+02,6.091703740680900528e-193
2.199199199199199199e+02,4.902544981510238249e-193
2.798798798798798657e+02,1.152782107641133799e-166
3.398398398398398399e+02,8.191990254749206732e-166
3.997997997997998141e+02,0.000000000000000000e+00
4.597597597597597314e+02,0.000000000000000000e+00
5.197197197197197056e+02,0.000000000000000000e+00
5.796796796796796798e+02,0.000000000000000000e+00
6.396396396396396540e+02,0.000000000000000000e+00
6.995995995995996282e+02,0.000000000000000000e+00
7.595595595595596023e+02,0.000000000000000000e+00
8.195195195195194628e+02,0.000000000000000000e+00
8.794794794794794370e+02,1.106979432921084933e-282
9.394394394394394112e+02,4.379436023714890804e-264
9.993993993993993854e+02,9.076049844034909122e-257
1.059359359359359360e+03,5.849855071174247274e-225
1.119319319319319220e+03,2.449148817835080517e-198
1.179279279279279308e+03,4.944798957867731812e-176
1.239239239239239168e+03,3.563100910356881215e-157
1.299199199199199256e+03,4.219548025419082496e-141
1.359159159159159117e+03,2.674089579920894163e-127
1.419119119119119205e+03,2.283998980895674436e-115
1.479079079079079065e+03,5.458926957277075088e-105
1.539039039039038926e+03,1.228508666153537594e-95
1.598998998998999014e+03,2.637165585395072156e-87
1.658958958958958874e+03,5.652350615919888357e-80
1.718918918918918962e+03,1.709238245986818756e-73
1.778878878878878822e+03,9.689063866372218728e-68
1.838838838838838910e+03,1.302630107017629710e-62
1.898798798798798771e+03,5.052584141621101808e-58
1.958758758758758859e+03,6.662935220079295087e-54
2.018718718718718719e+03,3.755460464225757061e-50
2.078678678678678807e+03,1.098937156721822695e-46
2.138638638638638440e+03,1.495537695792935375e-43
2.198598598598598528e+03,1.037704419327642786e-40
2.258558558558558616e+03,3.972167971661642036e-38
2.318518518518518704e+03,8.976657114426677488e-36
2.378478478478478337e+03,1.269948724439859290e-33
2.438438438438438425e+03,1.183361355055161771e-31
2.498398398398398513e+03,7.591435581061158262e-30
2.558358358358358146e+03,3.484894850453980518e-28
2.618318318318318234e+03,1.184192578561694897e-26
2.678278278278278322e+03,3.068669677480936523e-25
2.738238238238238409e+03,6.225452449061922995e-24
2.798198198198198043e+03,1.011956060784821921e-22
2.858158158158158130e+03,1.345413143384662251e-21
2.918118118118118218e+03,1.490022756166269194e-20
2.978078078078077851e+03,1.397165670551474119e-19
3.038038038038037939e+03,1.153395185947844623e-18
3.097997997997998027e+03,8.374568402731736384e-18
3.157957957957958115e+03,5.333059711837730123e-17
3.217917917917917748e+03,3.840011629038967098e-52
3.277877877877877836e+03,4.795897410726458504e-50
3.337837837837837924e+03,1.590677273460176570e-65
3.397797797797798012e+03,7.476318436877945330e-63
3.457757757757757645e+03,2.463285070219058565e-60
3.517717717717717733e+03,6.061030789378523914e-58
3.577677677677677821e+03,1.100145222701673855e-55
3.637637637637637454e+03,2.813298016247120805e-61
3.697597597597597542e+03,6.548403397505319594e-59
3.757557557557557629e+03,1.133695949806341834e-56
3.817517517517517717e+03,1.489952547599051313e-54
3.877477477477477350e+03,1.514597877080716418e-52
3.937437437437437438e+03,1.211542422956636953e-50
3.997397397397397526e+03,7.747477145259235845e-49
4.057357357357357159e+03,4.924290510113774504e-47
4.117317317317317247e+03,2.550608582046250428e-45
4.177277277277276880e+03,1.081228588854049130e-43
4.237237237237237423e+03,3.799623493087956250e-42
4.297197197197197056e+03,1.120106811788356080e-40
4.357157157157157599e+03,2.800462640250823243e-39
4.417117117117117232e+03,5.998614099800494353e-38
4.477077077077076865e+03,1.111212030953680517e-36
4.537037037037037408e+03,1.795744834363274485e-35
4.596996996996997041e+03,2.552106482417045450e-34
4.656956956956956674e+03,3.213771651407633409e-33
4.716916916916917216e+03,3.610940338357359571e-32
4.776876876876876850e+03,3.643609377593667590e-31
4.836836836836836483e+03,3.321801723223001891e-30
4.896796796796797025e+03,2.751646585796549674e-29
4.956756756756756658e+03,2.081957045246342239e-28
5.016716716716716292e+03,1.454874034734372833e-27
5.076676676676676834e+03,9.515890215732462827e-27
5.136636636636636467e+03,5.755278360278586602e-26
5.196596596596597010e+03,3.231970541334176359e-25
5.256556556556556643e+03,1.691727152182228482e-24
5.316516516516516276e+03,8.283762984555101939e-24
5.376476476476476819e+03,3.807452528549864728e-23
5.436436436436436452e+03,1.647917436910144935e-22
5.496396396396396085e+03,6.736451305457342699e-22
5.556356356356356628e+03,2.608220420876555035e-21
5.616316316316316261e+03,9.590137511594537883e-21
5.676276276276275894e+03,3.357030506570192926e-20
5.736236236236236437e+03,1.121386196039049339e-19
5.796196196196196070e+03,3.582494086600546633e-19
5.856156156156155703e+03,1.096862748770374041e-18
5.916116116116116245e+03,3.224858795804135130e-18
5.976076076076075879e+03,9.121538261054909300e-18
6.036036036036036421e+03,2.514258090400915153e-17
6.095995995995996054e+03,6.733453742016469834e-17
6.155955955955955687e+03,1.741672374488138061e-16
6.215915915915916230e+03,4.357810835756468061e-16
6.275875875875875863e+03,1.056283043529472871e-15
6.335835835835835496e+03,2.483734311187828337e-15
6.395795795795796039e+03,5.673015969559072477e-15
6.455755755755755672e+03,1.260225553167386405e-14
6.515715715715715305e+03,2.725971801179028896e-14
6.575675675675675848e+03,5.748047533146637214e-14
6.635635635635635481e+03,1.182790028413326685e-13
6.695595595595596023e+03,2.377510345529356304e-13
6.755555555555555657e+03,4.672850544530773414e-13
6.815515515515515290e+03,8.988406867518446487e-13
6.875475475475475832e+03,1.693566000893830585e-12
6.935435435435435465e+03,3.128232327014821352e-12
6.995395395395395099e+03,5.669111018046202429e-12
7.055355355355355641e+03,1.008730898564094265e-11
7.115315315315315274e+03,1.763559015752885462e-11
7.175275275275274907e+03,3.031477471492579881e-11
7.235235235235235450e+03,5.126842525705028166e-11
7.295195195195195083e+03,8.535825009193542622e-11
7.355155155155154716e+03,1.399900679518363360e-10
7.415115115115115259e+03,2.262818914013976178e-10
7.475075075075074892e+03,3.606922921702329191e-10
