X,Y
-2.834768164062500000e+04,0.000000000000000000e+00
-2.779058007812500000e+04,0.000000000000000000e+00
-2.723348046875000000e+04,0.000000000000000000e+00
-2.667637890625000000e+04,0.000000000000000000e+00
-2.611927734375000000e+04,0.000000000000000000e+00
-2.556217773437500000e+04,0.000000000000000000e+00
-2.500507617187500000e+04,0.000000000000000000e+00
-2.444797656250000000e+04,0.000000000000000000e+00
-2.389087500000000000e+04,0.000000000000000000e+00
-2.333377343750000000e+04,0.000000000000000000e+00
-2.277667382812500000e+04,0.000000000000000000e+00
-2.221957226562500000e+04,0.000000000000000000e+00
-2.166247265625000000e+04,1.000000000000000000e+00
-2.110537109375000000e+04,0.000000000000000000e+00
-2.054826953125000000e+04,2.000000000000000000e+00
-1.999116796875000000e+04,4.000000000000000000e+00
-1.943406835937500000e+04,4.000000000000000000e+00
-1.887696875000000000e+04,3.000000000000000000e+00
-1.831986718750000000e+04,1.200000000000000000e+01
-1.776276562500000000e+04,8.000000000000000000e+00
-1.720566406250000000e+04,9.000000000000000000e+00
-1.664856445312500000e+04,1.100000000000000000e+01
-1.609146289062500000e+04,1.700000000000000000e+01
-1.553436230468750000e+04,1.500000000000000000e+01
-1.497726171875000000e+04,2.500000000000000000e+01
-1.442016113281250000e+04,2.700000000000000000e+01
-1.386306054687500000e+04,2.400000000000000000e+01
-1.330595898437500000e+04,2.700000000000000000e+01
-1.274885839843750000e+04,2.500000000000000000e+01
-1.219175781250000000e+04,2.000000000000000000e+01
-1.163465625000000000e+04,3.700000000000000000e+01
-1.107755664062500000e+04,2.300000000000000000e+01
-1.052045507812500000e+04,3.300000000000000000e+01
-9.963353515625000000e+03,2.400000000000000000e+01
-9.406253906250000000e+03,2.700000000000000000e+01
-8.849152343750000000e+03,3.500000000000000000e+01
-8.292052734375000000e+03,3.100000000000000000e+01
-7.734951171875000000e+03,2.700000000000000000e+01
-7.177849609375000000e+03,3.100000000000000000e+01
-6.620750000000000000e+03,2.600000000000000000e+01
-6.063648437500000000e+03,2.700000000000000000e+01
-5.506546875000000000e+03,3.900000000000000000e+01
-4.949447265625000000e+03,3.400000000000000000e+01
-4.392345703125000000e+03,2.800000000000000000e+01
-3.835244140625000000e+03,2.400000000000000000e+01
-3.278144531250000000e+03,2.900000000000000000e+01
-2.721042968750000000e+03,3.600000000000000000e+01
-2.163943359375000000e+03,2.900000000000000000e+01
-1.606841796875000000e+03,3.000000000000000000e+01
-1.049740234375000000e+03,2.400000000000000000e+01
-4.926406250000000000e+02,2.100000000000000000e+01
6.446093750000000000e+01,3.300000000000000000e+01
6.215605468750000000e+02,2.300000000000000000e+01
1.178662109375000000e+03,2.200000000000000000e+01
1.735763671875000000e+03,2.800000000000000000e+01
2.292863281250000000e+03,3.200000000000000000e+01
2.849964843750000000e+03,2.800000000000000000e+01
3.407066406250000000e+03,2.500000000000000000e+01
3.964166015625000000e+03,1.900000000000000000e+01
4.521267578125000000e+03,4.000000000000000000e+01
5.078369140625000000e+03,2.200000000000000000e+01
5.635470703125000000e+03,2.500000000000000000e+01
6.192568359375000000e+03,3.600000000000000000e+01
6.749669921875000000e+03,4.600000000000000000e+01
7.306771484375000000e+03,3.000000000000000000e+01
7.863873046875000000e+03,3.500000000000000000e+01
8.420974609375000000e+03,3.200000000000000000e+01
8.978072265625000000e+03,3.300000000000000000e+01
9.535173828125000000e+03,2.400000000000000000e+01
1.009227539062500000e+04,2.900000000000000000e+01
1.064937695312500000e+04,2.500000000000000000e+01
1.120647851562500000e+04,2.400000000000000000e+01
1.176357617187500000e+04,3.000000000000000000e+01
1.232067773437500000e+04,1.900000000000000000e+01
1.287777929687500000e+04,2.200000000000000000e+01
1.343488085937500000e+04,2.600000000000000000e+01
1.399198242187500000e+04,2.400000000000000000e+01
1.454908398437500000e+04,2.200000000000000000e+01
1.510618164062500000e+04,1.600000000000000000e+01
1.566328320312500000e+04,1.100000000000000000e+01
1.622038476562500000e+04,1.400000000000000000e+01
1.677748632812500000e+04,9.000000000000000000e+00
1.733458789062500000e+04,8.000000000000000000e+00
1.789168554687500000e+04,1.600000000000000000e+01
1.844878710937500000e+04,8.000000000000000000e+00
1.900588867187500000e+04,3.000000000000000000e+00
1.956299023437500000e+04,1.000000000000000000e+00
2.012009179687500000e+04,8.000000000000000000e+00
2.067719335937500000e+04,1.000000000000000000e+00
2.123429101562500000e+04,0.000000000000000000e+00
2.179139257812500000e+04,1.000000000000000000e+00
2.234849414062500000e+04,0.000000000000000000e+00
2.290559570312500000e+04,0.000000000000000000e+00
2.346269726562500000e+04,1.000000000000000000e+00
2.401979492187500000e+04,0.000000000000000000e+00
2.457689648437500000e+04,0.000000000000000000e+00
2.513399804687500000e+04,0.000000000000000000e+00
2.569109960937500000e+04,0.000000000000000000e+00
2.624820117187500000e+04,0.000000000000000000e+00
2.680529882812500000e+04,0.000000000000000000e+00
