Y,Y
-6.408652832031250000e+03,0.000000000000000000e+00
-6.280025878906250000e+03,0.000000000000000000e+00
-6.151399414062500000e+03,1.000000000000000000e+00
-6.022772460937500000e+03,9.000000000000000000e+00
-5.894145507812500000e+03,2.400000000000000000e+01
-5.765519042968750000e+03,2.400000000000000000e+01
-5.636892089843750000e+03,2.400000000000000000e+01
-5.508265136718750000e+03,1.800000000000000000e+01
-5.379638671875000000e+03,2.100000000000000000e+01
-5.251011718750000000e+03,1.800000000000000000e+01
-5.122384765625000000e+03,1.700000000000000000e+01
-4.993758300781250000e+03,1.800000000000000000e+01
-4.865131347656250000e+03,2.500000000000000000e+01
-4.736504882812500000e+03,1.800000000000000000e+01
-4.607877929687500000e+03,2.600000000000000000e+01
-4.479250976562500000e+03,2.100000000000000000e+01
-4.350624023437500000e+03,2.300000000000000000e+01
-4.221997558593750000e+03,2.500000000000000000e+01
-4.093370605468750000e+03,2.600000000000000000e+01
-3.964743896484375000e+03,2.200000000000000000e+01
-3.836117187500000000e+03,2.500000000000000000e+01
-3.707490234375000000e+03,2.200000000000000000e+01
-3.578863525390625000e+03,1.900000000000000000e+01
-3.450236816406250000e+03,3.300000000000000000e+01
-3.321609863281250000e+03,1.900000000000000000e+01
-3.192983154296875000e+03,1.800000000000000000e+01
-3.064356445312500000e+03,2.000000000000000000e+01
-2.935729736328125000e+03,2.500000000000000000e+01
-2.807102783203125000e+03,2.100000000000000000e+01
-2.678476074218750000e+03,2.800000000000000000e+01
-2.549849365234375000e+03,2.000000000000000000e+01
-2.421222412109375000e+03,3.000000000000000000e+01
-2.292595703125000000e+03,3.000000000000000000e+01
-2.163968750000000000e+03,1.900000000000000000e+01
-2.035342285156250000e+03,3.100000000000000000e+01
-1.906715332031250000e+03,2.000000000000000000e+01
-1.778088378906250000e+03,2.400000000000000000e+01
-1.649461914062500000e+03,1.900000000000000000e+01
-1.520834960937500000e+03,2.200000000000000000e+01
-1.392208007812500000e+03,2.800000000000000000e+01
-1.263581542968750000e+03,3.500000000000000000e+01
-1.134954589843750000e+03,3.000000000000000000e+01
-1.006327636718750000e+03,2.500000000000000000e+01
-8.777011718750000000e+02,2.700000000000000000e+01
-7.490742187500000000e+02,3.100000000000000000e+01
-6.204472656250000000e+02,2.500000000000000000e+01
-4.918208007812500000e+02,2.300000000000000000e+01
-3.631938476562500000e+02,3.300000000000000000e+01
-2.345668945312500000e+02,3.000000000000000000e+01
-1.059404296875000000e+02,3.300000000000000000e+01
2.268652343750000000e+01,3.100000000000000000e+01
1.513129882812500000e+02,3.100000000000000000e+01
2.799399414062500000e+02,3.400000000000000000e+01
4.085668945312500000e+02,2.300000000000000000e+01
5.371933593750000000e+02,1.700000000000000000e+01
6.658203125000000000e+02,3.500000000000000000e+01
7.944472656250000000e+02,3.400000000000000000e+01
9.230737304687500000e+02,2.700000000000000000e+01
1.051700683593750000e+03,3.200000000000000000e+01
1.180327636718750000e+03,2.500000000000000000e+01
1.308954101562500000e+03,3.000000000000000000e+01
1.437581054687500000e+03,2.500000000000000000e+01
1.566208007812500000e+03,2.700000000000000000e+01
1.694834472656250000e+03,2.900000000000000000e+01
1.823461425781250000e+03,3.900000000000000000e+01
1.952088378906250000e+03,2.500000000000000000e+01
2.080715332031250000e+03,3.500000000000000000e+01
2.209341308593750000e+03,2.200000000000000000e+01
2.337968261718750000e+03,3.500000000000000000e+01
2.466595214843750000e+03,2.700000000000000000e+01
2.595222167968750000e+03,3.400000000000000000e+01
2.723849121093750000e+03,3.300000000000000000e+01
2.852476074218750000e+03,2.400000000000000000e+01
2.981102050781250000e+03,1.300000000000000000e+01
3.109729003906250000e+03,3.100000000000000000e+01
3.238355957031250000e+03,3.000000000000000000e+01
3.366982910156250000e+03,2.200000000000000000e+01
3.495609863281250000e+03,2.700000000000000000e+01
3.624236816406250000e+03,2.200000000000000000e+01
3.752862792968750000e+03,2.400000000000000000e+01
3.881489746093750000e+03,2.800000000000000000e+01
4.010116699218750000e+03,2.200000000000000000e+01
4.138743652343750000e+03,3.100000000000000000e+01
4.267370605468750000e+03,1.300000000000000000e+01
4.395997558593750000e+03,1.700000000000000000e+01
4.524623535156250000e+03,2.700000000000000000e+01
4.653250488281250000e+03,1.900000000000000000e+01
4.781877441406250000e+03,2.300000000000000000e+01
4.910504394531250000e+03,1.700000000000000000e+01
5.039131347656250000e+03,1.800000000000000000e+01
5.167758300781250000e+03,2.400000000000000000e+01
5.296384277343750000e+03,2.300000000000000000e+01
5.425011230468750000e+03,1.700000000000000000e+01
5.553638183593750000e+03,2.500000000000000000e+01
5.682265136718750000e+03,2.100000000000000000e+01
5.810892089843750000e+03,1.700000000000000000e+01
5.939519042968750000e+03,3.000000000000000000e+00
6.068145019531250000e+03,0.000000000000000000e+00
6.196771972656250000e+03,0.000000000000000000e+00
6.325398925781250000e+03,0.000000000000000000e+00
