X [$\mu$m],Mean
-1.547611035156250000e+04,0.000000000000000000e+00
-1.517086230468750000e+04,0.000000000000000000e+00
-1.486561425781250000e+04,0.000000000000000000e+00
-1.456036523437500000e+04,0.000000000000000000e+00
-1.425511718750000000e+04,0.000000000000000000e+00
-1.394986914062500000e+04,0.000000000000000000e+00
-1.364462109375000000e+04,0.000000000000000000e+00
-1.333937304687500000e+04,0.000000000000000000e+00
-1.303412500000000000e+04,0.000000000000000000e+00
-1.272887695312500000e+04,0.000000000000000000e+00
-1.242362890625000000e+04,0.000000000000000000e+00
-1.211837988281250000e+04,0.000000000000000000e+00
-1.181313183593750000e+04,0.000000000000000000e+00
-1.150788378906250000e+04,0.000000000000000000e+00
-1.120263574218750000e+04,0.000000000000000000e+00
-1.089738671875000000e+04,0.000000000000000000e+00
-1.059213867187500000e+04,0.000000000000000000e+00
-1.028689062500000000e+04,0.000000000000000000e+00
-9.981642578125000000e+03,0.000000000000000000e+00
-9.676394531250000000e+03,0.000000000000000000e+00
-9.371146484375000000e+03,0.000000000000000000e+00
-9.065898437500000000e+03,3.000000000000000000e+00
-8.760650390625000000e+03,0.000000000000000000e+00
-8.455402343750000000e+03,3.000000000000000000e+00
-8.150153320312500000e+03,1.000000000000000000e+00
-7.844905273437500000e+03,2.000000000000000000e+00
-7.539657226562500000e+03,1.000000000000000000e+00
-7.234409179687500000e+03,3.000000000000000000e+00
-6.929161132812500000e+03,2.000000000000000000e+00
-6.623912109375000000e+03,2.000000000000000000e+00
-6.318664062500000000e+03,2.000000000000000000e+00
-6.013416015625000000e+03,4.000000000000000000e+00
-5.708167968750000000e+03,6.000000000000000000e+00
-5.402919921875000000e+03,7.000000000000000000e+00
-5.097671875000000000e+03,1.200000000000000000e+01
-4.792423828125000000e+03,8.000000000000000000e+00
-4.487174804687500000e+03,5.000000000000000000e+00
-4.181926757812500000e+03,1.100000000000000000e+01
-3.876678710937500000e+03,9.000000000000000000e+00
-3.571430664062500000e+03,1.700000000000000000e+01
-3.266182617187500000e+03,1.600000000000000000e+01
-2.960934570312500000e+03,1.300000000000000000e+01
-2.655685546875000000e+03,1.400000000000000000e+01
-2.350437500000000000e+03,1.200000000000000000e+01
-2.045189453125000000e+03,1.200000000000000000e+01
-1.739941406250000000e+03,2.600000000000000000e+01
-1.434693359375000000e+03,1.700000000000000000e+01
-1.129445312500000000e+03,2.700000000000000000e+01
-8.241962890625000000e+02,2.400000000000000000e+01
-5.189482421875000000e+02,2.800000000000000000e+01
-2.137001953125000000e+02,1.400000000000000000e+01
9.154785156250000000e+01,1.400000000000000000e+01
3.967958984375000000e+02,1.900000000000000000e+01
7.020439453125000000e+02,3.200000000000000000e+01
1.007291992187500000e+03,2.100000000000000000e+01
1.312540039062500000e+03,1.900000000000000000e+01
1.617788085937500000e+03,1.400000000000000000e+01
1.923036132812500000e+03,9.000000000000000000e+00
2.228286132812500000e+03,1.900000000000000000e+01
2.533534179687500000e+03,1.800000000000000000e+01
2.838782226562500000e+03,2.000000000000000000e+01
3.144030273437500000e+03,1.100000000000000000e+01
3.449278320312500000e+03,1.400000000000000000e+01
3.754526367187500000e+03,9.000000000000000000e+00
4.059774414062500000e+03,1.000000000000000000e+01
4.365022460937500000e+03,4.000000000000000000e+00
4.670270507812500000e+03,9.000000000000000000e+00
4.975518554687500000e+03,1.100000000000000000e+01
5.280766601562500000e+03,7.000000000000000000e+00
5.586014648437500000e+03,5.000000000000000000e+00
5.891262695312500000e+03,1.000000000000000000e+00
6.196512695312500000e+03,6.000000000000000000e+00
6.501760742187500000e+03,8.000000000000000000e+00
6.807008789062500000e+03,0.000000000000000000e+00
7.112256835937500000e+03,5.000000000000000000e+00
7.417504882812500000e+03,1.000000000000000000e+00
7.722752929687500000e+03,3.000000000000000000e+00
8.028000976562500000e+03,1.000000000000000000e+00
8.333249023437500000e+03,2.000000000000000000e+00
8.638497070312500000e+03,0.000000000000000000e+00
8.943745117187500000e+03,1.000000000000000000e+00
9.248993164062500000e+03,3.000000000000000000e+00
9.554241210937500000e+03,1.000000000000000000e+00
9.859489257812500000e+03,0.000000000000000000e+00
1.016473925781250000e+04,0.000000000000000000e+00
1.046998730468750000e+04,0.000000000000000000e+00
1.077523535156250000e+04,0.000000000000000000e+00
1.108048339843750000e+04,0.000000000000000000e+00
1.138573144531250000e+04,0.000000000000000000e+00
1.169097949218750000e+04,0.000000000000000000e+00
1.199622753906250000e+04,0.000000000000000000e+00
1.230147558593750000e+04,0.000000000000000000e+00
1.260672363281250000e+04,0.000000000000000000e+00
1.291197167968750000e+04,0.000000000000000000e+00
1.321721972656250000e+04,0.000000000000000000e+00
1.352246777343750000e+04,0.000000000000000000e+00
1.382771777343750000e+04,0.000000000000000000e+00
1.413296582031250000e+04,0.000000000000000000e+00
1.443821386718750000e+04,0.000000000000000000e+00
1.474346191406250000e+04,0.000000000000000000e+00
