Z [$\mu$m],Mean
-8.389737304687500000e+03,0.000000000000000000e+00
-8.221404296875000000e+03,0.000000000000000000e+00
-8.053071289062500000e+03,0.000000000000000000e+00
-7.884738281250000000e+03,5.000000000000000000e+00
-7.716405273437500000e+03,2.000000000000000000e+00
-7.548072265625000000e+03,8.000000000000000000e+00
-7.379739257812500000e+03,9.000000000000000000e+00
-7.211406250000000000e+03,8.000000000000000000e+00
-7.043073242187500000e+03,9.000000000000000000e+00
-6.874740234375000000e+03,1.300000000000000000e+01
-6.706407226562500000e+03,5.000000000000000000e+00
-6.538073730468750000e+03,3.000000000000000000e+00
-6.369740722656250000e+03,7.000000000000000000e+00
-6.201407714843750000e+03,1.100000000000000000e+01
-6.033074707031250000e+03,1.100000000000000000e+01
-5.864741699218750000e+03,1.000000000000000000e+01
-5.696408691406250000e+03,1.000000000000000000e+01
-5.528075683593750000e+03,7.000000000000000000e+00
-5.359742675781250000e+03,1.400000000000000000e+01
-5.191409667968750000e+03,1.600000000000000000e+01
-5.023076660156250000e+03,1.700000000000000000e+01
-4.854743164062500000e+03,1.500000000000000000e+01
-4.686410156250000000e+03,1.700000000000000000e+01
-4.518077148437500000e+03,1.300000000000000000e+01
-4.349744140625000000e+03,1.600000000000000000e+01
-4.181411132812500000e+03,1.700000000000000000e+01
-4.013078125000000000e+03,2.800000000000000000e+01
-3.844745117187500000e+03,2.200000000000000000e+01
-3.676412109375000000e+03,2.500000000000000000e+01
-3.508079101562500000e+03,1.600000000000000000e+01
-3.339746093750000000e+03,8.000000000000000000e+00
-3.171413085937500000e+03,2.200000000000000000e+01
-3.003080078125000000e+03,1.600000000000000000e+01
-2.834747070312500000e+03,2.600000000000000000e+01
-2.666414062500000000e+03,2.400000000000000000e+01
-2.498081054687500000e+03,2.300000000000000000e+01
-2.329748046875000000e+03,2.800000000000000000e+01
-2.161415039062500000e+03,2.000000000000000000e+01
-1.993082031250000000e+03,1.800000000000000000e+01
-1.824749023437500000e+03,2.200000000000000000e+01
-1.656416015625000000e+03,2.400000000000000000e+01
-1.488082519531250000e+03,2.400000000000000000e+01
-1.319749511718750000e+03,1.800000000000000000e+01
-1.151416503906250000e+03,2.500000000000000000e+01
-9.830834960937500000e+02,2.200000000000000000e+01
-8.147504882812500000e+02,2.100000000000000000e+01
-6.464174804687500000e+02,2.400000000000000000e+01
-4.780844726562500000e+02,2.400000000000000000e+01
-3.097514648437500000e+02,1.400000000000000000e+01
-1.414179687500000000e+02,2.500000000000000000e+01
2.691503906250000000e+01,1.900000000000000000e+01
1.952480468750000000e+02,2.300000000000000000e+01
3.635810546875000000e+02,1.600000000000000000e+01
5.319140625000000000e+02,2.400000000000000000e+01
7.002470703125000000e+02,2.200000000000000000e+01
8.685800781250000000e+02,2.300000000000000000e+01
1.036913085937500000e+03,3.000000000000000000e+01
1.205246093750000000e+03,1.800000000000000000e+01
1.373579101562500000e+03,2.000000000000000000e+01
1.541912109375000000e+03,1.700000000000000000e+01
1.710245117187500000e+03,2.200000000000000000e+01
1.878578125000000000e+03,2.000000000000000000e+01
2.046911132812500000e+03,2.200000000000000000e+01
2.215244140625000000e+03,1.100000000000000000e+01
2.383577148437500000e+03,1.700000000000000000e+01
2.551910156250000000e+03,1.600000000000000000e+01
2.720243164062500000e+03,1.700000000000000000e+01
2.888576171875000000e+03,1.600000000000000000e+01
3.056909179687500000e+03,1.800000000000000000e+01
3.225242187500000000e+03,2.200000000000000000e+01
3.393575195312500000e+03,2.700000000000000000e+01
3.561908203125000000e+03,2.100000000000000000e+01
3.730241210937500000e+03,1.600000000000000000e+01
3.898574218750000000e+03,2.000000000000000000e+01
4.066907226562500000e+03,1.400000000000000000e+01
4.235240234375000000e+03,1.300000000000000000e+01
4.403573242187500000e+03,1.300000000000000000e+01
4.571906250000000000e+03,1.000000000000000000e+01
4.740239257812500000e+03,8.000000000000000000e+00
4.908572265625000000e+03,1.300000000000000000e+01
5.076905273437500000e+03,8.000000000000000000e+00
5.245239257812500000e+03,1.300000000000000000e+01
5.413572265625000000e+03,1.200000000000000000e+01
5.581905273437500000e+03,9.000000000000000000e+00
5.750238281250000000e+03,1.400000000000000000e+01
5.918571289062500000e+03,8.000000000000000000e+00
6.086904296875000000e+03,1.700000000000000000e+01
6.255237304687500000e+03,7.000000000000000000e+00
6.423570312500000000e+03,1.000000000000000000e+01
6.591903320312500000e+03,7.000000000000000000e+00
6.760236328125000000e+03,4.000000000000000000e+00
6.928569335937500000e+03,1.300000000000000000e+01
7.096902343750000000e+03,5.000000000000000000e+00
7.265235351562500000e+03,1.000000000000000000e+01
7.433568359375000000e+03,7.000000000000000000e+00
7.601901367187500000e+03,5.000000000000000000e+00
7.770234375000000000e+03,2.000000000000000000e+00
7.938567382812500000e+03,0.000000000000000000e+00
8.106901367187500000e+03,0.000000000000000000e+00
8.275233398437500000e+03,0.000000000000000000e+00
