Y,Y
-3.166922851562500000e+03,0.000000000000000000e+00
-3.103601562500000000e+03,0.000000000000000000e+00
-3.040280029296875000e+03,1.000000000000000000e+00
-2.976958740234375000e+03,2.600000000000000000e+01
-2.913637451171875000e+03,2.200000000000000000e+01
-2.850315917968750000e+03,2.400000000000000000e+01
-2.786994628906250000e+03,2.500000000000000000e+01
-2.723673339843750000e+03,3.200000000000000000e+01
-2.660351806640625000e+03,2.800000000000000000e+01
-2.597030517578125000e+03,3.500000000000000000e+01
-2.533709228515625000e+03,3.800000000000000000e+01
-2.470387695312500000e+03,4.300000000000000000e+01
-2.407066406250000000e+03,3.600000000000000000e+01
-2.343745117187500000e+03,3.600000000000000000e+01
-2.280423828125000000e+03,4.200000000000000000e+01
-2.217102294921875000e+03,4.700000000000000000e+01
-2.153781005859375000e+03,5.200000000000000000e+01
-2.090459472656250000e+03,4.500000000000000000e+01
-2.027138183593750000e+03,4.700000000000000000e+01
-1.963816894531250000e+03,5.000000000000000000e+01
-1.900495483398437500e+03,6.100000000000000000e+01
-1.837174072265625000e+03,6.600000000000000000e+01
-1.773852783203125000e+03,6.200000000000000000e+01
-1.710531372070312500e+03,7.000000000000000000e+01
-1.647209960937500000e+03,6.000000000000000000e+01
-1.583888671875000000e+03,7.400000000000000000e+01
-1.520567260742187500e+03,9.600000000000000000e+01
-1.457245849609375000e+03,8.200000000000000000e+01
-1.393924560546875000e+03,9.100000000000000000e+01
-1.330603149414062500e+03,1.100000000000000000e+02
-1.267281738281250000e+03,9.600000000000000000e+01
-1.203960449218750000e+03,9.100000000000000000e+01
-1.140639038085937500e+03,1.010000000000000000e+02
-1.077317626953125000e+03,1.250000000000000000e+02
-1.013996337890625000e+03,1.060000000000000000e+02
-9.506750488281250000e+02,1.190000000000000000e+02
-8.873535156250000000e+02,1.040000000000000000e+02
-8.240322265625000000e+02,1.180000000000000000e+02
-7.607109375000000000e+02,1.130000000000000000e+02
-6.973894042968750000e+02,1.210000000000000000e+02
-6.340681152343750000e+02,1.550000000000000000e+02
-5.707468261718750000e+02,1.380000000000000000e+02
-5.074252929687500000e+02,1.350000000000000000e+02
-4.441040039062500000e+02,1.460000000000000000e+02
-3.807827148437500000e+02,1.380000000000000000e+02
-3.174611816406250000e+02,1.220000000000000000e+02
-2.541398925781250000e+02,1.290000000000000000e+02
-1.908186035156250000e+02,1.410000000000000000e+02
-1.274970703125000000e+02,1.470000000000000000e+02
-6.417578125000000000e+01,1.480000000000000000e+02
-8.544921875000000000e-01,1.360000000000000000e+02
6.246704101562500000e+01,1.460000000000000000e+02
1.257883300781250000e+02,1.550000000000000000e+02
1.891096191406250000e+02,1.500000000000000000e+02
2.524311523437500000e+02,1.820000000000000000e+02
3.157524414062500000e+02,1.510000000000000000e+02
3.790737304687500000e+02,1.620000000000000000e+02
4.423952636718750000e+02,1.430000000000000000e+02
5.057165527343750000e+02,1.480000000000000000e+02
5.690378417968750000e+02,1.480000000000000000e+02
6.323593750000000000e+02,1.400000000000000000e+02
6.956806640625000000e+02,1.140000000000000000e+02
7.590019531250000000e+02,1.010000000000000000e+02
8.223234863281250000e+02,1.140000000000000000e+02
8.856447753906250000e+02,1.100000000000000000e+02
9.489663085937500000e+02,1.250000000000000000e+02
1.012287597656250000e+03,1.100000000000000000e+02
1.075608886718750000e+03,1.040000000000000000e+02
1.138930175781250000e+03,1.060000000000000000e+02
1.202251464843750000e+03,1.010000000000000000e+02
1.265572753906250000e+03,9.100000000000000000e+01
1.328894531250000000e+03,7.900000000000000000e+01
1.392215820312500000e+03,8.500000000000000000e+01
1.455537109375000000e+03,7.400000000000000000e+01
1.518858398437500000e+03,9.200000000000000000e+01
1.582179687500000000e+03,8.100000000000000000e+01
1.645500976562500000e+03,7.000000000000000000e+01
1.708822753906250000e+03,5.300000000000000000e+01
1.772144042968750000e+03,7.200000000000000000e+01
1.835465332031250000e+03,6.100000000000000000e+01
1.898786621093750000e+03,6.300000000000000000e+01
1.962107910156250000e+03,5.500000000000000000e+01
2.025429199218750000e+03,4.200000000000000000e+01
2.088750976562500000e+03,6.100000000000000000e+01
2.152072265625000000e+03,3.800000000000000000e+01
2.215393554687500000e+03,3.600000000000000000e+01
2.278714843750000000e+03,3.300000000000000000e+01
2.342036132812500000e+03,3.300000000000000000e+01
2.405357421875000000e+03,3.500000000000000000e+01
2.468679199218750000e+03,3.400000000000000000e+01
2.532000488281250000e+03,4.100000000000000000e+01
2.595321777343750000e+03,2.200000000000000000e+01
2.658643066406250000e+03,2.400000000000000000e+01
2.721964355468750000e+03,2.500000000000000000e+01
2.785285644531250000e+03,2.600000000000000000e+01
2.848607421875000000e+03,2.000000000000000000e+01
2.911928710937500000e+03,1.600000000000000000e+01
2.975250000000000000e+03,2.000000000000000000e+00
3.038571289062500000e+03,0.000000000000000000e+00
3.101892578125000000e+03,0.000000000000000000e+00
