X,Y
-3.884903808593750000e+03,0.000000000000000000e+00
-3.807206298828125000e+03,0.000000000000000000e+00
-3.729509033203125000e+03,6.000000000000000000e+00
-3.651811523437500000e+03,1.500000000000000000e+01
-3.574114013671875000e+03,9.000000000000000000e+00
-3.496416503906250000e+03,1.900000000000000000e+01
-3.418719238281250000e+03,1.600000000000000000e+01
-3.341021728515625000e+03,2.000000000000000000e+01
-3.263324218750000000e+03,2.400000000000000000e+01
-3.185626953125000000e+03,1.700000000000000000e+01
-3.107929443359375000e+03,1.600000000000000000e+01
-3.030231933593750000e+03,1.500000000000000000e+01
-2.952534667968750000e+03,2.800000000000000000e+01
-2.874837158203125000e+03,1.000000000000000000e+01
-2.797139648437500000e+03,1.800000000000000000e+01
-2.719442138671875000e+03,1.700000000000000000e+01
-2.641744628906250000e+03,1.300000000000000000e+01
-2.564047363281250000e+03,1.200000000000000000e+01
-2.486349853515625000e+03,1.700000000000000000e+01
-2.408652343750000000e+03,1.400000000000000000e+01
-2.330955078125000000e+03,1.400000000000000000e+01
-2.253257568359375000e+03,1.200000000000000000e+01
-2.175560058593750000e+03,1.300000000000000000e+01
-2.097862792968750000e+03,1.000000000000000000e+01
-2.020165283203125000e+03,1.400000000000000000e+01
-1.942467773437500000e+03,1.200000000000000000e+01
-1.864770385742187500e+03,1.300000000000000000e+01
-1.787072998046875000e+03,7.000000000000000000e+00
-1.709375488281250000e+03,1.700000000000000000e+01
-1.631677978515625000e+03,2.500000000000000000e+01
-1.553980468750000000e+03,1.200000000000000000e+01
-1.476283203125000000e+03,1.700000000000000000e+01
-1.398585693359375000e+03,1.400000000000000000e+01
-1.320888183593750000e+03,2.100000000000000000e+01
-1.243190917968750000e+03,1.300000000000000000e+01
-1.165493408203125000e+03,2.100000000000000000e+01
-1.087795898437500000e+03,1.900000000000000000e+01
-1.010098388671875000e+03,1.400000000000000000e+01
-9.324011230468750000e+02,1.700000000000000000e+01
-8.547036132812500000e+02,1.700000000000000000e+01
-7.770061035156250000e+02,1.400000000000000000e+01
-6.993088378906250000e+02,1.700000000000000000e+01
-6.216113281250000000e+02,1.700000000000000000e+01
-5.439138183593750000e+02,1.700000000000000000e+01
-4.662163085937500000e+02,2.000000000000000000e+01
-3.885190429687500000e+02,1.700000000000000000e+01
-3.108215332031250000e+02,1.300000000000000000e+01
-2.331240234375000000e+02,1.400000000000000000e+01
-1.554267578125000000e+02,1.500000000000000000e+01
-7.772924804687500000e+01,2.200000000000000000e+01
-3.173828125000000000e-02,1.900000000000000000e+01
7.766577148437500000e+01,1.700000000000000000e+01
1.553630371093750000e+02,2.200000000000000000e+01
2.330605468750000000e+02,1.700000000000000000e+01
3.107578125000000000e+02,1.500000000000000000e+01
3.884555664062500000e+02,1.600000000000000000e+01
4.661528320312500000e+02,2.100000000000000000e+01
5.438500976562500000e+02,1.600000000000000000e+01
6.215478515625000000e+02,1.500000000000000000e+01
6.992451171875000000e+02,2.100000000000000000e+01
7.769428710937500000e+02,1.600000000000000000e+01
8.546401367187500000e+02,1.600000000000000000e+01
9.323374023437500000e+02,2.100000000000000000e+01
1.010035156250000000e+03,1.400000000000000000e+01
1.087732421875000000e+03,2.000000000000000000e+01
1.165429687500000000e+03,2.000000000000000000e+01
1.243127441406250000e+03,1.900000000000000000e+01
1.320824707031250000e+03,1.800000000000000000e+01
1.398521972656250000e+03,1.600000000000000000e+01
1.476219726562500000e+03,1.500000000000000000e+01
1.553916992187500000e+03,1.300000000000000000e+01
1.631614746093750000e+03,2.600000000000000000e+01
1.709312011718750000e+03,1.600000000000000000e+01
1.787009277343750000e+03,1.800000000000000000e+01
1.864707031250000000e+03,1.800000000000000000e+01
1.942404296875000000e+03,2.100000000000000000e+01
2.020101562500000000e+03,2.300000000000000000e+01
2.097799316406250000e+03,1.900000000000000000e+01
2.175496582031250000e+03,1.600000000000000000e+01
2.253193847656250000e+03,1.300000000000000000e+01
2.330891601562500000e+03,1.300000000000000000e+01
2.408588867187500000e+03,1.900000000000000000e+01
2.486286132812500000e+03,1.400000000000000000e+01
2.563983886718750000e+03,2.000000000000000000e+01
2.641681152343750000e+03,2.000000000000000000e+01
2.719378906250000000e+03,2.300000000000000000e+01
2.797076171875000000e+03,2.100000000000000000e+01
2.874773437500000000e+03,1.000000000000000000e+01
2.952471191406250000e+03,1.600000000000000000e+01
3.030168457031250000e+03,9.000000000000000000e+00
3.107865722656250000e+03,1.600000000000000000e+01
3.185563476562500000e+03,2.100000000000000000e+01
3.263260742187500000e+03,1.100000000000000000e+01
3.340958007812500000e+03,5.000000000000000000e+00
3.418655761718750000e+03,2.000000000000000000e+01
3.496353027343750000e+03,1.900000000000000000e+01
3.574050292968750000e+03,1.500000000000000000e+01
3.651748046875000000e+03,1.100000000000000000e+01
3.729445312500000000e+03,0.000000000000000000e+00
3.807143066406250000e+03,0.000000000000000000e+00
