Y,Y
-1.417437866210937500e+03,0.000000000000000000e+00
-1.389088867187500000e+03,0.000000000000000000e+00
-1.360739746093750000e+03,4.000000000000000000e+00
-1.332390747070312500e+03,1.100000000000000000e+01
-1.304041748046875000e+03,2.000000000000000000e+01
-1.275692749023437500e+03,7.000000000000000000e+00
-1.247343750000000000e+03,1.000000000000000000e+01
-1.218994628906250000e+03,7.000000000000000000e+00
-1.190645629882812500e+03,8.000000000000000000e+00
-1.162296630859375000e+03,1.000000000000000000e+01
-1.133947509765625000e+03,1.000000000000000000e+01
-1.105598510742187500e+03,1.600000000000000000e+01
-1.077249511718750000e+03,1.400000000000000000e+01
-1.048900512695312500e+03,1.200000000000000000e+01
-1.020551452636718750e+03,9.000000000000000000e+00
-9.922023925781250000e+02,9.000000000000000000e+00
-9.638533935546875000e+02,1.500000000000000000e+01
-9.355043945312500000e+02,1.200000000000000000e+01
-9.071553344726562500e+02,1.500000000000000000e+01
-8.788062744140625000e+02,1.700000000000000000e+01
-8.504572753906250000e+02,1.100000000000000000e+01
-8.221082763671875000e+02,1.000000000000000000e+01
-7.937592163085937500e+02,1.800000000000000000e+01
-7.654101562500000000e+02,1.200000000000000000e+01
-7.370611572265625000e+02,1.100000000000000000e+01
-7.087121582031250000e+02,1.500000000000000000e+01
-6.803630981445312500e+02,1.000000000000000000e+01
-6.520140380859375000e+02,2.300000000000000000e+01
-6.236650390625000000e+02,1.900000000000000000e+01
-5.953160400390625000e+02,1.800000000000000000e+01
-5.669669799804687500e+02,1.200000000000000000e+01
-5.386179199218750000e+02,1.500000000000000000e+01
-5.102689208984375000e+02,1.600000000000000000e+01
-4.819199218750000000e+02,1.800000000000000000e+01
-4.535708618164062500e+02,1.700000000000000000e+01
-4.252218017578125000e+02,1.800000000000000000e+01
-3.968728027343750000e+02,1.200000000000000000e+01
-3.685238037109375000e+02,2.200000000000000000e+01
-3.401746826171875000e+02,1.400000000000000000e+01
-3.118256835937500000e+02,1.600000000000000000e+01
-2.834766845703125000e+02,1.100000000000000000e+01
-2.551276855468750000e+02,9.000000000000000000e+00
-2.267786865234375000e+02,2.100000000000000000e+01
-1.984295654296875000e+02,2.500000000000000000e+01
-1.700805664062500000e+02,2.000000000000000000e+01
-1.417315673828125000e+02,2.000000000000000000e+01
-1.133824462890625000e+02,1.700000000000000000e+01
-8.503344726562500000e+01,2.100000000000000000e+01
-5.668444824218750000e+01,1.700000000000000000e+01
-2.833544921875000000e+01,1.400000000000000000e+01
1.354980468750000000e-02,1.700000000000000000e+01
2.836267089843750000e+01,1.300000000000000000e+01
5.671166992187500000e+01,1.600000000000000000e+01
8.506066894531250000e+01,1.800000000000000000e+01
1.134097900390625000e+02,1.700000000000000000e+01
1.417587890625000000e+02,1.500000000000000000e+01
1.701077880859375000e+02,1.600000000000000000e+01
1.984567871093750000e+02,1.900000000000000000e+01
2.268057861328125000e+02,1.400000000000000000e+01
2.551549072265625000e+02,2.200000000000000000e+01
2.835039062500000000e+02,1.700000000000000000e+01
3.118529052734375000e+02,1.600000000000000000e+01
3.402020263671875000e+02,2.300000000000000000e+01
3.685510253906250000e+02,2.100000000000000000e+01
3.969000244140625000e+02,2.100000000000000000e+01
4.252490234375000000e+02,1.700000000000000000e+01
4.535980224609375000e+02,1.700000000000000000e+01
4.819471435546875000e+02,1.800000000000000000e+01
5.102961425781250000e+02,1.600000000000000000e+01
5.386451416015625000e+02,1.900000000000000000e+01
5.669942626953125000e+02,2.000000000000000000e+01
5.953432617187500000e+02,1.500000000000000000e+01
6.236922607421875000e+02,1.600000000000000000e+01
6.520413818359375000e+02,2.600000000000000000e+01
6.803902587890625000e+02,1.100000000000000000e+01
7.087393798828125000e+02,1.600000000000000000e+01
7.370885009765625000e+02,1.400000000000000000e+01
7.654373779296875000e+02,1.200000000000000000e+01
7.937864990234375000e+02,1.500000000000000000e+01
8.221353759765625000e+02,1.800000000000000000e+01
8.504844970703125000e+02,1.000000000000000000e+01
8.788336181640625000e+02,1.200000000000000000e+01
9.071824951171875000e+02,1.700000000000000000e+01
9.355316162109375000e+02,1.900000000000000000e+01
9.638804931640625000e+02,1.100000000000000000e+01
9.922296142578125000e+02,1.100000000000000000e+01
1.020578735351562500e+03,8.000000000000000000e+00
1.048927612304687500e+03,1.800000000000000000e+01
1.077276733398437500e+03,1.400000000000000000e+01
1.105625854492187500e+03,1.100000000000000000e+01
1.133974731445312500e+03,1.300000000000000000e+01
1.162323852539062500e+03,1.300000000000000000e+01
1.190672973632812500e+03,1.200000000000000000e+01
1.219021850585937500e+03,1.100000000000000000e+01
1.247370971679687500e+03,1.800000000000000000e+01
1.275719848632812500e+03,9.000000000000000000e+00
1.304068969726562500e+03,1.100000000000000000e+01
1.332418090820312500e+03,4.000000000000000000e+00
1.360766967773437500e+03,0.000000000000000000e+00
1.389116088867187500e+03,0.000000000000000000e+00
