X,Y
-4.216783593750000000e+04,0.000000000000000000e+00
-4.136375000000000000e+04,0.000000000000000000e+00
-4.055966796875000000e+04,0.000000000000000000e+00
-3.975558203125000000e+04,0.000000000000000000e+00
-3.895149609375000000e+04,0.000000000000000000e+00
-3.814741406250000000e+04,0.000000000000000000e+00
-3.734332812500000000e+04,0.000000000000000000e+00
-3.653924218750000000e+04,0.000000000000000000e+00
-3.573516015625000000e+04,1.000000000000000000e+00
-3.493107421875000000e+04,0.000000000000000000e+00
-3.412699218750000000e+04,0.000000000000000000e+00
-3.332290625000000000e+04,0.000000000000000000e+00
-3.251882031250000000e+04,0.000000000000000000e+00
-3.171473828125000000e+04,0.000000000000000000e+00
-3.091065234375000000e+04,1.000000000000000000e+00
-3.010656835937500000e+04,2.000000000000000000e+00
-2.930248437500000000e+04,0.000000000000000000e+00
-2.849839843750000000e+04,3.000000000000000000e+00
-2.769431445312500000e+04,8.000000000000000000e+00
-2.689023046875000000e+04,7.000000000000000000e+00
-2.608614453125000000e+04,1.200000000000000000e+01
-2.528206054687500000e+04,8.000000000000000000e+00
-2.447797656250000000e+04,1.300000000000000000e+01
-2.367389257812500000e+04,1.600000000000000000e+01
-2.286980664062500000e+04,1.000000000000000000e+01
-2.206572265625000000e+04,1.500000000000000000e+01
-2.126163867187500000e+04,1.800000000000000000e+01
-2.045755273437500000e+04,2.100000000000000000e+01
-1.965346875000000000e+04,2.500000000000000000e+01
-1.884938476562500000e+04,2.700000000000000000e+01
-1.804530078125000000e+04,2.500000000000000000e+01
-1.724121484375000000e+04,2.400000000000000000e+01
-1.643713085937500000e+04,2.300000000000000000e+01
-1.563304687500000000e+04,3.000000000000000000e+01
-1.482896093750000000e+04,3.200000000000000000e+01
-1.402487695312500000e+04,3.400000000000000000e+01
-1.322079296875000000e+04,3.500000000000000000e+01
-1.241670898437500000e+04,2.900000000000000000e+01
-1.161262304687500000e+04,3.000000000000000000e+01
-1.080853906250000000e+04,3.200000000000000000e+01
-1.000445507812500000e+04,2.800000000000000000e+01
-9.200371093750000000e+03,3.100000000000000000e+01
-8.396285156250000000e+03,2.800000000000000000e+01
-7.592199218750000000e+03,2.900000000000000000e+01
-6.788117187500000000e+03,2.900000000000000000e+01
-5.984031250000000000e+03,2.800000000000000000e+01
-5.179949218750000000e+03,3.800000000000000000e+01
-4.375863281250000000e+03,2.800000000000000000e+01
-3.571777343750000000e+03,3.300000000000000000e+01
-2.767695312500000000e+03,2.300000000000000000e+01
-1.963609375000000000e+03,2.900000000000000000e+01
-1.159523437500000000e+03,3.300000000000000000e+01
-3.554414062500000000e+02,3.800000000000000000e+01
4.486445312500000000e+02,2.500000000000000000e+01
1.252730468750000000e+03,3.000000000000000000e+01
2.056812500000000000e+03,3.200000000000000000e+01
2.860898437500000000e+03,2.600000000000000000e+01
3.664984375000000000e+03,2.700000000000000000e+01
4.469066406250000000e+03,2.100000000000000000e+01
5.273152343750000000e+03,3.100000000000000000e+01
6.077234375000000000e+03,2.100000000000000000e+01
6.881320312500000000e+03,2.900000000000000000e+01
7.685406250000000000e+03,2.600000000000000000e+01
8.489488281250000000e+03,2.700000000000000000e+01
9.293574218750000000e+03,2.200000000000000000e+01
1.009766015625000000e+04,3.900000000000000000e+01
1.090174218750000000e+04,2.600000000000000000e+01
1.170582812500000000e+04,3.000000000000000000e+01
1.250991406250000000e+04,3.500000000000000000e+01
1.331399609375000000e+04,3.100000000000000000e+01
1.411808203125000000e+04,2.600000000000000000e+01
1.492216406250000000e+04,3.400000000000000000e+01
1.572625000000000000e+04,2.100000000000000000e+01
1.653033593750000000e+04,3.500000000000000000e+01
1.733441796875000000e+04,2.000000000000000000e+01
1.813850390625000000e+04,2.300000000000000000e+01
1.894258984375000000e+04,2.900000000000000000e+01
1.974667187500000000e+04,2.400000000000000000e+01
2.055075781250000000e+04,2.000000000000000000e+01
2.135484375000000000e+04,1.900000000000000000e+01
2.215892578125000000e+04,1.400000000000000000e+01
2.296301171875000000e+04,1.200000000000000000e+01
2.376709375000000000e+04,1.400000000000000000e+01
2.457117968750000000e+04,1.000000000000000000e+01
2.537526562500000000e+04,4.000000000000000000e+00
2.617935156250000000e+04,1.000000000000000000e+01
2.698343750000000000e+04,1.000000000000000000e+00
2.778751562500000000e+04,5.000000000000000000e+00
2.859160156250000000e+04,3.000000000000000000e+00
2.939568750000000000e+04,1.000000000000000000e+00
3.019977343750000000e+04,0.000000000000000000e+00
3.100385937500000000e+04,0.000000000000000000e+00
3.180793750000000000e+04,0.000000000000000000e+00
3.261202343750000000e+04,0.000000000000000000e+00
3.341610937500000000e+04,0.000000000000000000e+00
3.422019531250000000e+04,0.000000000000000000e+00
3.502428125000000000e+04,0.000000000000000000e+00
3.582836718750000000e+04,0.000000000000000000e+00
3.663244531250000000e+04,0.000000000000000000e+00
3.743653125000000000e+04,0.000000000000000000e+00
