Y,Y
-8.863046875000000000e+03,0.000000000000000000e+00
-8.685719726562500000e+03,0.000000000000000000e+00
-8.508392578125000000e+03,0.000000000000000000e+00
-8.331065429687500000e+03,1.100000000000000000e+01
-8.153737792968750000e+03,2.100000000000000000e+01
-7.976410644531250000e+03,2.200000000000000000e+01
-7.799083007812500000e+03,2.300000000000000000e+01
-7.621755859375000000e+03,1.700000000000000000e+01
-7.444428710937500000e+03,2.700000000000000000e+01
-7.267101562500000000e+03,1.900000000000000000e+01
-7.089774414062500000e+03,1.800000000000000000e+01
-6.912446777343750000e+03,2.100000000000000000e+01
-6.735119628906250000e+03,1.800000000000000000e+01
-6.557792480468750000e+03,2.000000000000000000e+01
-6.380464843750000000e+03,2.100000000000000000e+01
-6.203137695312500000e+03,1.600000000000000000e+01
-6.025810546875000000e+03,2.200000000000000000e+01
-5.848483398437500000e+03,2.600000000000000000e+01
-5.671156250000000000e+03,1.300000000000000000e+01
-5.493828613281250000e+03,2.700000000000000000e+01
-5.316501464843750000e+03,1.900000000000000000e+01
-5.139174316406250000e+03,1.900000000000000000e+01
-4.961846679687500000e+03,3.500000000000000000e+01
-4.784519531250000000e+03,1.700000000000000000e+01
-4.607192382812500000e+03,2.500000000000000000e+01
-4.429865234375000000e+03,2.000000000000000000e+01
-4.252538085937500000e+03,2.000000000000000000e+01
-4.075210449218750000e+03,2.100000000000000000e+01
-3.897883300781250000e+03,3.100000000000000000e+01
-3.720556152343750000e+03,3.400000000000000000e+01
-3.543228515625000000e+03,4.000000000000000000e+01
-3.365901367187500000e+03,2.700000000000000000e+01
-3.188574218750000000e+03,2.700000000000000000e+01
-3.011247070312500000e+03,3.100000000000000000e+01
-2.833919921875000000e+03,3.700000000000000000e+01
-2.656592285156250000e+03,3.100000000000000000e+01
-2.479265136718750000e+03,2.200000000000000000e+01
-2.301937988281250000e+03,2.800000000000000000e+01
-2.124610351562500000e+03,3.600000000000000000e+01
-1.947283203125000000e+03,3.000000000000000000e+01
-1.769956054687500000e+03,3.000000000000000000e+01
-1.592628906250000000e+03,1.700000000000000000e+01
-1.415301757812500000e+03,2.200000000000000000e+01
-1.237974121093750000e+03,2.200000000000000000e+01
-1.060646972656250000e+03,1.600000000000000000e+01
-8.833198242187500000e+02,3.000000000000000000e+01
-7.059921875000000000e+02,3.100000000000000000e+01
-5.286650390625000000e+02,3.100000000000000000e+01
-3.513378906250000000e+02,3.600000000000000000e+01
-1.740107421875000000e+02,3.400000000000000000e+01
3.316406250000000000e+00,3.000000000000000000e+01
1.806435546875000000e+02,2.300000000000000000e+01
3.579707031250000000e+02,2.900000000000000000e+01
5.352988281250000000e+02,2.900000000000000000e+01
7.126259765625000000e+02,3.100000000000000000e+01
8.899531250000000000e+02,2.700000000000000000e+01
1.067280273437500000e+03,3.100000000000000000e+01
1.244607421875000000e+03,2.800000000000000000e+01
1.421934570312500000e+03,2.800000000000000000e+01
1.599261718750000000e+03,3.300000000000000000e+01
1.776589843750000000e+03,2.800000000000000000e+01
1.953916992187500000e+03,3.800000000000000000e+01
2.131244140625000000e+03,3.000000000000000000e+01
2.308571289062500000e+03,1.900000000000000000e+01
2.485898437500000000e+03,2.300000000000000000e+01
2.663225585937500000e+03,3.100000000000000000e+01
2.840552734375000000e+03,3.500000000000000000e+01
3.017879882812500000e+03,2.600000000000000000e+01
3.195207031250000000e+03,3.300000000000000000e+01
3.372535156250000000e+03,3.200000000000000000e+01
3.549862304687500000e+03,2.500000000000000000e+01
3.727189453125000000e+03,3.000000000000000000e+01
3.904516601562500000e+03,1.600000000000000000e+01
4.081843750000000000e+03,2.200000000000000000e+01
4.259170898437500000e+03,2.900000000000000000e+01
4.436498046875000000e+03,2.600000000000000000e+01
4.613826171875000000e+03,3.100000000000000000e+01
4.791153320312500000e+03,2.600000000000000000e+01
4.968480468750000000e+03,3.400000000000000000e+01
5.145807617187500000e+03,2.200000000000000000e+01
5.323134765625000000e+03,2.300000000000000000e+01
5.500461914062500000e+03,2.100000000000000000e+01
5.677789062500000000e+03,2.500000000000000000e+01
5.855116210937500000e+03,2.100000000000000000e+01
6.032443359375000000e+03,2.000000000000000000e+01
6.209771484375000000e+03,2.000000000000000000e+01
6.387098632812500000e+03,2.200000000000000000e+01
6.564425781250000000e+03,2.500000000000000000e+01
6.741752929687500000e+03,2.500000000000000000e+01
6.919080078125000000e+03,2.000000000000000000e+01
7.096407226562500000e+03,1.500000000000000000e+01
7.273734375000000000e+03,2.300000000000000000e+01
7.451062500000000000e+03,1.400000000000000000e+01
7.628388671875000000e+03,1.100000000000000000e+01
7.805716796875000000e+03,1.700000000000000000e+01
7.983042968750000000e+03,2.300000000000000000e+01
8.160371093750000000e+03,1.100000000000000000e+01
8.337699218750000000e+03,0.000000000000000000e+00
8.515025390625000000e+03,0.000000000000000000e+00
8.692353515625000000e+03,0.000000000000000000e+00
