X [$\mu$m],Mean
-3.192876953125000000e+04,0.000000000000000000e+00
-3.129140625000000000e+04,0.000000000000000000e+00
-3.065404296875000000e+04,0.000000000000000000e+00
-3.001667968750000000e+04,0.000000000000000000e+00
-2.937931640625000000e+04,0.000000000000000000e+00
-2.874195507812500000e+04,0.000000000000000000e+00
-2.810459179687500000e+04,1.000000000000000000e+00
-2.746722851562500000e+04,1.000000000000000000e+00
-2.682986523437500000e+04,2.000000000000000000e+00
-2.619250195312500000e+04,1.000000000000000000e+00
-2.555513867187500000e+04,2.000000000000000000e+00
-2.491777734375000000e+04,2.000000000000000000e+00
-2.428041406250000000e+04,1.000000000000000000e+00
-2.364305078125000000e+04,9.000000000000000000e+00
-2.300568750000000000e+04,7.000000000000000000e+00
-2.236832421875000000e+04,1.000000000000000000e+01
-2.173096093750000000e+04,1.400000000000000000e+01
-2.109359765625000000e+04,2.000000000000000000e+01
-2.045623437500000000e+04,1.600000000000000000e+01
-1.981887109375000000e+04,3.700000000000000000e+01
-1.918150781250000000e+04,3.500000000000000000e+01
-1.854414453125000000e+04,3.700000000000000000e+01
-1.790678320312500000e+04,4.600000000000000000e+01
-1.726941992187500000e+04,4.100000000000000000e+01
-1.663205664062500000e+04,5.300000000000000000e+01
-1.599469335937500000e+04,7.000000000000000000e+01
-1.535733007812500000e+04,6.200000000000000000e+01
-1.471996679687500000e+04,6.600000000000000000e+01
-1.408260546875000000e+04,6.600000000000000000e+01
-1.344524218750000000e+04,6.000000000000000000e+01
-1.280787890625000000e+04,7.100000000000000000e+01
-1.217051562500000000e+04,7.400000000000000000e+01
-1.153315234375000000e+04,9.300000000000000000e+01
-1.089578906250000000e+04,8.100000000000000000e+01
-1.025842578125000000e+04,8.100000000000000000e+01
-9.621062500000000000e+03,8.100000000000000000e+01
-8.983699218750000000e+03,7.800000000000000000e+01
-8.346337890625000000e+03,8.200000000000000000e+01
-7.708974609375000000e+03,7.800000000000000000e+01
-7.071611328125000000e+03,6.700000000000000000e+01
-6.434248046875000000e+03,8.200000000000000000e+01
-5.796884765625000000e+03,7.000000000000000000e+01
-5.159521484375000000e+03,7.100000000000000000e+01
-4.522158203125000000e+03,7.600000000000000000e+01
-3.884796875000000000e+03,6.600000000000000000e+01
-3.247433593750000000e+03,8.300000000000000000e+01
-2.610070312500000000e+03,6.700000000000000000e+01
-1.972707031250000000e+03,6.700000000000000000e+01
-1.335343750000000000e+03,7.000000000000000000e+01
-6.979804687500000000e+02,8.200000000000000000e+01
-6.061718750000000000e+01,6.700000000000000000e+01
5.767460937500000000e+02,7.800000000000000000e+01
1.214109375000000000e+03,6.000000000000000000e+01
1.851472656250000000e+03,8.600000000000000000e+01
2.488835937500000000e+03,8.100000000000000000e+01
3.126199218750000000e+03,8.600000000000000000e+01
3.763558593750000000e+03,8.200000000000000000e+01
4.400921875000000000e+03,6.300000000000000000e+01
5.038285156250000000e+03,8.200000000000000000e+01
5.675648437500000000e+03,7.500000000000000000e+01
6.313011718750000000e+03,7.500000000000000000e+01
6.950375000000000000e+03,6.300000000000000000e+01
7.587738281250000000e+03,8.300000000000000000e+01
8.225101562500000000e+03,7.400000000000000000e+01
8.862464843750000000e+03,6.800000000000000000e+01
9.499828125000000000e+03,6.100000000000000000e+01
1.013719140625000000e+04,6.500000000000000000e+01
1.077455468750000000e+04,5.800000000000000000e+01
1.141191796875000000e+04,8.400000000000000000e+01
1.204928125000000000e+04,8.500000000000000000e+01
1.268664453125000000e+04,7.700000000000000000e+01
1.332400781250000000e+04,7.000000000000000000e+01
1.396137109375000000e+04,8.300000000000000000e+01
1.459873046875000000e+04,6.900000000000000000e+01
1.523609375000000000e+04,5.600000000000000000e+01
1.587345703125000000e+04,5.700000000000000000e+01
1.651082031250000000e+04,6.000000000000000000e+01
1.714818359375000000e+04,4.700000000000000000e+01
1.778554687500000000e+04,4.100000000000000000e+01
1.842291015625000000e+04,3.900000000000000000e+01
1.906027343750000000e+04,3.200000000000000000e+01
1.969763671875000000e+04,2.500000000000000000e+01
2.033500000000000000e+04,2.600000000000000000e+01
2.097236328125000000e+04,1.400000000000000000e+01
2.160972656250000000e+04,1.500000000000000000e+01
2.224708984375000000e+04,1.300000000000000000e+01
2.288445312500000000e+04,8.000000000000000000e+00
2.352181640625000000e+04,1.000000000000000000e+00
2.415917578125000000e+04,4.000000000000000000e+00
2.479653906250000000e+04,2.000000000000000000e+00
2.543390234375000000e+04,1.000000000000000000e+00
2.607126562500000000e+04,1.000000000000000000e+00
2.670862890625000000e+04,0.000000000000000000e+00
2.734599218750000000e+04,0.000000000000000000e+00
2.798335546875000000e+04,1.000000000000000000e+00
2.862071875000000000e+04,0.000000000000000000e+00
2.925808203125000000e+04,0.000000000000000000e+00
2.989544531250000000e+04,0.000000000000000000e+00
3.053280859375000000e+04,0.000000000000000000e+00
3.117017187500000000e+04,0.000000000000000000e+00
