Z [$\mu$m],Mean
-7.414166992187500000e+03,0.000000000000000000e+00
-7.265751464843750000e+03,0.000000000000000000e+00
-7.117335449218750000e+03,1.600000023841857910e+00
-6.968919921875000000e+03,1.960000038146972656e+01
-6.820503906250000000e+03,3.290000152587890625e+01
-6.672088378906250000e+03,3.089999961853027344e+01
-6.523672851562500000e+03,3.179999923706054688e+01
-6.375256835937500000e+03,3.420000076293945312e+01
-6.226841308593750000e+03,3.620000076293945312e+01
-6.078425781250000000e+03,3.659999847412109375e+01
-5.930009765625000000e+03,4.079999923706054688e+01
-5.781594238281250000e+03,4.059999847412109375e+01
-5.633178710937500000e+03,4.350000000000000000e+01
-5.484762695312500000e+03,4.720000076293945312e+01
-5.336347167968750000e+03,4.029999923706054688e+01
-5.187931640625000000e+03,4.759999847412109375e+01
-5.039515625000000000e+03,4.409999847412109375e+01
-4.891099609375000000e+03,4.540000152587890625e+01
-4.742684082031250000e+03,5.300000000000000000e+01
-4.594268554687500000e+03,5.350000000000000000e+01
-4.445852539062500000e+03,5.490000152587890625e+01
-4.297437011718750000e+03,5.409999847412109375e+01
-4.149021484375000000e+03,5.650000000000000000e+01
-4.000605712890625000e+03,5.779999923706054688e+01
-3.852189941406250000e+03,5.640000152587890625e+01
-3.703774169921875000e+03,5.809999847412109375e+01
-3.555358398437500000e+03,5.579999923706054688e+01
-3.406942871093750000e+03,6.029999923706054688e+01
-3.258527343750000000e+03,5.970000076293945312e+01
-3.110111328125000000e+03,6.509999847412109375e+01
-2.961695800781250000e+03,6.179999923706054688e+01
-2.813279785156250000e+03,6.150000000000000000e+01
-2.664864257812500000e+03,6.609999847412109375e+01
-2.516448730468750000e+03,6.350000000000000000e+01
-2.368032714843750000e+03,6.329999923706054688e+01
-2.219617187500000000e+03,7.009999847412109375e+01
-2.071201171875000000e+03,6.869999694824218750e+01
-1.922785644531250000e+03,6.890000152587890625e+01
-1.774370117187500000e+03,6.790000152587890625e+01
-1.625954101562500000e+03,6.869999694824218750e+01
-1.477538574218750000e+03,7.009999847412109375e+01
-1.329123046875000000e+03,7.000000000000000000e+01
-1.180707031250000000e+03,6.830000305175781250e+01
-1.032291503906250000e+03,7.390000152587890625e+01
-8.838759765625000000e+02,6.890000152587890625e+01
-7.354599609375000000e+02,7.659999847412109375e+01
-5.870444335937500000e+02,7.159999847412109375e+01
-4.386284179687500000e+02,7.150000000000000000e+01
-2.902128906250000000e+02,7.230000305175781250e+01
-1.417973632812500000e+02,7.550000000000000000e+01
6.618652343750000000e+00,7.469999694824218750e+01
1.550341796875000000e+02,7.230000305175781250e+01
3.034501953125000000e+02,8.019999694824218750e+01
4.518657226562500000e+02,7.240000152587890625e+01
6.002812500000000000e+02,7.290000152587890625e+01
7.486972656250000000e+02,6.980000305175781250e+01
8.971123046875000000e+02,7.009999847412109375e+01
1.045528320312500000e+03,7.409999847412109375e+01
1.193944335937500000e+03,7.719999694824218750e+01
1.342360351562500000e+03,7.159999847412109375e+01
1.490775390625000000e+03,7.369999694824218750e+01
1.639191406250000000e+03,7.119999694824218750e+01
1.787607421875000000e+03,6.759999847412109375e+01
1.936022460937500000e+03,6.409999847412109375e+01
2.084438476562500000e+03,6.590000152587890625e+01
2.232854492187500000e+03,6.370000076293945312e+01
2.381269531250000000e+03,6.700000000000000000e+01
2.529685546875000000e+03,6.909999847412109375e+01
2.678101562500000000e+03,6.409999847412109375e+01
2.826516601562500000e+03,6.530000305175781250e+01
2.974932617187500000e+03,6.340000152587890625e+01
3.123348632812500000e+03,6.200000000000000000e+01
3.271764648437500000e+03,5.929999923706054688e+01
3.420179687500000000e+03,6.179999923706054688e+01
3.568595703125000000e+03,5.770000076293945312e+01
3.717011718750000000e+03,5.750000000000000000e+01
3.865426757812500000e+03,5.620000076293945312e+01
4.013842773437500000e+03,5.740000152587890625e+01
4.162258789062500000e+03,5.459999847412109375e+01
4.310673828125000000e+03,5.509999847412109375e+01
4.459089843750000000e+03,4.870000076293945312e+01
4.607505859375000000e+03,4.800000000000000000e+01
4.755920898437500000e+03,4.820000076293945312e+01
4.904336914062500000e+03,4.720000076293945312e+01
5.052752929687500000e+03,4.740000152587890625e+01
5.201167968750000000e+03,4.440000152587890625e+01
5.349583984375000000e+03,4.479999923706054688e+01
5.498000000000000000e+03,4.159999847412109375e+01
5.646415039062500000e+03,4.079999923706054688e+01
5.794831054687500000e+03,3.950000000000000000e+01
5.943247070312500000e+03,3.729999923706054688e+01
6.091663085937500000e+03,3.459999847412109375e+01
6.240078125000000000e+03,3.229999923706054688e+01
6.388494140625000000e+03,3.270000076293945312e+01
6.536910156250000000e+03,3.050000000000000000e+01
6.685325195312500000e+03,2.900000000000000000e+01
6.833741210937500000e+03,1.600000000000000000e+01
6.982157226562500000e+03,2.000000029802322388e-01
7.130572265625000000e+03,0.000000000000000000e+00
7.278988281250000000e+03,0.000000000000000000e+00
