X,Y
-7.638399218750000000e+04,0.000000000000000000e+00
-7.493217968750000000e+04,0.000000000000000000e+00
-7.348036718750000000e+04,0.000000000000000000e+00
-7.202854687500000000e+04,0.000000000000000000e+00
-7.057673437500000000e+04,0.000000000000000000e+00
-6.912492187500000000e+04,0.000000000000000000e+00
-6.767310937500000000e+04,0.000000000000000000e+00
-6.622129687500000000e+04,0.000000000000000000e+00
-6.476948046875000000e+04,0.000000000000000000e+00
-6.331766406250000000e+04,2.000000000000000000e+00
-6.186585156250000000e+04,4.000000000000000000e+00
-6.041403906250000000e+04,6.000000000000000000e+00
-5.896222265625000000e+04,1.400000000000000000e+01
-5.751040625000000000e+04,2.100000000000000000e+01
-5.605859375000000000e+04,4.300000000000000000e+01
-5.460678125000000000e+04,6.600000000000000000e+01
-5.315496875000000000e+04,8.100000000000000000e+01
-5.170315234375000000e+04,1.430000000000000000e+02
-5.025133593750000000e+04,1.860000000000000000e+02
-4.879952343750000000e+04,1.940000000000000000e+02
-4.734771093750000000e+04,2.720000000000000000e+02
-4.589589843750000000e+04,3.140000000000000000e+02
-4.444408203125000000e+04,4.100000000000000000e+02
-4.299226953125000000e+04,4.290000000000000000e+02
-4.154045312500000000e+04,5.190000000000000000e+02
-4.008864062500000000e+04,6.330000000000000000e+02
-3.863682421875000000e+04,7.580000000000000000e+02
-3.718501171875000000e+04,7.920000000000000000e+02
-3.573319921875000000e+04,9.520000000000000000e+02
-3.428138281250000000e+04,1.058000000000000000e+03
-3.282957031250000000e+04,1.216000000000000000e+03
-3.137775390625000000e+04,1.377000000000000000e+03
-2.992594140625000000e+04,1.513000000000000000e+03
-2.847412890625000000e+04,1.612000000000000000e+03
-2.702231250000000000e+04,1.761000000000000000e+03
-2.557050000000000000e+04,1.891000000000000000e+03
-2.411868359375000000e+04,1.873000000000000000e+03
-2.266687109375000000e+04,1.989000000000000000e+03
-2.121505859375000000e+04,2.134000000000000000e+03
-1.976324218750000000e+04,2.221000000000000000e+03
-1.831142968750000000e+04,2.359000000000000000e+03
-1.685961328125000000e+04,2.404000000000000000e+03
-1.540780078125000000e+04,2.424000000000000000e+03
-1.395598828125000000e+04,2.506000000000000000e+03
-1.250417187500000000e+04,2.513000000000000000e+03
-1.105235937500000000e+04,2.622000000000000000e+03
-9.600546875000000000e+03,2.677000000000000000e+03
-8.148726562500000000e+03,2.665000000000000000e+03
-6.696914062500000000e+03,2.697000000000000000e+03
-5.245101562500000000e+03,2.736000000000000000e+03
-3.793289062500000000e+03,2.737000000000000000e+03
-2.341476562500000000e+03,2.743000000000000000e+03
-8.896562500000000000e+02,2.689000000000000000e+03
5.621562500000000000e+02,2.655000000000000000e+03
2.013968750000000000e+03,2.737000000000000000e+03
3.465781250000000000e+03,2.692000000000000000e+03
4.917593750000000000e+03,2.689000000000000000e+03
6.369414062500000000e+03,2.570000000000000000e+03
7.821226562500000000e+03,2.598000000000000000e+03
9.273039062500000000e+03,2.708000000000000000e+03
1.072485156250000000e+04,2.576000000000000000e+03
1.217666406250000000e+04,2.580000000000000000e+03
1.362848437500000000e+04,2.434000000000000000e+03
1.508029687500000000e+04,2.378000000000000000e+03
1.653210937500000000e+04,2.320000000000000000e+03
1.798392187500000000e+04,2.261000000000000000e+03
1.943573437500000000e+04,2.236000000000000000e+03
2.088755468750000000e+04,2.165000000000000000e+03
2.233936718750000000e+04,2.014000000000000000e+03
2.379117968750000000e+04,1.868000000000000000e+03
2.524299218750000000e+04,1.701000000000000000e+03
2.669480468750000000e+04,1.610000000000000000e+03
2.814662500000000000e+04,1.596000000000000000e+03
2.959843750000000000e+04,1.363000000000000000e+03
3.105025000000000000e+04,1.190000000000000000e+03
3.250206250000000000e+04,1.096000000000000000e+03
3.395387500000000000e+04,9.880000000000000000e+02
3.540569531250000000e+04,8.710000000000000000e+02
3.685750781250000000e+04,7.990000000000000000e+02
3.830932031250000000e+04,6.830000000000000000e+02
3.976113281250000000e+04,5.640000000000000000e+02
4.121294531250000000e+04,4.410000000000000000e+02
4.266476562500000000e+04,4.030000000000000000e+02
4.411657812500000000e+04,3.430000000000000000e+02
4.556839062500000000e+04,2.860000000000000000e+02
4.702020312500000000e+04,2.260000000000000000e+02
4.847201562500000000e+04,1.940000000000000000e+02
4.992383593750000000e+04,1.380000000000000000e+02
5.137564843750000000e+04,1.000000000000000000e+02
5.282746093750000000e+04,7.300000000000000000e+01
5.427927343750000000e+04,4.900000000000000000e+01
5.573108593750000000e+04,2.400000000000000000e+01
5.718289843750000000e+04,8.000000000000000000e+00
5.863471093750000000e+04,8.000000000000000000e+00
6.008653906250000000e+04,9.000000000000000000e+00
6.153835156250000000e+04,3.000000000000000000e+00
6.299016406250000000e+04,0.000000000000000000e+00
6.444197656250000000e+04,0.000000000000000000e+00
6.589378906250000000e+04,0.000000000000000000e+00
6.734560156250000000e+04,0.000000000000000000e+00
