Y,Y
-3.341549072265625000e+03,0.000000000000000000e+00
-3.274909423828125000e+03,0.000000000000000000e+00
-3.208270019531250000e+03,0.000000000000000000e+00
-3.141630371093750000e+03,0.000000000000000000e+00
-3.074990722656250000e+03,1.000000000000000000e+00
-3.008351074218750000e+03,2.000000000000000000e+00
-2.941711669921875000e+03,5.000000000000000000e+00
-2.875072021484375000e+03,6.000000000000000000e+00
-2.808432617187500000e+03,2.300000000000000000e+01
-2.741792968750000000e+03,3.000000000000000000e+01
-2.675153320312500000e+03,4.500000000000000000e+01
-2.608513671875000000e+03,6.700000000000000000e+01
-2.541874267578125000e+03,7.600000000000000000e+01
-2.475234619140625000e+03,9.300000000000000000e+01
-2.408595214843750000e+03,1.150000000000000000e+02
-2.341955566406250000e+03,1.310000000000000000e+02
-2.275315917968750000e+03,1.750000000000000000e+02
-2.208676269531250000e+03,1.990000000000000000e+02
-2.142036621093750000e+03,2.560000000000000000e+02
-2.075397216796875000e+03,2.970000000000000000e+02
-2.008757568359375000e+03,3.500000000000000000e+02
-1.942118041992187500e+03,3.840000000000000000e+02
-1.875478515625000000e+03,4.760000000000000000e+02
-1.808838867187500000e+03,4.820000000000000000e+02
-1.742199340820312500e+03,5.530000000000000000e+02
-1.675559814453125000e+03,6.710000000000000000e+02
-1.608920166015625000e+03,7.130000000000000000e+02
-1.542280639648437500e+03,7.640000000000000000e+02
-1.475641113281250000e+03,8.010000000000000000e+02
-1.409001464843750000e+03,8.740000000000000000e+02
-1.342361938476562500e+03,9.520000000000000000e+02
-1.275722412109375000e+03,1.015000000000000000e+03
-1.209082763671875000e+03,1.041000000000000000e+03
-1.142443115234375000e+03,1.168000000000000000e+03
-1.075803710937500000e+03,1.181000000000000000e+03
-1.009164062500000000e+03,1.194000000000000000e+03
-9.425244140625000000e+02,1.221000000000000000e+03
-8.758850097656250000e+02,1.280000000000000000e+03
-8.092453613281250000e+02,1.300000000000000000e+03
-7.426057128906250000e+02,1.287000000000000000e+03
-6.759660644531250000e+02,1.424000000000000000e+03
-6.093266601562500000e+02,1.412000000000000000e+03
-5.426870117187500000e+02,1.342000000000000000e+03
-4.760473632812500000e+02,1.367000000000000000e+03
-4.094079589843750000e+02,1.432000000000000000e+03
-3.427683105468750000e+02,1.426000000000000000e+03
-2.761286621093750000e+02,1.521000000000000000e+03
-2.094892578125000000e+02,1.397000000000000000e+03
-1.428496093750000000e+02,1.462000000000000000e+03
-7.620996093750000000e+01,1.483000000000000000e+03
-9.570556640625000000e+00,1.440000000000000000e+03
5.706909179687500000e+01,1.428000000000000000e+03
1.237087402343750000e+02,1.439000000000000000e+03
1.903481445312500000e+02,1.458000000000000000e+03
2.569877929687500000e+02,1.443000000000000000e+03
3.236274414062500000e+02,1.513000000000000000e+03
3.902668457031250000e+02,1.454000000000000000e+03
4.569064941406250000e+02,1.363000000000000000e+03
5.235461425781250000e+02,1.354000000000000000e+03
5.901857910156250000e+02,1.395000000000000000e+03
6.568251953125000000e+02,1.381000000000000000e+03
7.234648437500000000e+02,1.279000000000000000e+03
7.901042480468750000e+02,1.276000000000000000e+03
8.567438964843750000e+02,1.248000000000000000e+03
9.233835449218750000e+02,1.268000000000000000e+03
9.900231933593750000e+02,1.116000000000000000e+03
1.056662841796875000e+03,1.095000000000000000e+03
1.123302490234375000e+03,1.107000000000000000e+03
1.189941650390625000e+03,1.010000000000000000e+03
1.256581298828125000e+03,9.780000000000000000e+02
1.323220947265625000e+03,9.140000000000000000e+02
1.389860595703125000e+03,8.240000000000000000e+02
1.456500244140625000e+03,7.790000000000000000e+02
1.523139892578125000e+03,7.170000000000000000e+02
1.589779052734375000e+03,6.120000000000000000e+02
1.656418701171875000e+03,5.800000000000000000e+02
1.723058349609375000e+03,5.160000000000000000e+02
1.789697998046875000e+03,4.990000000000000000e+02
1.856337646484375000e+03,4.130000000000000000e+02
1.922977294921875000e+03,3.370000000000000000e+02
1.989616943359375000e+03,3.070000000000000000e+02
2.056256103515625000e+03,2.570000000000000000e+02
2.122895751953125000e+03,1.980000000000000000e+02
2.189535400390625000e+03,1.810000000000000000e+02
2.256175048828125000e+03,1.510000000000000000e+02
2.322814697265625000e+03,1.170000000000000000e+02
2.389454345703125000e+03,1.090000000000000000e+02
2.456093505859375000e+03,7.500000000000000000e+01
2.522733154296875000e+03,6.300000000000000000e+01
2.589372802734375000e+03,5.400000000000000000e+01
2.656012451171875000e+03,3.400000000000000000e+01
2.722652099609375000e+03,2.400000000000000000e+01
2.789291748046875000e+03,1.100000000000000000e+01
2.855930908203125000e+03,1.000000000000000000e+01
2.922570556640625000e+03,3.000000000000000000e+00
2.989210205078125000e+03,1.000000000000000000e+00
3.055849853515625000e+03,1.000000000000000000e+00
3.122489501953125000e+03,0.000000000000000000e+00
3.189129150390625000e+03,0.000000000000000000e+00
3.255768798828125000e+03,0.000000000000000000e+00
